Date,Open_CRM,High_CRM,Low_CRM,Close_CRM,Volume_CRM,AdjClose_CRM
2015-08-18,73.910004,74.050003,72.029999,72.580002,4126500,72.580002
2015-08-19,72.540001,72.940002,71.739998,72.040001,4774900,72.040001
2015-08-20,71.620003,72.0,67.5,67.82,8168000,67.82
2015-08-21,69.0,71.550003,68.279999,69.150002,13138700,69.150002
2015-08-24,65.760002,68.989998,64.160004,65.169998,9650000,65.169998
2015-08-25,67.589996,68.199997,65.019997,65.18,7104000,65.18
2015-08-26,66.699997,68.639999,65.290001,68.519997,8044100,68.519997
2015-08-27,69.309998,70.239998,68.25,69.940002,4918100,69.940002
2015-08-28,69.75,70.82,69.470001,70.25,4191100,70.25
2015-08-31,69.790001,70.209999,69.029999,69.360001,3891900,69.360001
2015-09-01,67.860001,68.620003,66.260002,66.629997,4373900,66.629997
2015-09-02,67.589996,67.980003,66.330002,67.980003,3465400,67.980003
2015-09-03,68.300003,69.25,67.949997,68.25,2937100,68.25
2015-09-04,67.279999,67.970001,66.540001,67.129997,3146000,67.129997
2015-09-08,68.339996,70.82,68.309998,70.760002,4098400,70.760002
2015-09-09,71.019997,71.330002,68.849998,69.029999,3652800,69.029999
2015-09-10,69.0,70.0,68.919998,69.739998,2861200,69.739998
2015-09-11,69.540001,70.089996,68.900002,70.050003,3442000,70.050003
2015-09-14,70.199997,70.400002,69.540001,69.889999,3436000,69.889999
2015-09-15,70.629997,71.699997,70.150002,71.269997,4276400,71.269997
2015-09-16,71.5,72.0,70.980003,71.879997,3330300,71.879997
2015-09-17,71.5,73.199997,71.5,72.32,4205900,72.32
2015-09-18,71.300003,72.419998,70.620003,71.400002,6039500,71.400002
2015-09-21,71.760002,72.639999,71.059998,72.139999,2914000,72.139999
2015-09-22,71.389999,71.940002,70.910004,71.650002,3460100,71.650002
2015-09-23,71.5,72.360001,70.970001,71.989998,2688800,71.989998
2015-09-24,71.550003,72.0,70.449997,71.709999,3056000,71.709999
2015-09-25,72.599998,73.620003,71.949997,72.440002,4829900,72.440002
2015-09-28,71.949997,72.690002,68.970001,69.040001,5638500,69.040001
2015-09-29,69.089996,69.669998,67.709999,68.379997,4660200,68.379997
2015-09-30,69.080002,69.620003,67.82,69.43,4080100,69.43
2015-10-01,69.160004,73.07,68.68,72.910004,8106900,72.910004
2015-10-02,71.68,74.019997,71.160004,73.93,4838600,73.93
2015-10-05,74.089996,75.75,73.860001,75.269997,4169700,75.269997
2015-10-06,75.089996,75.279999,73.889999,74.419998,2519400,74.419998
2015-10-07,74.620003,75.290001,73.25,75.0,3044400,75.0
2015-10-08,74.980003,75.900002,74.120003,75.089996,3804700,75.089996
2015-10-09,75.230003,75.699997,74.739998,75.25,3113600,75.25
2015-10-12,75.309998,76.25,74.989998,75.879997,2594500,75.879997
2015-10-13,76.519997,78.300003,75.839996,76.629997,5578600,76.629997
2015-10-14,76.290001,76.57,75.209999,75.580002,3447200,75.580002
2015-10-15,76.190002,78.339996,75.910004,77.699997,3295300,77.699997
2015-10-16,78.18,78.839996,77.459999,78.769997,3566600,78.769997
2015-10-19,78.440002,79.330002,77.480003,77.93,4346900,77.93
2015-10-20,78.0,78.510002,76.879997,77.529999,2006700,77.529999
