Date,Open_UHS,High_UHS,Low_UHS,Close_UHS,Volume_UHS,AdjClose_UHS
2014-05-06,83.059998,84.0,82.169998,82.690002,745900,82.093422
2014-05-07,82.760002,82.93,81.370003,82.459999,573700,81.865078
2014-05-08,82.190002,83.660004,81.540001,81.910004,610800,81.31905
2014-05-09,81.870003,82.639999,81.389999,82.57,451700,81.974285
2014-05-12,82.809998,84.470001,82.720001,84.32,683700,83.711659
2014-05-13,84.5,86.129997,84.43,86.0,817200,85.379539
2014-05-14,85.870003,86.419998,85.379997,85.860001,835000,85.240549
2014-05-15,85.589996,85.589996,83.980003,84.940002,469300,84.327189
2014-05-16,84.660004,84.870003,83.410004,84.830002,720000,84.217982
2014-05-19,84.650002,86.379997,84.639999,85.980003,715000,85.359686
2014-05-20,86.089996,87.330002,85.970001,87.230003,773200,86.600668
2014-05-21,87.470001,89.059998,87.400002,88.290001,1140100,87.653018
2014-05-22,88.589996,89.029999,88.160004,88.239998,587000,87.603376
2014-05-23,88.529999,90.139999,87.849998,89.43,895000,88.784793
2014-05-27,89.860001,90.379997,88.669998,89.059998,581600,88.417459
2014-05-28,89.220001,89.550003,87.879997,89.349998,727700,88.705368
2014-05-29,89.5,90.129997,88.059998,89.739998,611500,89.142438
2014-05-30,89.559998,90.660004,89.400002,89.57,907600,88.973572
2014-06-02,89.5,90.019997,88.660004,89.919998,556400,89.32124
2014-06-03,89.989998,92.849998,89.25,92.830002,1308200,92.211866
2014-06-04,92.5,92.760002,91.949997,92.720001,523300,92.102598
2014-06-05,92.43,95.660004,92.43,95.260002,986400,94.625686
2014-06-06,95.260002,96.120003,94.230003,94.82,712600,94.188613
2014-06-09,94.510002,94.709999,93.839996,94.0,586800,93.374074
2014-06-10,93.900002,94.029999,92.629997,93.370003,491100,92.748271
2014-06-11,92.949997,93.290001,91.900002,92.769997,471600,92.15226
2014-06-12,92.669998,93.07,91.989998,92.5,515700,91.884062
2014-06-13,92.589996,94.25,92.339996,94.07,619100,93.443607
2014-06-16,93.919998,95.0,93.339996,94.709999,753500,94.079345
2014-06-17,94.809998,96.849998,94.639999,95.290001,955700,94.655485
2014-06-18,95.050003,95.470001,94.230003,95.349998,449100,94.715083
2014-06-19,95.489998,96.419998,94.900002,96.349998,410100,95.708424
2014-06-20,96.629997,97.410004,96.18,97.059998,494900,96.413695
2014-06-23,97.230003,98.889999,96.889999,98.75,568500,98.092444
2014-06-24,98.309998,98.519997,96.830002,96.889999,631400,96.244829
2014-06-25,96.660004,97.510002,94.779999,96.989998,708900,96.344162
2014-06-26,97.150002,97.440002,93.419998,95.940002,1382300,95.301158
2014-06-27,95.82,96.389999,94.5,95.0,1460800,94.367415
2014-06-30,95.160004,96.260002,95.160004,95.760002,1027700,95.122356
2014-07-01,95.870003,97.07,94.860001,95.669998,875300,95.032952
2014-07-02,95.360001,96.519997,94.959999,96.480003,448600,95.837563
2014-07-03,96.480003,97.0,95.690002,96.199997,350300,95.559421
2014-07-07,95.809998,96.029999,94.190002,94.199997,408400,93.572739
2014-07-08,94.160004,94.489998,91.379997,92.800003,977600,92.182067
2014-07-09,93.199997,94.32,92.860001,93.730003,463000,93.105875
2014-07-10,92.57,93.07,91.730003,92.449997,794900,91.834392
2014-07-11,92.279999,92.959999,91.660004,92.459999,490500,91.844327
2014-07-14,93.0,93.199997,91.800003,92.220001,596000,91.605927
2014-07-15,92.089996,92.900002,91.260002,91.830002,619600,91.218525
