Date,Open_APH,High_APH,Low_APH,Close_APH,Volume_APH,AdjClose_APH
2014-10-02,98.230003,99.029999,97.610001,98.720001,1665200,48.53336
2014-10-03,99.0,99.610001,98.839996,99.379997,1061000,48.857831
2014-10-06,99.720001,99.849998,98.839996,99.0,1394600,48.671015
2014-10-07,98.669998,98.849998,97.699997,97.739998,1197000,48.051564
2014-10-08,98.029999,99.860001,97.400002,99.809998,1618400,49.069231
2014-10-09,99.599998,99.769997,98.32,98.68,1707600,48.513694
2014-10-10,49.009998,49.009998,45.68,45.700001,3825000,44.934655
2014-10-13,45.799999,46.740002,45.27,45.560001,1807900,44.797
2014-10-14,45.849998,46.73,45.73,46.439999,1481600,45.66226
2014-10-15,45.73,47.330002,45.450001,47.07,2229400,46.28171
2014-10-16,46.16,47.509998,46.150002,47.200001,1420700,46.409534
2014-10-17,47.580002,48.470001,47.419998,48.029999,1436600,47.225632
2014-10-20,47.849998,48.299999,47.75,48.259998,1152900,47.45178
2014-10-21,48.619999,49.68,48.619999,49.669998,2006700,48.838166
2014-10-22,48.0,48.27,46.810001,47.119999,2846900,46.330872
2014-10-23,48.0,48.310001,47.580002,48.009998,1322100,47.205966
2014-10-24,48.0,48.919998,47.919998,48.830002,918400,48.012237
2014-10-27,48.689999,48.82,48.23,48.369999,1054500,47.559938
2014-10-28,48.419998,49.23,48.400002,49.23,1012600,48.405536
2014-10-29,49.27,49.48,48.799999,49.189999,1569400,48.366205
2014-10-30,48.939999,49.619999,48.91,49.490002,748400,48.661184
2014-10-31,50.34,50.799999,50.09,50.580002,1332800,49.73293
2014-11-03,50.66,50.810001,50.0,50.400002,1159000,49.555944
2014-11-04,50.419998,50.66,49.720001,49.98,1241800,49.142976
2014-11-05,50.189999,50.68,49.799999,50.619999,714700,49.772257
2014-11-06,50.75,51.110001,50.549999,51.040001,784100,50.185225
2014-11-07,51.049999,51.16,50.439999,50.959999,949700,50.106563
2014-11-10,50.82,51.040001,50.470001,50.68,892900,49.831253
2014-11-11,50.810001,50.990002,50.650002,50.810001,566000,49.959077
2014-11-12,50.709999,51.380001,50.66,51.27,697900,50.411373
2014-11-13,51.209999,51.32,50.32,50.709999,1094500,49.86075
2014-11-14,50.759998,51.049999,50.560001,50.860001,1084500,50.008239
2014-11-17,50.790001,51.02,50.610001,50.830002,1047600,49.978743
2014-11-18,50.790001,51.880001,50.709999,51.549999,1524600,50.686682
2014-11-19,51.470001,51.630001,51.25,51.529999,1236500,50.667017
2014-11-20,51.150002,51.599998,50.950001,51.349998,764800,50.490031
2014-11-21,51.93,52.439999,51.889999,52.049999,3585300,51.178309
2014-11-24,52.32,52.549999,52.060001,52.450001,1236600,51.571611
2014-11-25,52.599998,53.09,52.5,52.610001,1387800,51.728932
2014-11-26,52.560001,53.080002,52.419998,52.98,971800,52.092734
2014-11-28,53.119999,53.759998,52.880001,53.630001,885900,52.73185
2014-12-01,53.41,53.490002,52.93,52.939999,1034500,52.053403
2014-12-02,52.959999,53.200001,52.84,53.200001,922700,52.309051
2014-12-03,53.049999,53.77,52.959999,53.700001,787900,52.925034
2014-12-04,53.630001,53.869999,53.279999,53.689999,568000,52.915176
2014-12-05,53.700001,53.970001,53.540001,53.720001,760100,52.944745
2014-12-08,53.68,54.07,53.279999,53.599998,1093600,52.826475
2014-12-09,53.060001,53.990002,52.889999,53.880001,1115800,53.102436
2014-12-10,53.959999,54.93,53.779999,53.82,1512900,53.043301
2014-12-11,54.110001,54.619999,53.66,53.779999,3460900,53.003877
2014-12-12,53.290001,53.650002,52.290001,52.330002,1692400,51.574806
2014-12-15,52.490002,52.759998,51.650002,51.900002,2112800,51.151011
2014-12-16,51.75,52.650002,51.610001,51.630001,1314800,50.884907
2014-12-17,51.73,52.740002,51.169998,52.639999,1064300,51.88033
2014-12-18,53.27,54.389999,53.060001,54.389999,1721600,53.605075
2014-12-19,54.740002,55.150002,54.34,55.02,2624500,54.225984
2014-12-22,55.150002,55.380001,54.98,55.23,769900,54.432952
2014-12-23,55.5,55.650002,55.41,55.450001,844100,54.649779
2014-12-24,55.5,55.580002,55.23,55.259998,414500,54.462518
2014-12-26,55.419998,55.66,55.200001,55.220001,399900,54.423098
2014-12-29,55.009998,55.43,54.950001,54.98,494400,54.18656
2014-12-30,55.119999,55.119999,54.48,54.48,547900,53.693776
2014-12-31,54.709999,54.709999,53.77,53.810001,741200,53.033447
2015-01-02,54.029999,54.220001,53.18,53.639999,784000,52.865898
2015-01-05,53.259998,53.41,52.529999,52.66,1197300,51.900041
2015-01-06,52.700001,53.09,51.490002,51.990002,2074600,51.239712
2015-01-07,52.5,52.91,52.150002,52.880001,811300,52.116868
2015-01-08,53.459999,54.02,53.419998,53.91,977800,53.132002
2015-01-09,53.98,54.080002,53.580002,53.599998,611800,52.826475
2015-01-12,53.560001,53.630001,52.689999,52.950001,646500,52.185857
2015-01-13,53.52,53.950001,52.419998,52.830002,748100,52.06759
2015-01-14,52.09,52.68,51.799999,52.450001,887900,51.693073
2015-01-15,52.450001,52.830002,51.91,51.93,676800,51.180577
2015-01-16,51.740002,52.470001,51.66,52.419998,1083200,51.663503
2015-01-20,52.5,52.630001,51.709999,52.349998,1551400,51.594514
2015-01-21,51.990002,54.82,51.189999,53.93,2708200,53.151714
2015-01-22,54.150002,54.869999,53.27,54.759998,1388100,53.969734
2015-01-23,54.880001,55.310001,54.68,54.91,1399400,54.117571
2015-01-26,54.720001,55.110001,54.599998,54.790001,745600,53.999304
2015-01-27,54.09,54.709999,53.849998,54.32,1015100,53.536085
2015-01-28,54.889999,55.279999,53.950001,53.970001,1490900,53.191138
2015-01-29,54.099998,55.07,53.68,54.959999,1317600,54.166848
2015-01-30,54.68,54.799999,53.619999,53.709999,1149100,52.934888
2015-02-02,53.959999,54.32,53.049999,54.240002,946600,53.457242
2015-02-03,54.330002,54.66,53.919998,54.580002,1397300,53.792335
2015-02-04,54.459999,54.950001,54.110001,54.57,811300,53.782477
2015-02-05,54.66,55.400002,54.580002,55.240002,796000,54.44281
2015-02-06,55.16,55.619999,54.860001,55.049999,716800,54.25555
2015-02-09,54.830002,55.209999,54.549999,54.799999,676300,54.009158
2015-02-10,55.23,55.900002,54.990002,55.740002,865800,54.935594
2015-02-11,55.709999,55.919998,55.25,55.549999,790700,54.748334
2015-02-12,55.68,56.0,55.580002,56.0,559200,55.191841
2015-02-13,55.869999,56.459999,55.810001,56.389999,691000,55.576212
2015-02-17,56.369999,56.389999,55.77,56.0,694800,55.191841
2015-02-18,55.990002,56.349998,55.689999,56.25,438300,55.438233
2015-02-19,56.139999,56.5,56.0,56.220001,406300,55.408667
2015-02-20,56.189999,56.990002,55.669998,56.919998,852900,56.098562
2015-02-23,56.75,56.93,56.209999,56.720001,656400,55.901451
2015-02-24,56.759998,56.990002,56.41,56.82,1248100,56.000007
2015-02-25,56.77,57.029999,56.59,56.849998,835900,56.029572
2015-02-26,56.98,57.389999,56.73,56.799999,848900,55.980295
2015-02-27,56.650002,56.970001,56.43,56.459999,924800,55.645201
2015-03-02,56.459999,57.240002,56.32,57.220001,1327800,56.394236
2015-03-03,57.040001,57.360001,56.740002,57.32,961000,56.492791
2015-03-04,57.139999,58.380001,56.869999,58.240002,1871400,57.399516
2015-03-05,58.490002,58.91,58.099998,58.720001,1074400,57.872588
2015-03-06,58.380001,58.700001,57.639999,57.77,1267100,56.936297
2015-03-09,57.610001,57.830002,57.41,57.709999,1103700,57.000495
2015-03-10,57.18,57.75,57.150002,57.259998,1204900,56.556027
2015-03-11,57.369999,57.5,57.110001,57.290001,801500,56.585661
2015-03-12,57.360001,58.330002,57.299999,58.290001,694400,57.573367
2015-03-13,58.299999,58.5,57.650002,57.950001,741300,57.237547
2015-03-16,58.220001,59.330002,58.110001,59.310001,1139300,58.580827
2015-03-17,59.009998,59.099998,58.490002,59.0,936200,58.274637
2015-03-18,58.84,60.5,58.630001,60.200001,1062700,59.459884
2015-03-19,60.09,60.259998,59.849998,59.970001,1148000,59.232712
2015-03-20,60.220001,60.540001,59.939999,60.049999,2047700,59.311727
2015-03-23,60.150002,60.23,59.720001,59.740002,1367100,59.005541
2015-03-24,59.740002,59.93,58.950001,59.09,1049100,58.36353
2015-03-25,59.060001,59.27,57.610001,57.610001,1054600,56.901726
2015-03-26,57.459999,57.709999,56.740002,57.5,2057000,56.793078
2015-03-27,57.529999,57.77,57.279999,57.639999,1279000,56.931356
2015-03-30,58.18,58.869999,58.07,58.77,841900,58.047465
2015-03-31,58.330002,59.189999,58.16,58.93,1317600,58.205498
2015-04-01,58.66,58.779999,57.830002,58.279999,1334800,57.563487
2015-04-02,58.040001,58.900002,58.040001,58.799999,839600,58.077095
2015-04-06,58.459999,59.189999,58.259998,58.970001,1016500,58.245007
2015-04-07,58.810001,59.02,58.68,58.84,838900,58.116604
2015-04-08,58.779999,59.220001,58.529999,59.209999,725600,58.482054
2015-04-09,59.130001,59.459999,58.880001,59.299999,578300,58.570948
2015-04-10,59.299999,59.549999,59.139999,59.540001,539100,58.807999
2015-04-13,59.380001,59.610001,58.889999,59.009998,735000,58.284512
2015-04-14,58.810001,59.040001,58.450001,58.93,835700,58.205498
2015-04-15,59.049999,59.509998,58.889999,59.220001,951600,58.491933
2015-04-16,58.970001,59.25,58.740002,58.759998,809000,58.037586
2015-04-17,58.310001,58.369999,57.77,57.959999,899100,57.247422
2015-04-20,58.369999,58.709999,58.349998,58.439999,882200,57.72152
2015-04-21,58.700001,58.970001,58.16,58.16,1593800,57.444964
2015-04-22,56.639999,57.689999,55.529999,56.810001,2147300,56.111563
2015-04-23,56.360001,57.02,56.080002,56.700001,1173500,56.002914
2015-04-24,56.68,56.68,56.099998,56.169998,1271700,55.479428
2015-04-27,56.150002,56.360001,55.889999,56.220001,1202000,55.528816
2015-04-28,56.060001,56.240002,55.610001,55.990002,1330600,55.301644
2015-04-29,55.580002,55.900002,55.419998,55.790001,883000,55.104102
2015-04-30,55.43,55.779999,54.950001,55.369999,1218100,54.689264
2015-05-01,55.77,56.52,55.57,56.490002,1163900,55.795497
2015-05-04,56.529999,56.990002,56.529999,56.830002,837600,56.131317
2015-05-05,56.689999,56.900002,55.830002,55.919998,884700,55.232501
2015-05-06,56.220001,56.220001,55.419998,55.700001,776200,55.015209
2015-05-07,55.84,55.939999,55.59,55.75,595500,55.064593
2015-05-08,56.240002,56.849998,56.189999,56.810001,637300,56.111563
2015-05-11,56.59,57.279999,56.32,57.150002,1319800,56.447383
2015-05-12,56.799999,57.110001,56.599998,56.77,853200,56.072053
2015-05-13,56.98,57.599998,56.810001,56.950001,826000,56.249841
2015-05-14,57.43,58.130001,57.16,58.080002,733900,57.365949
2015-05-15,57.860001,58.169998,57.619999,57.779999,578700,57.069635
2015-05-18,57.580002,58.169998,57.580002,58.16,506300,57.444964
2015-05-19,58.330002,58.400002,57.990002,58.060001,520700,57.346195
2015-05-20,58.0,58.439999,57.900002,58.27,704300,57.553612
2015-05-21,58.419998,58.490002,57.779999,57.970001,667200,57.257301
2015-05-22,57.779999,58.07,57.540001,57.93,841300,57.217792
2015-05-26,57.369999,57.869999,57.0,57.18,963800,56.477013
2015-05-27,57.369999,57.720001,56.689999,57.650002,1065900,56.941236
2015-05-28,57.59,57.759998,57.419998,57.630001,769000,56.921481
2015-05-29,57.59,57.75,57.029999,57.049999,830300,56.34861
2015-06-01,57.110001,57.330002,56.610001,57.200001,1081100,56.496767
2015-06-02,56.990002,57.919998,56.59,57.66,963300,56.951111
2015-06-03,57.669998,58.16,57.41,57.880001,732900,57.168407
2015-06-04,57.630001,57.630001,56.869999,56.950001,845200,56.249841
2015-06-05,56.790001,57.27,56.57,57.139999,525400,56.437504
2015-06-08,57.09,57.220001,56.709999,56.860001,713200,56.284074
2015-06-09,56.59,56.959999,56.52,56.689999,560200,56.115794
2015-06-10,56.869999,57.48,56.82,57.389999,451500,56.808704
2015-06-11,57.5,57.630001,57.27,57.5,531400,56.917591
2015-06-12,57.150002,57.790001,56.939999,57.689999,1024700,57.105665
2015-06-15,57.27,57.27,56.66,56.990002,707500,56.412758
2015-06-16,57.0,57.459999,56.84,57.150002,686500,56.571137
2015-06-17,57.330002,57.509998,56.700001,57.029999,673500,56.45235
2015-06-18,57.220001,58.25,57.119999,58.200001,794200,57.610501
2015-06-19,57.919998,58.09,57.669998,57.689999,963800,57.105665
2015-06-22,58.09,58.169998,57.700001,57.93,481000,57.343236
2015-06-23,57.91,57.959999,57.5,57.73,665000,57.145261
2015-06-24,57.740002,57.849998,56.720001,56.790001,935800,56.214783
2015-06-25,56.900002,56.990002,56.110001,56.18,680400,55.610961
2015-06-26,56.240002,56.48,55.580002,55.68,1414700,55.116026
2015-06-29,55.630001,58.169998,55.5,56.84,5048300,56.264276
2015-06-30,57.48,58.639999,57.48,57.970001,2770500,57.382831
2015-07-01,58.5,58.509998,57.220001,57.450001,1591000,56.868098
2015-07-02,57.400002,57.759998,56.759998,56.990002,1440000,56.412758
2015-07-06,56.41,56.900002,55.790001,56.02,1765400,55.452582
2015-07-07,56.009998,56.25,55.119999,55.889999,1866200,55.323898
2015-07-08,55.330002,55.450001,54.189999,54.200001,1323200,53.651017
2015-07-09,55.060001,55.09,54.18,54.290001,915400,53.740105
2015-07-10,55.0,55.110001,54.23,54.509998,1070700,53.957874
2015-07-13,54.919998,55.41,54.720001,55.380001,981400,54.819065
2015-07-14,55.279999,55.470001,55.07,55.150002,850400,54.591395
2015-07-15,55.220001,55.560001,54.919998,55.0,1458300,54.442913
2015-07-16,55.360001,55.540001,54.84,54.950001,910300,54.39342
2015-07-17,55.02,55.080002,53.98,54.32,1687400,53.7698
2015-07-20,54.459999,54.549999,54.080002,54.349998,1299700,53.799495
2015-07-21,54.389999,54.77,53.990002,54.09,1761200,53.54213
2015-07-22,55.150002,56.880001,54.75,56.779999,2663200,56.204882
2015-07-23,56.990002,57.400002,56.25,56.259998,1082100,55.690149
