Date,Open_AAP,High_AAP,Low_AAP,Close_AAP,Volume_AAP,AdjClose_AAP
2015-07-20,169.699997,170.0,168.240005,168.690002,480600,168.501386
2015-07-21,168.539993,168.929993,166.550003,167.529999,525700,167.34268
2015-07-22,167.479996,169.839996,166.839996,168.220001,1013000,168.03191
2015-07-23,169.050003,171.089996,168.25,168.389999,589400,168.201719
2015-07-24,168.660004,170.059998,167.800003,168.309998,529500,168.121806
2015-07-27,167.529999,169.179993,166.5,168.339996,586400,168.151771
2015-07-28,169.080002,170.740005,167.690002,170.300003,411100,170.109587
2015-07-29,170.649994,173.610001,169.880005,173.059998,838000,172.866495
2015-07-30,172.979996,173.679993,170.910004,172.539993,509700,172.347072
2015-07-31,173.440002,175.0,172.059998,174.210007,644400,174.015218
2015-08-03,174.929993,175.110001,172.220001,173.809998,472300,173.615657
2015-08-04,174.300003,176.100006,173.699997,175.100006,474700,174.904223
2015-08-05,175.520004,177.220001,174.089996,175.270004,810400,175.074031
2015-08-06,175.589996,175.779999,171.360001,172.740005,596800,172.546861
2015-08-07,172.759995,174.029999,171.539993,173.75,534500,173.555726
2015-08-10,174.869995,175.320007,172.919998,173.660004,937500,173.46583
2015-08-11,172.740005,173.729996,171.559998,171.919998,2067300,171.72777
2015-08-12,170.690002,172.580002,169.399994,172.0,2965500,171.807683
2015-08-13,173.899994,192.270004,173.0,187.789993,3745800,187.580021
2015-08-14,188.490005,190.139999,186.759995,187.029999,1252700,186.820876
2015-08-17,187.240005,188.059998,183.119995,184.690002,1580600,184.483496
2015-08-18,186.220001,186.270004,183.589996,185.770004,1508100,185.56229
2015-08-19,185.279999,188.5,184.389999,187.839996,912100,187.629968
2015-08-20,187.479996,187.649994,184.369995,184.449997,591500,184.243759
2015-08-21,182.130005,183.929993,177.229996,177.539993,1392500,177.341482
2015-08-24,173.259995,178.699997,151.300003,173.75,1459800,173.555726
2015-08-25,177.490005,179.130005,171.139999,171.220001,1044000,171.028556
2015-08-26,173.940002,174.470001,169.130005,171.460007,2015800,171.268293
2015-08-27,172.809998,176.300003,172.25,176.229996,1591600,176.032949
2015-08-28,175.5,176.830002,174.660004,176.479996,641800,176.282669
2015-08-31,175.910004,176.990005,174.300003,175.25,950000,175.054049
2015-09-01,172.529999,173.919998,171.470001,172.619995,802800,172.426985
2015-09-02,173.720001,176.110001,172.770004,175.25,444300,175.054049
2015-09-03,175.169998,177.039993,172.699997,173.240005,728200,173.046302
2015-09-04,171.820007,173.410004,170.960007,172.130005,687700,171.937542
2015-09-08,174.729996,176.330002,171.899994,175.320007,618200,175.123978
2015-09-09,176.100006,178.399994,174.350006,174.919998,1024600,174.724416
2015-09-10,174.389999,176.699997,173.100006,174.880005,885300,174.684467
2015-09-11,173.710007,175.449997,172.800003,174.839996,1123600,174.644504
2015-09-14,175.100006,176.039993,173.479996,175.0,556400,174.804328
2015-09-15,175.029999,177.839996,173.350006,176.850006,822500,176.652266
2015-09-16,175.919998,178.990005,175.410004,178.589996,600900,178.450848
2015-09-17,178.389999,181.029999,177.529999,178.279999,768200,178.141092
2015-09-18,176.399994,177.589996,173.300003,173.699997,922400,173.564658
2015-09-21,174.320007,175.649994,173.039993,174.75,453300,174.613843
2015-09-22,173.679993,175.0,172.539993,174.440002,662300,174.304087
2015-09-23,174.360001,176.080002,173.960007,175.869995,315700,175.732966
2015-09-24,175.190002,175.190002,173.619995,174.800003,427200,174.663807
2015-09-25,175.839996,178.759995,175.600006,176.839996,481300,176.702211
2015-09-28,176.529999,177.770004,171.279999,171.399994,1023300,171.266447
2015-09-29,171.270004,172.309998,169.399994,170.529999,904300,170.39713
2015-09-30,183.490005,192.5,183.479996,189.529999,4119700,189.382326
2015-10-01,190.279999,192.639999,188.100006,192.039993,1587000,191.890365
2015-10-02,189.809998,192.020004,188.029999,191.690002,1279700,191.540647
2015-10-05,193.559998,194.610001,189.419998,191.169998,887600,191.021048
2015-10-06,191.339996,192.440002,189.399994,191.100006,543400,190.95111
2015-10-07,191.399994,192.179993,188.910004,190.350006,990200,190.201695
2015-10-08,190.399994,191.149994,186.460007,187.350006,986100,187.204032
2015-10-09,186.880005,189.910004,186.130005,189.520004,785600,189.372339
