Date,Open_TSCO,High_TSCO,Low_TSCO,Close_TSCO,Volume_TSCO,AdjClose_TSCO
2014-08-05,61.470001,62.490002,61.380001,61.82,904200,60.702368
2014-08-06,61.349998,62.029999,60.91,61.34,1047500,60.231046
2014-08-07,61.48,61.810001,60.810001,60.91,639100,59.80882
2014-08-08,61.099998,61.779999,61.099998,61.75,769400,60.633634
2014-08-11,61.939999,62.25,61.610001,62.119999,578000,60.996944
2014-08-12,61.880001,62.490002,61.02,62.130001,569100,61.006765
2014-08-13,62.099998,62.279999,61.23,61.709999,770100,60.594356
2014-08-14,61.73,62.119999,61.360001,62.029999,594200,61.066903
2014-08-15,62.41,62.459999,60.650002,61.299999,1041500,60.348237
2014-08-18,61.779999,62.009998,61.299999,61.860001,878900,60.899544
2014-08-19,61.91,62.869999,61.91,62.32,907900,61.352401
2014-08-20,62.18,63.419998,61.990002,63.25,868900,62.267962
2014-08-21,63.049999,63.700001,62.619999,63.529999,1434000,62.543613
2014-08-22,63.639999,64.779999,63.529999,64.559998,1270700,63.55762
2014-08-25,64.889999,65.309998,64.620003,65.269997,1339200,64.256595
2014-08-26,66.0,67.110001,65.75,66.779999,1895500,65.743153
2014-08-27,66.709999,66.989998,66.129997,66.510002,1223600,65.477348
2014-08-28,66.269997,67.400002,65.760002,67.150002,1134900,66.107411
2014-08-29,67.519997,67.550003,66.650002,66.949997,886800,65.910512
2014-09-02,67.110001,67.75,66.769997,67.160004,1036700,66.117258
2014-09-03,67.349998,67.839996,66.650002,66.730003,959400,65.693934
2014-09-04,66.910004,67.169998,65.760002,65.830002,1462100,64.807906
2014-09-05,65.75,66.080002,65.209999,65.82,1250900,64.798059
2014-09-08,65.620003,65.989998,64.449997,64.550003,1424700,63.547781
2014-09-09,64.480003,64.540001,63.220001,63.529999,1522900,62.543613
2014-09-10,62.5,62.630001,61.209999,61.619999,2836100,60.663269
2014-09-11,61.450001,61.849998,60.830002,61.82,1966400,60.860164
2014-09-12,61.52,61.93,60.860001,61.049999,1073300,60.102119
2014-09-15,60.91,61.189999,59.939999,60.189999,1642900,59.255471
2014-09-16,59.84,60.860001,59.27,60.73,1372600,59.787088
2014-09-17,60.73,61.110001,60.299999,60.869999,1469200,59.924913
2014-09-18,60.93,61.610001,60.82,61.450001,1345500,60.49591
2014-09-19,61.740002,61.740002,60.709999,61.02,1909900,60.072586
2014-09-22,60.91,60.939999,60.009998,60.299999,1337600,59.363764
2014-09-23,59.939999,60.509998,59.790001,60.009998,1535900,59.078265
2014-09-24,60.189999,61.689999,60.189999,61.619999,1454600,60.663269
2014-09-25,61.619999,61.830002,60.580002,60.650002,1196400,59.708332
2014-09-26,60.779999,61.93,60.650002,61.860001,974900,60.899544
2014-09-29,61.07,61.549999,60.759998,61.43,967500,60.47622
2014-09-30,61.34,61.709999,61.150002,61.509998,932400,60.554976
2014-10-01,61.400002,61.48,60.200001,60.349998,1706700,59.412987
2014-10-02,60.43,61.169998,59.959999,60.959999,818700,60.013516
2014-10-03,61.369999,62.459999,61.240002,61.98,823300,61.01768
2014-10-06,62.060001,62.43,61.360001,61.41,586700,60.45653
2014-10-07,60.869999,61.09,59.299999,59.349998,1724600,58.428513
2014-10-08,59.25,59.490002,58.599998,59.23,2026400,58.310377
2014-10-09,59.200001,59.5,57.990002,58.310001,1548600,57.404663
2014-10-10,58.18,58.759998,57.139999,57.150002,1628400,56.262674
2014-10-13,57.240002,58.240002,56.5,57.169998,1469300,56.28236
2014-10-14,57.669998,58.610001,57.18,57.700001,1036600,56.804134
2014-10-15,57.02,58.009998,55.950001,57.57,1336300,56.676151
2014-10-16,56.610001,58.799999,56.5,58.529999,984400,57.621245
2014-10-17,58.950001,59.470001,58.099998,58.830002,819400,57.91659
2014-10-20,59.52,60.790001,59.5,60.419998,1302100,59.481899
2014-10-21,60.25,61.560001,59.57,61.459999,1108900,60.505753
2014-10-22,61.57,62.369999,61.009998,61.299999,1724400,60.348237
2014-10-23,68.0,71.93,67.849998,71.0,6512300,69.897633
2014-10-24,70.959999,72.559998,69.989998,71.669998,2626100,70.557229
2014-10-27,71.57,72.470001,71.230003,71.860001,1433000,70.744281
2014-10-28,72.050003,73.629997,71.849998,73.610001,1345900,72.46711
2014-10-29,73.440002,74.099998,72.019997,72.440002,1320900,71.315278
2014-10-30,72.099998,72.919998,71.919998,72.300003,892900,71.177452
2014-10-31,73.230003,73.599998,72.68,73.220001,1011200,72.083166
2014-11-03,73.220001,73.839996,72.989998,73.419998,1058700,72.280058
2014-11-04,73.089996,73.349998,72.199997,72.480003,700000,71.354657
2014-11-05,73.059998,73.550003,72.610001,73.360001,469700,72.220992
2014-11-06,73.5,74.43,73.139999,74.400002,720800,73.244845
2014-11-07,74.330002,74.900002,73.849998,74.559998,838300,73.402357
2014-11-10,74.309998,74.860001,73.279999,73.639999,784100,72.496643
2014-11-11,73.599998,73.639999,72.93,73.349998,544400,72.211145
2014-11-12,73.010002,74.470001,72.879997,73.889999,671300,72.742761
2014-11-13,73.900002,74.139999,73.540001,73.949997,610100,72.959811
2014-11-14,74.050003,74.900002,73.690002,74.860001,788000,73.857629
2014-11-17,74.610001,74.980003,73.889999,74.57,813300,73.571511
2014-11-18,74.449997,75.239998,74.309998,74.370003,965100,73.374192
2014-11-19,74.660004,75.57,73.739998,75.32,939200,74.311469
2014-11-20,75.239998,76.199997,74.870003,75.309998,854800,74.301601
2014-11-21,76.25,76.470001,75.339996,75.68,645100,74.666649
2014-11-24,75.949997,76.830002,75.720001,76.779999,606400,75.751919
2014-11-25,76.779999,76.790001,75.639999,76.099998,800100,75.081024
2014-11-26,76.459999,76.459999,75.389999,75.690002,483300,74.676517
2014-11-28,75.900002,77.660004,75.809998,76.93,473500,75.899912
