Date,Open_KSU,High_KSU,Low_KSU,Close_KSU,Volume_KSU,AdjClose_KSU
2014-05-23,106.0,107.830002,105.809998,107.459999,686400,104.35102
2014-05-27,107.900002,108.870003,107.400002,107.910004,637300,104.788006
2014-05-28,108.080002,108.650002,107.32,107.769997,766100,104.652049
2014-05-29,108.059998,108.370003,106.809998,107.360001,601600,104.253915
2014-05-30,107.230003,107.599998,106.800003,107.519997,1268000,104.409282
2014-06-02,107.839996,107.839996,106.150002,107.129997,636600,104.030566
2014-06-03,106.43,106.93,104.839996,105.470001,624200,102.418596
2014-06-04,105.370003,105.580002,104.32,104.800003,949300,101.767982
2014-06-05,104.980003,106.650002,104.68,106.410004,862700,103.608216
2014-06-06,106.449997,107.669998,106.169998,107.559998,438900,104.727931
2014-06-09,107.339996,108.769997,106.779999,107.059998,577300,104.241096
2014-06-10,107.129997,107.300003,105.379997,106.110001,472800,103.316112
2014-06-11,105.739998,105.879997,104.879997,105.730003,383400,102.94612
2014-06-12,105.779999,105.800003,103.5,103.779999,678400,101.04746
2014-06-13,104.050003,104.779999,103.529999,104.620003,525400,101.865346
2014-06-16,104.550003,105.230003,104.07,104.620003,442600,101.865346
2014-06-17,104.32,105.5,103.949997,105.099998,535600,102.332704
2014-06-18,105.330002,107.040001,105.169998,106.959999,588900,104.14373
2014-06-19,106.790001,108.169998,106.529999,107.440002,704000,104.611095
2014-06-20,107.889999,108.040001,107.080002,107.839996,694700,105.000557
2014-06-23,107.919998,107.919998,106.040001,106.93,423400,104.114521
2014-06-24,106.849998,107.599998,106.019997,106.18,493900,103.384269
2014-06-25,105.800003,107.279999,105.75,107.040001,500300,104.221626
2014-06-26,107.040001,107.209999,105.5,106.349998,391000,103.549791
2014-06-27,106.010002,106.919998,105.629997,106.080002,898500,103.286903
2014-06-30,106.080002,108.099998,106.07,107.510002,676100,104.679252
2014-07-01,107.440002,107.690002,106.669998,107.199997,434000,104.377409
2014-07-02,106.949997,108.25,106.860001,107.989998,489600,105.146609
2014-07-03,108.459999,109.650002,108.150002,109.389999,517400,106.509748
2014-07-07,109.18,109.489998,107.879997,108.660004,603900,105.798973
2014-07-08,109.75,110.760002,108.300003,109.57,1114700,106.685009
2014-07-09,110.370003,111.739998,109.989998,111.720001,1113000,108.778401
2014-07-10,110.25,112.169998,109.419998,111.779999,1467900,108.836819
2014-07-11,111.589996,112.239998,110.839996,112.050003,774800,109.099714
2014-07-14,112.599998,113.339996,112.459999,112.650002,746300,109.683914
2014-07-15,112.599998,113.290001,112.43,112.720001,802000,109.752071
2014-07-16,112.949997,113.5,112.260002,113.480003,550200,110.492062
2014-07-17,113.25,114.32,112.709999,113.260002,1386600,110.277853
2014-07-18,113.370003,116.879997,112.790001,116.370003,1960100,113.305967
2014-07-21,116.0,117.110001,115.32,115.440002,1478100,112.400454
2014-07-22,116.349998,117.209999,115.879997,116.550003,922600,113.481228
2014-07-23,117.199997,117.25,115.650002,115.709999,671300,112.663342
2014-07-24,115.709999,116.32,115.339996,115.660004,683800,112.614663
2014-07-25,115.25,115.559998,113.879997,114.25,433300,111.241785
2014-07-28,114.089996,114.269997,110.599998,111.029999,1059700,108.106566
2014-07-29,111.050003,111.309998,109.5,110.110001,762100,107.210792
2014-07-30,110.830002,111.25,109.910004,110.809998,479500,107.892358
