Date,Open_EIX,High_EIX,Low_EIX,Close_EIX,Volume_EIX,AdjClose_EIX
2015-04-14,62.91,63.330002,62.68,62.990002,1697500,61.192653
2015-04-15,63.110001,63.59,62.389999,62.490002,1990100,60.70692
2015-04-16,62.389999,62.509998,61.09,61.68,3399500,59.920031
2015-04-17,61.360001,61.970001,60.77,61.07,3245000,59.327436
2015-04-20,60.52,62.279999,60.52,61.650002,2949300,59.890888
2015-04-21,61.650002,62.080002,60.369999,60.5,3722800,58.773701
2015-04-22,60.549999,60.810001,59.779999,60.009998,4858100,58.29768
2015-04-23,60.009998,60.73,59.889999,60.439999,3384600,58.715411
2015-04-24,60.450001,61.869999,60.279999,61.580002,2769500,59.822886
2015-04-27,61.889999,61.900002,60.639999,61.009998,2091600,59.269147
2015-04-28,60.82,61.939999,60.720001,61.66,2384600,59.900601
2015-04-29,62.830002,62.970001,61.330002,62.009998,4306400,60.240613
2015-04-30,61.869999,61.93,60.419998,60.939999,3235900,59.201144
2015-05-01,61.02,61.59,60.5,61.540001,2241600,59.784026
2015-05-04,61.599998,62.310001,61.290001,61.919998,2439100,60.153181
2015-05-05,61.639999,61.779999,60.080002,60.369999,1925800,58.647409
2015-05-06,60.240002,60.360001,59.049999,59.599998,2319600,57.89938
2015-05-07,59.869999,60.5,59.73,60.139999,2258100,58.423972
2015-05-08,60.950001,61.25,60.310001,60.669998,2603400,58.938848
2015-05-11,60.43,61.419998,60.16,60.27,1391700,58.550264
2015-05-12,59.849998,59.970001,58.98,59.52,3177000,57.821664
2015-05-13,59.599998,60.060001,58.57,58.84,2090200,57.161067
2015-05-14,59.09,59.759998,59.049999,59.75,2047300,58.045101
2015-05-15,59.900002,60.619999,59.599998,60.439999,2472900,58.715411
2015-05-18,60.16,61.049999,60.110001,60.77,1397900,59.035997
2015-05-19,60.459999,60.98,60.220001,60.580002,1399100,58.85142
2015-05-20,60.709999,61.34,60.490002,60.810001,1255300,59.074856
2015-05-21,60.830002,61.110001,60.509998,60.830002,1171700,59.094286
2015-05-22,60.810001,60.939999,60.220001,60.740002,919500,59.006854
2015-05-26,60.709999,60.759998,59.91,60.459999,1745800,58.734841
2015-05-27,60.48,60.919998,60.310001,60.779999,1625400,59.04571
2015-05-28,60.830002,61.25,60.580002,61.049999,1766400,59.308006
2015-05-29,61.060001,61.34,60.740002,60.810001,2414400,59.074856
2015-06-01,60.91,61.220001,60.740002,60.779999,1253400,59.04571
2015-06-02,60.380001,60.470001,59.18,59.540001,1919100,57.841094
2015-06-03,59.490002,59.540001,58.09,58.619999,2113900,56.947343
2015-06-04,58.169998,59.09,58.169998,58.84,1811900,57.161067
2015-06-05,58.0,58.34,57.5,57.68,1807400,56.034166
2015-06-08,57.689999,57.82,57.360001,57.52,1775500,55.878732
2015-06-09,57.43,57.599998,57.25,57.259998,1157300,55.626149
2015-06-10,57.619999,58.07,57.34,57.419998,1831300,55.781583
2015-06-11,57.990002,58.220001,57.610001,57.869999,1183600,56.218744
2015-06-12,57.5,57.869999,57.169998,57.200001,1085900,55.567863
2015-06-15,57.240002,57.48,56.880001,57.360001,1674200,55.723297
2015-06-16,57.299999,57.810001,57.099998,57.580002,1371000,55.937021
2015-06-17,57.540001,58.130001,57.25,57.990002,1657400,56.335322
2015-06-18,58.049999,59.200001,58.029999,58.860001,1965300,57.180497
2015-06-19,58.889999,59.43,58.529999,58.610001,2303300,56.93763
2015-06-22,58.16,58.91,58.16,58.380001,2389600,56.714193
2015-06-23,58.200001,58.48,57.349998,57.630001,2242200,55.985594
2015-06-24,57.689999,57.91,55.18,56.07,6909500,54.470105
2015-06-25,56.34,56.41,55.709999,56.0,4512800,54.402103
2015-06-26,55.810001,56.419998,55.639999,56.23,4130500,55.036348
2015-06-29,56.189999,56.669998,55.66,55.68,2642800,54.498024
2015-06-30,55.75,55.84,55.330002,55.580002,2326400,54.400149
2015-07-01,55.75,56.41,55.52,56.400002,2402100,55.202741
2015-07-02,56.669998,57.75,56.669998,57.549999,3146200,56.328327
2015-07-06,57.380001,57.84,56.889999,57.599998,2128400,56.377265
2015-07-07,58.07,59.110001,57.810001,58.830002,2545200,57.581158
2015-07-08,58.529999,59.099998,58.040001,58.25,1938800,57.013468
2015-07-09,58.25,58.509998,57.380001,57.580002,1935000,56.357693
2015-07-10,57.48,58.34,57.18,57.950001,1567000,56.719837
2015-07-13,58.099998,58.43,57.439999,57.720001,2305700,56.49472
2015-07-14,57.830002,58.310001,57.779999,57.939999,1838800,56.710047
2015-07-15,57.849998,58.150002,57.360001,58.110001,1337500,56.876441
2015-07-16,58.209999,59.189999,58.150002,59.139999,2321900,57.884575
2015-07-17,59.169998,59.169998,58.470001,58.540001,1475500,57.297313
2015-07-20,58.43,58.43,57.919998,58.189999,1403000,56.95474
2015-07-21,58.189999,58.299999,57.830002,57.990002,1807600,56.758989
2015-07-22,58.009998,58.82,57.98,58.400002,2435200,57.160285
2015-07-23,58.220001,58.509998,57.189999,57.75,1723800,56.524082
2015-07-24,57.650002,58.0,57.41,57.650002,2198200,56.426206
2015-07-27,57.43,58.990002,57.43,58.93,2618100,57.679033
2015-07-28,58.869999,59.07,58.32,58.880001,2066200,57.630095
2015-07-29,58.75,59.099998,58.34,59.080002,1718100,57.825851
2015-07-30,58.84,59.759998,58.639999,59.529999,1162200,58.266295
2015-07-31,59.700001,61.240002,59.700001,60.009998,2500700,58.736105
2015-08-03,60.049999,60.639999,59.889999,60.150002,1855600,58.873136
2015-08-04,60.009998,60.049999,59.5,59.669998,1403600,58.403323
2015-08-05,59.98,60.240002,59.650002,59.860001,1375600,58.589292
2015-08-06,60.099998,60.630001,59.490002,60.599998,2441300,59.313581
2015-08-07,60.439999,61.27,59.919998,61.009998,2219000,59.714877
2015-08-10,61.0,61.150002,59.470001,59.540001,3271300,58.276085
2015-08-11,59.209999,59.970001,58.41,59.0,4864900,57.747547
2015-08-12,59.0,61.169998,58.66,60.689999,4666600,59.40167
2015-08-13,60.459999,60.779999,59.970001,60.59,2140000,59.303795
2015-08-14,60.540001,61.209999,60.240002,61.139999,1783000,59.842119
2015-08-17,60.970001,61.860001,60.48,61.740002,1584100,60.429384
2015-08-18,61.459999,61.740002,60.939999,61.23,1898400,59.930208
2015-08-19,61.18,62.189999,60.900002,61.939999,2795100,60.625135
2015-08-20,61.509998,62.639999,61.299999,61.740002,2576400,60.429384
2015-08-21,61.23,63.18,60.77,62.139999,4400000,60.820891
2015-08-24,61.669998,62.810001,59.32,59.68,7175600,58.413112
2015-08-25,60.310001,60.509998,57.41,57.490002,4176700,56.269603
2015-08-26,58.060001,58.880001,57.279999,58.700001,2978900,57.453916
2015-08-27,59.560001,60.189999,59.099998,59.869999,2824800,58.599078
2015-08-28,59.830002,60.200001,58.860001,59.639999,1532600,58.373961
2015-08-31,59.41,59.450001,57.900002,58.48,2038900,57.238585
2015-09-01,57.869999,58.16,56.880001,57.209999,2028800,55.995544
2015-09-02,57.779999,57.889999,57.060001,57.540001,2752600,56.318541
2015-09-03,57.580002,58.09,57.349998,57.610001,1919500,56.387055
