Date,Open_DUK,High_DUK,Low_DUK,Close_DUK,Volume_DUK,AdjClose_DUK
2016-03-30,80.400002,80.589996,79.779999,80.349998,1660100,79.516284
2016-03-31,80.349998,80.709999,79.809998,80.68,2813000,79.842862
2016-04-01,80.480003,81.32,80.279999,81.129997,3155300,80.288189
2016-04-04,81.150002,81.379997,80.400002,81.089996,1903400,80.248604
2016-04-05,81.059998,81.389999,79.769997,79.900002,3002200,79.070956
2016-04-06,79.599998,79.769997,78.669998,79.360001,3309100,78.536558
2016-04-07,79.199997,80.010002,79.199997,79.290001,2506900,78.467285
2016-04-08,79.629997,80.349998,79.540001,79.769997,1953700,78.9423
2016-04-11,79.839996,80.190002,79.43,79.440002,1928300,78.61573
2016-04-12,79.75,80.389999,79.349998,80.220001,2075300,79.387636
2016-04-13,80.410004,80.410004,79.129997,79.629997,1899900,78.803754
2016-04-14,79.610001,79.760002,79.059998,79.449997,1807800,78.625621
2016-04-15,79.459999,80.169998,79.339996,80.0,2520800,79.169917
2016-04-18,80.0,80.400002,79.489998,80.400002,1993500,79.565768
2016-04-19,80.559998,80.639999,79.309998,79.790001,3543500,78.962097
2016-04-20,79.989998,80.25,78.129997,78.199997,3238200,77.388591
2016-04-21,78.199997,78.290001,76.209999,76.339996,4967100,75.54789
2016-04-22,76.639999,77.120003,76.43,77.010002,2711600,76.210944
2016-04-25,76.82,77.169998,76.43,76.760002,2807400,75.963538
2016-04-26,76.970001,77.209999,76.529999,76.949997,2105200,76.151561
2016-04-27,77.239998,78.580002,77.010002,78.059998,2927600,77.250044
2016-04-28,77.32,78.419998,77.019997,78.339996,2287000,77.527138
2016-04-29,77.809998,78.849998,77.239998,78.779999,2727400,77.962575
2016-05-02,78.830002,79.629997,78.68,78.940002,2990200,78.120918
2016-05-03,78.940002,79.610001,78.370003,78.839996,3026800,78.02195
2016-05-04,78.830002,80.610001,78.639999,80.019997,4192400,79.189706
2016-05-05,79.699997,80.739998,79.540001,80.18,3698400,79.34805
2016-05-06,80.110001,80.129997,78.360001,79.379997,4454200,78.556348
2016-05-09,79.339996,80.43,79.139999,80.059998,2679100,79.229292
2016-05-10,80.410004,80.5,79.839996,80.059998,2457800,79.229292
2016-05-11,80.300003,80.5,79.550003,80.489998,2704400,79.654831
2016-05-12,80.349998,81.279999,79.910004,81.080002,2762300,80.238713
2016-05-13,81.080002,81.150002,80.269997,80.769997,2612500,79.931924
2016-05-16,80.580002,81.010002,80.160004,81.0,2426500,80.159541
2016-05-17,80.900002,80.900002,79.059998,79.510002,3682100,78.685003
2016-05-18,78.599998,78.599998,76.360001,76.57,4109400,76.57
2016-05-19,76.169998,77.010002,75.720001,76.970001,2883000,76.970001
2016-05-20,77.260002,77.269997,76.470001,77.0,2444600,77.0
2016-05-23,77.040001,77.18,76.080002,76.150002,2755000,76.150002
2016-05-24,76.419998,77.089996,76.230003,76.989998,2418100,76.989998
2016-05-25,76.949997,77.110001,76.349998,76.949997,3613400,76.949997
2016-05-26,76.989998,78.010002,76.989998,77.959999,1801000,77.959999
2016-05-27,77.940002,78.139999,77.599998,77.980003,2192900,77.980003
2016-05-31,78.010002,78.370003,77.68,78.230003,4055800,78.230003
2016-06-01,78.25,79.029999,78.0,79.019997,2917000,79.019997
2016-06-02,78.720001,79.010002,77.959999,78.940002,2448700,78.940002
2016-06-03,79.639999,80.459999,79.620003,80.080002,4165500,80.080002
