Date,Open_SNI,High_SNI,Low_SNI,Close_SNI,Volume_SNI,AdjClose_SNI
2014-07-29,83.599998,84.0,82.790001,82.809998,508100,80.498238
2014-07-30,83.300003,83.419998,82.18,83.010002,725800,80.692659
2014-07-31,82.660004,83.5,82.080002,82.410004,577700,80.10941
2014-08-01,82.400002,83.029999,82.190002,82.989998,744000,80.673213
2014-08-04,83.449997,83.589996,82.889999,83.419998,753300,81.09121
2014-08-05,83.059998,83.830002,82.720001,83.489998,884600,81.159255
2014-08-06,82.940002,83.279999,82.0,82.080002,889800,79.788621
2014-08-07,81.510002,81.760002,77.269997,77.43,1770200,75.268431
2014-08-08,77.089996,78.419998,76.129997,78.18,1142100,75.997494
2014-08-11,78.230003,78.82,77.779999,78.379997,1082300,76.191907
2014-08-12,78.209999,78.730003,78.010002,78.230003,938400,76.046101
2014-08-13,78.330002,79.110001,78.330002,79.059998,701200,76.852925
2014-08-14,79.0,79.849998,78.860001,79.610001,863600,77.387573
2014-08-15,79.830002,80.32,79.300003,80.120003,707000,77.883338
2014-08-18,80.349998,81.120003,80.349998,80.980003,682100,78.719331
2014-08-19,80.940002,81.190002,80.290001,80.339996,579200,78.09719
2014-08-20,80.269997,81.650002,80.050003,81.5,699200,79.224811
2014-08-21,81.5,81.970001,80.980003,81.650002,517500,79.370625
2014-08-22,81.529999,81.93,80.919998,81.459999,743600,79.185927
2014-08-25,81.690002,81.940002,80.480003,80.669998,581900,78.41798
2014-08-26,80.800003,81.279999,80.459999,80.709999,879300,78.456864
2014-08-27,80.580002,81.099998,80.410004,80.489998,491600,78.437369
2014-08-28,80.370003,80.410004,79.889999,80.110001,398400,78.067062
2014-08-29,80.190002,80.300003,79.639999,79.709999,784200,77.677261
2014-09-02,79.860001,80.860001,79.730003,80.019997,722900,77.979353
2014-09-03,80.589996,80.760002,79.209999,79.360001,845800,77.336188
2014-09-04,79.620003,80.010002,79.160004,79.349998,931300,77.326441
2014-09-05,79.230003,80.559998,79.099998,80.489998,717100,78.437369
2014-09-08,80.190002,80.540001,79.339996,79.690002,499000,77.657774
2014-09-09,79.510002,79.550003,78.349998,78.410004,647400,76.410418
2014-09-10,78.389999,78.760002,77.940002,78.629997,518800,76.624801
2014-09-11,78.389999,78.839996,78.239998,78.519997,513700,76.517606
2014-09-12,78.480003,78.580002,77.980003,78.339996,418600,76.342196
2014-09-15,78.269997,78.559998,78.010002,78.129997,468600,76.137552
2014-09-16,77.879997,78.739998,77.82,78.099998,654700,76.108318
2014-09-17,78.099998,78.389999,77.760002,78.050003,708300,76.059598
2014-09-18,78.25,78.410004,77.839996,78.230003,528000,76.235008
2014-09-19,78.599998,78.809998,78.029999,78.309998,1366400,76.312962
2014-09-22,78.269997,78.330002,77.330002,77.639999,1017900,75.66005
2014-09-23,77.580002,78.040001,76.82,77.870003,2795500,75.884188
2014-09-24,77.760002,78.300003,77.629997,78.080002,1710000,76.088832
2014-09-25,77.900002,78.099998,77.349998,77.800003,2546700,75.815973
2014-09-26,77.790001,78.279999,77.519997,78.099998,1456800,76.108318
2014-09-29,77.519997,78.220001,77.400002,78.040001,1652100,76.049851
2014-09-30,78.239998,78.269997,77.760002,78.089996,1126300,76.098571
2014-10-01,78.099998,78.25,77.370003,77.989998,3290900,76.001123
2014-10-02,77.940002,79.080002,77.589996,78.010002,3423000,76.020617
2014-10-03,78.360001,79.139999,78.059998,79.040001,688900,77.024349
2014-10-06,79.220001,79.379997,78.010002,78.239998,492000,76.244747
2014-10-07,77.75,78.029999,76.459999,76.610001,1363200,74.656318
2014-10-08,76.589996,77.43,75.879997,77.400002,772300,75.426172
2014-10-09,77.25,77.379997,74.510002,74.529999,1106600,72.629359
2014-10-10,74.379997,75.029999,73.510002,73.660004,809600,71.781551
2014-10-13,73.43,74.279999,72.730003,72.790001,1267200,70.933734
2014-10-14,73.230003,74.949997,73.080002,74.879997,1429500,72.970432
2014-10-15,73.860001,75.459999,72.169998,73.5,1476100,71.625627
2014-10-16,72.540001,72.980003,71.059998,71.610001,2213900,69.783826
2014-10-17,72.029999,72.860001,71.760002,72.68,1096100,70.826539
2014-10-20,72.889999,73.68,72.629997,73.660004,615300,71.781551
2014-10-21,73.599998,75.300003,73.599998,75.169998,703700,73.253038
2014-10-22,75.339996,75.849998,74.269997,74.32,614700,72.424716
2014-10-23,74.889999,76.190002,74.889999,75.480003,437300,73.555137
2014-10-24,75.639999,76.470001,75.379997,76.18,498500,74.237283
2014-10-27,75.989998,76.540001,75.639999,75.709999,441600,73.779268
2014-10-28,76.129997,76.940002,75.970001,76.400002,660900,74.451674
2014-10-29,76.529999,77.32,76.25,76.82,582600,74.860962
2014-10-30,76.419998,76.860001,76.080002,76.529999,506700,74.578356
2014-10-31,77.669998,77.779999,76.660004,77.239998,711500,75.270249
2014-11-03,77.290001,77.919998,77.18,77.809998,983600,75.825713
2014-11-04,77.370003,77.370003,74.870003,74.900002,1796700,72.989927
2014-11-05,75.290001,75.489998,73.989998,74.589996,1743900,72.687827
2014-11-06,74.239998,76.970001,74.239998,75.010002,2511100,73.097122
2014-11-07,75.040001,75.389999,73.610001,75.190002,1474400,73.272532
2014-11-10,75.199997,75.290001,72.169998,73.339996,2147800,71.469704
2014-11-11,72.989998,73.580002,72.599998,73.489998,1187700,71.61588
2014-11-12,73.120003,74.059998,72.93,73.5,779700,71.625627
2014-11-13,73.489998,73.639999,73.129997,73.5,902400,71.625627
2014-11-14,73.639999,75.199997,73.5,75.169998,1057700,73.253038
2014-11-17,74.760002,75.169998,74.25,75.010002,785900,73.097122
2014-11-18,74.830002,75.110001,74.089996,74.879997,878100,72.970432
