Date,Open_CMG,High_CMG,Low_CMG,Close_CMG,Volume_CMG,AdjClose_CMG
2014-11-14,671.099976,675.23999,667.960022,669.799988,277800,669.799988
2014-11-17,668.0,669.72998,657.340027,658.320007,367200,658.320007
2014-11-18,656.0,663.580017,656.0,658.090027,245300,658.090027
2014-11-19,659.98999,660.950012,654.280029,658.559998,234200,658.559998
2014-11-20,657.440002,663.830017,656.090027,662.830017,211700,662.830017
2014-11-21,667.48999,667.719971,656.919983,657.880005,349000,657.880005
2014-11-24,659.75,660.940002,646.590027,659.539978,454900,659.539978
2014-11-25,662.0,664.5,654.119995,654.900024,460400,654.900024
2014-11-26,656.830017,661.169983,655.0,660.210022,162300,660.210022
2014-11-28,661.48999,671.98999,661.48999,663.619995,172800,663.619995
2014-12-01,664.659973,670.200012,660.400024,660.880005,272000,660.880005
2014-12-02,659.880005,664.710022,655.599976,660.039978,286900,660.039978
2014-12-03,656.840027,661.5,651.140015,651.27002,391000,651.27002
2014-12-04,652.530029,665.799988,651.530029,663.969971,377800,663.969971
2014-12-05,665.840027,665.840027,660.0,660.570007,169700,660.570007
2014-12-08,662.099976,662.349976,653.5,657.030029,289300,657.030029
2014-12-09,654.5,658.640015,645.530029,657.090027,412500,657.090027
2014-12-10,657.0,663.179993,647.799988,650.039978,307100,650.039978
2014-12-11,652.5,659.640015,651.950012,654.390015,269700,654.390015
2014-12-12,653.650024,662.98999,652.710022,657.669983,288500,657.669983
2014-12-15,658.5,661.330017,645.659973,648.830017,434100,648.830017
2014-12-16,648.830017,649.109985,632.429993,633.52002,414800,633.52002
2014-12-17,635.0,651.580017,635.0,649.150024,338300,649.150024
2014-12-18,655.48999,658.5,645.859985,655.599976,320200,655.599976
2014-12-19,658.73999,659.0,648.23999,651.419983,392400,651.419983
2014-12-22,652.309998,669.099976,652.289978,667.659973,380600,667.659973
2014-12-23,670.0,671.960022,665.390015,669.210022,225400,669.210022
2014-12-24,668.530029,676.679993,667.799988,672.789978,136900,672.789978
2014-12-26,672.76001,679.75,672.320007,678.059998,212000,678.059998
2014-12-29,675.75,696.559998,675.5,692.690002,504300,692.690002
2014-12-30,691.349976,693.0,680.419983,684.909973,268900,684.909973
2014-12-31,685.549988,693.960022,683.429993,684.51001,302500,684.51001
2015-01-02,686.0,687.469971,671.01001,678.400024,324800,678.400024
2015-01-05,678.400024,679.919983,664.200012,667.690002,374400,667.690002
2015-01-06,666.789978,672.0,653.77002,664.380005,609400,664.380005
2015-01-07,668.400024,694.849976,668.400024,694.26001,685600,694.26001
2015-01-08,702.5,727.969971,702.5,719.98999,1169900,719.98999
2015-01-09,721.849976,722.169983,711.960022,714.27002,404300,714.27002
2015-01-12,718.890015,719.0,709.47998,711.700012,276800,711.700012
2015-01-13,715.73999,724.47998,707.159973,714.059998,348100,714.059998
2015-01-14,703.210022,713.02002,700.0,709.73999,318600,709.73999
2015-01-15,709.0,715.099976,698.109985,700.780029,344600,700.780029
2015-01-16,696.570007,712.22998,696.570007,711.109985,316100,711.109985
2015-01-20,714.890015,716.0,702.5,705.780029,340900,705.780029
2015-01-21,704.400024,710.52002,702.059998,703.890015,307500,703.890015
2015-01-22,706.809998,715.179993,703.539978,713.440002,301300,713.440002
2015-01-23,715.47998,721.0,713.0,713.690002,324600,713.690002
2015-01-26,715.340027,725.859985,712.369995,723.429993,227700,723.429993
2015-01-27,718.380005,724.830017,716.0,721.330017,275600,721.330017
2015-01-28,722.969971,726.97998,710.640015,711.98999,244500,711.98999
2015-01-29,715.549988,717.150024,708.820007,714.530029,273700,714.530029
2015-01-30,714.640015,716.97998,707.719971,709.840027,385100,709.840027
2015-02-02,713.549988,716.440002,700.01001,712.549988,467900,712.549988
2015-02-03,716.5,726.630005,710.0,726.630005,1364200,726.630005
2015-02-04,680.280029,686.719971,667.150024,676.0,2474700,676.0
2015-02-05,679.799988,679.98999,670.030029,670.909973,830300,670.909973
2015-02-06,677.0,677.890015,657.97998,659.919983,864100,659.919983
2015-02-09,655.780029,658.070007,647.280029,648.01001,646500,648.01001
2015-02-10,652.0,666.25,648.929993,665.030029,734500,665.030029
2015-02-11,666.359985,676.75,664.0,669.640015,528200,669.640015
2015-02-12,671.080017,672.23999,665.26001,670.289978,288500,670.289978
2015-02-13,671.669983,678.169983,667.130005,674.890015,377400,674.890015
2015-02-17,674.460022,677.669983,669.299988,670.929993,280300,670.929993
2015-02-18,669.960022,674.950012,669.0,674.570007,297000,674.570007
2015-02-19,674.599976,682.52002,672.23999,673.280029,295400,673.280029
2015-02-20,670.590027,674.679993,669.380005,674.0,265600,674.0
2015-02-23,673.469971,679.719971,670.0,671.169983,215200,671.169983
2015-02-24,670.150024,673.219971,666.52002,667.909973,235800,667.909973
2015-02-25,670.299988,678.940002,668.719971,675.52002,378800,675.52002
2015-02-26,675.0,678.890015,669.140015,670.289978,281900,670.289978
2015-02-27,670.5,673.590027,664.969971,664.969971,440600,664.969971
2015-03-02,664.969971,673.299988,663.049988,670.859985,398700,670.859985
2015-03-03,670.380005,672.26001,664.559998,668.429993,264200,668.429993
2015-03-04,664.599976,667.0,659.25,664.159973,306000,664.159973
2015-03-05,667.159973,671.590027,666.200012,670.48999,249600,670.48999
2015-03-06,666.919983,666.919983,657.609985,658.679993,381600,658.679993
2015-03-09,658.01001,662.97998,653.369995,660.340027,321300,660.340027
2015-03-10,657.140015,658.330017,652.299988,654.73999,240400,654.73999
2015-03-11,658.679993,667.799988,658.289978,660.77002,350900,660.77002
2015-03-12,662.530029,671.590027,662.330017,670.390015,276600,670.390015
2015-03-13,668.0,677.640015,667.51001,674.51001,358500,674.51001
2015-03-16,676.090027,682.5,676.090027,678.880005,275000,678.880005
