Date,Open_COF,High_COF,Low_COF,Close_COF,Volume_COF,AdjClose_COF
2014-03-25,75.510002,75.970001,75.099998,75.32,2884100,72.200179
2014-03-26,75.639999,76.089996,74.919998,74.959999,2836400,71.85509
2014-03-27,75.580002,76.400002,75.07,75.879997,3924500,72.736981
2014-03-28,76.019997,76.610001,75.660004,76.089996,2024000,72.938282
2014-03-31,76.699997,77.550003,76.589996,77.160004,2549700,73.963969
2014-04-01,77.330002,77.449997,76.559998,76.779999,2171700,73.599704
2014-04-02,76.860001,77.370003,76.550003,77.150002,2521100,73.954381
2014-04-03,77.279999,77.68,77.0,77.470001,2392200,74.261126
2014-04-04,77.760002,77.910004,76.540001,76.699997,3008700,73.523016
2014-04-07,76.519997,76.540001,75.040001,75.550003,3864000,72.420656
2014-04-08,75.489998,76.099998,74.989998,75.68,3051300,72.545268
2014-04-09,75.839996,76.440002,75.220001,76.339996,3582300,73.177927
2014-04-10,76.400002,76.510002,74.07,74.07,4814300,71.001955
2014-04-11,73.400002,74.830002,73.059998,74.040001,2741300,70.973199
2014-04-14,74.870003,74.940002,73.209999,74.059998,2979800,70.992368
2014-04-15,74.389999,75.330002,73.559998,74.519997,3107700,71.433313
2014-04-16,75.269997,75.550003,74.629997,75.160004,3643600,72.04681
2014-04-17,75.589996,75.889999,74.720001,74.889999,4794000,71.78799
2014-04-21,75.459999,75.940002,74.93,75.050003,4336400,71.941366
2014-04-22,75.07,75.739998,74.839996,75.110001,4021800,71.998879
2014-04-23,75.059998,75.419998,74.779999,74.919998,3376400,71.816746
2014-04-24,75.309998,75.410004,74.550003,74.739998,2729400,71.644202
2014-04-25,74.540001,74.739998,73.199997,73.339996,3946900,70.302189
2014-04-28,73.809998,74.080002,72.629997,72.949997,6126400,69.928344
2014-04-29,73.440002,73.660004,73.209999,73.510002,4016100,70.465153
2014-04-30,73.519997,74.019997,73.230003,73.900002,4251700,70.838999
2014-05-01,73.900002,74.540001,73.389999,74.529999,4774400,71.442901
2014-05-02,74.760002,75.980003,74.449997,75.82,5635000,72.679469
2014-05-05,75.800003,75.860001,75.199997,75.809998,3188900,72.669881
2014-05-06,75.330002,75.82,74.760002,74.980003,3497800,71.874266
2014-05-07,75.169998,76.489998,75.169998,76.419998,2835900,73.254615
2014-05-08,76.010002,76.900002,75.870003,76.169998,3275200,73.302734
2014-05-09,76.209999,76.650002,76.019997,76.43,2750600,73.552949
2014-05-12,76.879997,77.779999,76.879997,77.730003,2566500,74.804016
2014-05-13,77.760002,77.970001,77.18,77.510002,2476800,74.592297
2014-05-14,77.279999,77.540001,76.059998,76.169998,2620700,73.302734
2014-05-15,75.989998,76.43,75.349998,76.419998,3354500,73.543324
2014-05-16,76.209999,76.279999,75.169998,75.769997,3325100,72.91779
2014-05-19,75.699997,76.160004,75.599998,76.099998,2264100,73.23537
2014-05-20,76.089996,76.25,75.330002,75.480003,1928600,72.638713
2014-05-21,75.800003,76.790001,75.699997,76.669998,1830300,73.783913
2014-05-22,76.5,77.080002,76.5,76.650002,1936300,73.764669
