Date,Open_MUR,High_MUR,Low_MUR,Close_MUR,Volume_MUR,AdjClose_MUR
2014-03-25,62.0,62.52,61.869999,61.970001,1444900,56.789716
2014-03-26,62.209999,62.880001,61.639999,61.66,1450200,56.505629
2014-03-27,61.830002,62.970001,61.700001,62.279999,1380600,57.0738
2014-03-28,62.560001,62.939999,62.25,62.75,1066000,57.504512
2014-03-31,63.0,63.139999,62.27,62.860001,1802300,57.605318
2014-04-01,62.93,63.139999,62.59,62.98,1051400,57.715285
2014-04-02,62.830002,63.529999,62.450001,63.439999,1336700,58.136832
2014-04-03,62.049999,63.259998,61.380001,61.869999,3073800,56.698074
2014-04-04,62.139999,62.919998,61.669998,61.91,1598400,56.734731
2014-04-07,61.779999,61.990002,61.060001,61.27,1307100,56.148231
2014-04-08,60.880001,61.549999,59.860001,61.099998,2529400,55.99244
2014-04-09,60.950001,61.060001,59.459999,60.400002,2290200,55.350958
2014-04-10,60.400002,61.07,59.950001,60.02,1908700,55.002723
2014-04-11,59.889999,60.5,59.529999,59.610001,1362700,54.626996
2014-04-14,60.02,60.290001,59.41,59.950001,1364000,54.938575
2014-04-15,59.990002,61.720001,59.889999,61.599998,1697600,56.450643
2014-04-16,62.52,63.18,62.130001,63.169998,1875600,57.889401
2014-04-17,63.02,64.25,62.860001,63.939999,1379400,58.595035
2014-04-21,63.990002,64.470001,63.700001,64.330002,700200,58.952436
2014-04-22,63.98,64.120003,63.349998,63.779999,1154900,58.44841
2014-04-23,63.860001,64.959999,63.709999,64.82,897800,59.401474
2014-04-24,65.0,65.339996,64.370003,64.75,1088800,59.337326
2014-04-25,64.519997,64.660004,63.48,63.73,865300,58.40259
2014-04-28,64.0,64.540001,63.490002,64.120003,1333300,58.759992
2014-04-29,64.589996,65.099998,64.370003,64.529999,1155100,59.135715
2014-04-30,64.169998,64.349998,62.650002,63.43,2428500,58.127669
2014-05-01,61.0,62.490002,60.279999,61.360001,3620000,56.230708
2014-05-02,61.380001,61.57,60.860001,61.209999,2141600,56.093245
2014-05-05,61.209999,61.540001,61.009998,61.290001,2203700,56.16656
2014-05-06,61.240002,61.75,60.830002,60.84,1436000,55.754176
2014-05-07,61.32,61.57,60.790001,60.990002,1228900,55.891638
2014-05-08,60.889999,61.16,59.869999,59.990002,1477100,54.975232
2014-05-09,59.900002,60.189999,59.57,60.0,1515600,54.984394
2014-05-12,60.369999,61.299999,60.130001,61.110001,1338900,56.001606
2014-05-13,61.09,61.459999,60.650002,60.990002,1312000,55.891638
2014-05-14,60.779999,61.189999,60.68,60.82,929800,56.023358
2014-05-15,61.310001,61.779999,60.16,61.099998,1473900,56.281275
2014-05-16,60.900002,60.93,59.93,60.130001,909900,55.387777
2014-05-19,60.029999,60.830002,59.869999,60.759998,1194200,55.968089
2014-05-20,60.639999,61.02,60.369999,60.439999,755400,55.673327
2014-05-21,61.23,61.709999,60.799999,61.650002,1478600,56.787901
2014-05-22,61.560001,61.84,61.099998,61.150002,879600,56.327334
2014-05-23,61.060001,61.369999,60.599998,60.779999,939200,55.986512
2014-05-27,60.880001,61.0,59.799999,60.650002,1623000,55.866767
