Date,Open_MA,High_MA,Low_MA,Close_MA,Volume_MA,AdjClose_MA
2014-06-04,76.309998,76.529999,75.82,76.32,2794700,75.252179
2014-06-05,76.32,77.169998,76.139999,76.839996,2680300,75.764901
2014-06-06,77.0,77.879997,76.900002,77.470001,3113900,76.386091
2014-06-09,77.32,77.489998,76.75,76.860001,3499900,75.784625
2014-06-10,76.739998,77.559998,76.57,77.360001,3396100,76.277629
2014-06-11,76.959999,77.43,76.720001,76.870003,3427500,75.794487
2014-06-12,76.980003,77.139999,75.459999,75.720001,3836400,74.660576
2014-06-13,75.720001,76.139999,75.129997,75.940002,3194900,74.877499
2014-06-16,75.599998,75.779999,74.900002,75.110001,5673600,74.05911
2014-06-17,75.139999,75.43,74.550003,74.980003,4163700,73.930931
2014-06-18,74.949997,75.209999,74.400002,75.120003,3820800,74.068972
2014-06-19,75.080002,75.419998,74.099998,74.269997,5501900,73.230859
2014-06-20,74.529999,75.010002,73.480003,73.809998,9339300,72.777296
2014-06-23,73.589996,74.300003,73.199997,74.139999,4899900,73.10268
2014-06-24,74.089996,74.790001,72.550003,72.699997,5943800,71.682825
2014-06-25,72.559998,73.550003,72.540001,73.040001,3813600,72.018072
2014-06-26,73.260002,73.279999,72.559998,72.769997,4085000,71.751846
2014-06-27,72.519997,73.610001,72.449997,73.400002,12447500,72.373036
2014-06-30,73.239998,73.879997,73.059998,73.470001,4737000,72.442056
2014-07-01,74.199997,75.910004,74.139999,75.529999,6330900,74.473232
2014-07-02,74.860001,76.389999,74.860001,76.199997,3973700,75.133856
2014-07-03,76.599998,76.900002,76.349998,76.739998,3213400,75.666301
2014-07-07,76.440002,76.639999,75.940002,76.18,3591100,75.221962
2014-07-08,76.110001,76.150002,75.129997,75.690002,3903600,74.738126
2014-07-09,75.870003,76.669998,75.599998,76.629997,3337000,75.6663
2014-07-10,75.650002,75.959999,74.75,75.470001,3318000,74.520892
2014-07-11,75.540001,75.849998,75.260002,75.830002,2759000,74.876365
2014-07-14,76.440002,77.709999,76.040001,77.330002,5585800,76.357501
2014-07-15,77.989998,79.220001,77.860001,78.32,7508400,77.335049
2014-07-16,78.650002,78.690002,77.949997,78.309998,3623200,77.325172
2014-07-17,77.309998,77.870003,76.25,76.389999,5467000,75.42932
2014-07-18,76.75,77.650002,76.449997,77.5,3485700,76.525361
2014-07-21,77.110001,77.440002,76.589996,77.349998,3101300,76.377246
2014-07-22,77.519997,78.389999,77.349998,78.269997,3467200,77.285674
2014-07-23,78.160004,78.379997,77.190002,77.739998,3525800,76.762341
2014-07-24,77.93,78.059998,76.919998,77.57,5149600,76.594481
2014-07-25,75.629997,76.029999,75.220001,75.75,5870200,74.797369
2014-07-28,75.699997,76.209999,75.519997,76.190002,3209100,75.231838
2014-07-29,76.309998,76.610001,75.650002,75.889999,4017200,74.935608
2014-07-30,76.07,76.290001,75.449997,75.910004,5521200,74.955361
2014-07-31,76.300003,76.32,73.809998,74.150002,7393700,73.217492
2014-08-01,73.839996,75.440002,73.639999,74.980003,6029500,74.037056
2014-08-04,75.389999,75.849998,75.080002,75.68,4924000,74.72825
2014-08-05,75.309998,75.660004,74.809998,75.199997,4639000,74.254283
2014-08-06,74.849998,75.580002,74.690002,75.360001,2782900,74.412274
2014-08-07,75.540001,75.68,73.82,74.059998,4708000,73.12862
2014-08-08,74.0,75.230003,73.75,75.169998,3614300,74.224661
2014-08-11,75.540001,76.07,74.989998,75.629997,3546600,74.678876
2014-08-12,75.360001,75.82,74.93,75.629997,2752400,74.678876
2014-08-13,75.849998,76.510002,75.589996,76.300003,3389600,75.340455
2014-08-14,76.599998,76.610001,75.660004,76.050003,2411400,75.093599
2014-08-15,76.410004,76.57,74.980003,75.209999,4351900,74.264159
2014-08-18,75.690002,76.82,75.690002,76.769997,4030300,75.804538
2014-08-19,76.75,76.800003,76.089996,76.400002,3562200,75.439196
2014-08-20,75.970001,76.480003,75.900002,76.389999,2608200,75.42932
2014-08-21,76.510002,77.120003,76.290001,76.989998,2690000,76.021773
2014-08-22,76.75,76.879997,76.150002,76.480003,2500700,75.518192
2014-08-25,77.110001,77.209999,76.389999,76.43,3386300,75.468818
2014-08-26,76.790001,77.849998,76.540001,77.0,3849000,76.031649
2014-08-27,77.019997,77.120003,76.5,76.639999,1980800,75.676176
2014-08-28,76.089996,76.43,75.660004,76.160004,2991600,75.202217
