Date,Open_GPC,High_GPC,Low_GPC,Close_GPC,Volume_GPC,AdjClose_GPC
2014-08-05,82.769997,83.580002,82.400002,82.870003,739300,78.52966
2014-08-06,82.650002,83.459999,82.519997,82.980003,387500,78.633899
2014-08-07,83.419998,83.660004,82.169998,82.349998,463000,78.036891
2014-08-08,82.68,84.290001,82.68,84.239998,608500,79.827901
2014-08-11,84.410004,84.5,83.919998,84.089996,365100,79.685756
2014-08-12,84.07,84.169998,83.5,83.879997,272700,79.486756
2014-08-13,84.07,84.440002,83.580002,84.160004,425800,79.752097
2014-08-14,84.709999,85.620003,84.480003,85.550003,642000,81.069295
2014-08-15,85.779999,85.849998,84.349998,85.120003,609600,80.661816
2014-08-18,85.709999,86.220001,85.629997,86.139999,488000,81.62839
2014-08-19,86.360001,86.860001,86.160004,86.559998,354200,82.02639
2014-08-20,86.230003,87.150002,86.040001,87.120003,434800,82.557065
2014-08-21,87.559998,88.360001,86.989998,87.699997,559700,83.106682
2014-08-22,87.559998,88.129997,87.220001,87.849998,633100,83.248827
2014-08-25,88.199997,88.410004,87.879997,88.279999,391000,83.656306
2014-08-26,88.279999,88.459999,87.779999,87.82,324500,83.220399
2014-08-27,87.849998,88.010002,87.459999,87.800003,307300,83.20145
2014-08-28,86.410004,87.550003,86.410004,87.449997,429600,82.869776
2014-08-29,87.75,87.779999,87.019997,87.739998,398600,83.144588
2014-09-02,87.949997,88.540001,87.470001,87.989998,449800,83.381494
2014-09-03,87.849998,87.879997,87.349998,87.480003,422000,83.443497
2014-09-04,87.5,88.440002,87.480003,87.860001,356300,83.805961
2014-09-05,87.639999,88.349998,87.309998,88.239998,516200,84.168424
2014-09-08,88.010002,88.18,87.480003,87.760002,287700,83.710576
2014-09-09,87.470001,87.57,86.830002,86.989998,354300,82.976102
2014-09-10,87.050003,87.540001,86.480003,87.540001,378300,83.500727
2014-09-11,87.110001,87.519997,86.980003,87.269997,344700,83.243181
2014-09-12,88.169998,88.709999,87.870003,88.620003,658600,84.530895
2014-09-15,88.760002,88.839996,88.199997,88.400002,430500,84.321045
2014-09-16,88.400002,89.290001,88.010002,89.080002,577300,84.969669
2014-09-17,89.419998,89.559998,88.339996,88.980003,563400,84.874284
2014-09-18,89.169998,89.489998,88.769997,89.440002,340000,85.313058
2014-09-19,90.019997,90.199997,88.889999,89.230003,716800,85.112749
2014-09-22,88.889999,89.160004,88.379997,88.690002,444400,84.597665
2014-09-23,88.529999,88.660004,87.699997,87.720001,479900,83.672421
2014-09-24,87.639999,88.93,87.639999,88.720001,441900,84.626279
2014-09-25,88.32,88.449997,87.300003,87.410004,359300,83.376728
2014-09-26,87.709999,88.410004,87.230003,88.169998,399500,84.101654
2014-09-29,87.230003,88.269997,87.230003,88.07,463300,84.00627
2014-09-30,87.980003,88.260002,87.510002,87.709999,763100,83.662881
2014-10-01,86.0,87.309998,86.0,86.580002,859600,82.585024
2014-10-02,86.470001,87.349998,86.169998,87.089996,510000,83.071486
2014-10-03,87.720001,88.849998,87.699997,88.220001,858800,84.14935
2014-10-06,88.57,88.800003,87.57,87.830002,332100,83.777346
2014-10-07,87.330002,87.529999,86.470001,86.5,421400,82.508713
2014-10-08,86.629997,88.309998,86.389999,88.290001,552100,84.21612
2014-10-09,88.089996,88.199997,86.370003,86.519997,596200,82.527787
2014-10-10,87.589996,88.230003,86.900002,87.110001,602900,83.090567
2014-10-13,87.099998,87.75,85.860001,85.980003,637300,82.01271
2014-10-14,86.220001,87.870003,86.220001,86.889999,651800,82.880717
2014-10-15,85.730003,87.709999,84.989998,87.25,1112100,83.224107
2014-10-16,85.57,88.360001,85.57,88.050003,818000,83.987196
2014-10-17,89.169998,89.690002,88.220001,88.550003,1141200,84.464125
2014-10-20,87.959999,89.5,87.059998,89.440002,900300,85.313058
2014-10-21,90.269997,92.949997,89.730003,92.720001,1074300,88.441711
2014-10-22,92.900002,93.610001,92.43,92.730003,688300,88.451252
2014-10-23,93.839996,94.360001,92.660004,92.800003,900900,88.518021
2014-10-24,92.709999,93.269997,92.260002,93.190002,602100,88.890025
2014-10-27,93.019997,93.449997,92.68,93.220001,516500,88.91864
2014-10-28,93.639999,94.360001,93.330002,94.360001,458100,90.006038
2014-10-29,94.290001,94.519997,93.080002,94.059998,607800,89.719877
2014-10-30,93.760002,95.470001,93.440002,95.360001,573000,90.959895
2014-10-31,96.550003,97.129997,95.989998,97.080002,943700,92.600532
2014-11-03,96.959999,97.669998,96.349998,97.139999,677900,92.657761
2014-11-04,97.300003,98.089996,96.830002,97.830002,924400,93.315926
2014-11-05,98.019997,99.440002,98.019997,98.790001,987700,94.231629
2014-11-06,98.379997,99.0,97.839996,98.589996,999400,94.040853
2014-11-07,98.629997,99.129997,98.290001,99.129997,521300,94.555937
2014-11-10,99.349998,100.120003,99.059998,99.589996,533900,94.994711
2014-11-11,99.800003,100.25,99.269997,99.660004,437300,95.061488
2014-11-12,99.300003,100.690002,99.059998,100.589996,562900,95.948569
2014-11-13,100.589996,101.07,100.25,100.540001,818100,95.90088
2014-11-14,100.25,100.470001,99.5,99.68,377300,95.080562
2014-11-17,99.489998,100.169998,99.32,99.919998,345500,95.309485
2014-11-18,99.629997,100.529999,99.410004,100.120003,375600,95.500261
2014-11-19,100.120003,100.410004,99.699997,100.199997,325900,95.576565
2014-11-20,99.720001,100.769997,99.57,100.660004,380800,96.015346
2014-11-21,101.849998,101.900002,100.82,101.419998,670100,96.740272
2014-11-24,101.57,102.400002,101.379997,102.150002,434200,97.436592
2014-11-25,102.519997,102.739998,101.349998,101.519997,696400,96.835657
2014-11-26,101.639999,101.980003,101.169998,101.839996,474600,97.140891
2014-11-28,102.139999,103.540001,102.059998,102.779999,327200,98.03752
2014-12-01,102.620003,102.889999,101.730003,101.760002,665700,97.064588
2014-12-02,101.919998,102.519997,101.779999,102.489998,532000,97.7609
2014-12-03,102.099998,103.480003,102.099998,103.449997,676300,99.233334
2014-12-04,103.440002,103.790001,102.82,103.650002,857700,99.425186
