Date,Open_BLL,High_BLL,Low_BLL,Close_BLL,Volume_BLL,AdjClose_BLL
2015-06-08,70.970001,71.82,70.82,71.620003,1760500,71.075946
2015-06-09,71.449997,71.599998,71.209999,71.300003,1309600,70.758377
2015-06-10,71.419998,72.019997,71.309998,71.779999,939000,71.234727
2015-06-11,72.010002,72.93,72.010002,72.760002,826600,72.207286
2015-06-12,72.550003,72.779999,71.349998,72.099998,1371000,71.552296
2015-06-15,71.480003,71.93,70.970001,71.540001,893500,70.996552
2015-06-16,71.300003,71.589996,71.169998,71.290001,641500,70.748451
2015-06-17,71.599998,71.669998,70.760002,71.470001,851500,70.927084
2015-06-18,71.82,72.279999,71.18,72.089996,526500,71.542369
2015-06-19,71.980003,73.080002,71.889999,72.389999,719600,71.840094
2015-06-22,72.57,72.669998,71.919998,72.470001,539500,71.919488
2015-06-23,72.57,72.910004,72.199997,72.470001,581900,71.919488
2015-06-24,72.300003,72.540001,72.019997,72.239998,1194000,71.691232
2015-06-25,72.57,72.660004,71.989998,72.550003,740300,71.998882
2015-06-26,72.540001,72.800003,71.209999,72.599998,2120800,72.048497
2015-06-29,72.059998,72.510002,70.989998,71.120003,817100,70.579744
2015-06-30,71.389999,71.830002,70.120003,70.150002,784800,69.617112
2015-07-01,71.019997,72.080002,70.889999,71.639999,703200,71.095791
2015-07-02,72.07,72.160004,71.139999,71.650002,568700,71.105717
2015-07-06,70.959999,71.769997,70.720001,71.25,732100,70.708754
2015-07-07,70.769997,71.910004,70.489998,71.480003,793100,70.93701
2015-07-08,71.07,71.449997,69.599998,69.629997,1444500,69.101058
2015-07-09,70.190002,70.510002,69.540001,69.669998,1371000,69.140755
2015-07-10,70.620003,70.730003,70.110001,70.150002,793200,69.617112
2015-07-13,70.519997,70.709999,70.120003,70.5,1112700,69.964451
2015-07-14,70.580002,70.839996,70.160004,70.629997,883300,70.093461
2015-07-15,70.68,71.830002,70.18,71.580002,843000,71.036249
2015-07-16,71.889999,72.160004,71.660004,72.059998,529500,71.512599
2015-07-17,72.029999,72.279999,71.300003,71.510002,666100,70.966781
2015-07-20,71.269997,71.669998,70.029999,70.110001,901700,69.577415
2015-07-21,69.779999,69.800003,68.639999,68.75,790900,68.227745
2015-07-22,68.730003,69.580002,68.279999,68.449997,861100,67.930021
2015-07-23,68.68,68.68,67.370003,67.470001,719900,66.95747
2015-07-24,67.349998,68.160004,66.75,67.010002,926200,66.500965
2015-07-27,66.910004,66.970001,66.220001,66.639999,659900,66.133773
2015-07-28,67.129997,67.949997,66.769997,67.650002,659800,67.136103
2015-07-29,67.709999,68.910004,67.360001,68.739998,744100,68.217819
2015-07-30,68.43,69.800003,67.190002,69.540001,1382200,69.011745
2015-07-31,69.739998,70.190002,67.779999,67.839996,1351400,67.324654
2015-08-03,67.330002,68.970001,67.07,67.300003,1596700,66.788763
2015-08-04,67.300003,68.059998,67.199997,67.790001,930100,67.275039
2015-08-05,68.510002,68.589996,67.43,68.260002,2200200,67.74147
2015-08-06,68.32,69.610001,68.269997,69.32,1365100,68.793415
2015-08-07,69.290001,69.449997,68.610001,69.32,1188700,68.793415
2015-08-10,69.669998,70.919998,69.370003,70.860001,1050600,70.321717
2015-08-11,70.050003,70.610001,69.919998,70.150002,550800,69.617112
2015-08-12,69.720001,69.93,68.93,69.690002,705700,69.160607
2015-08-13,73.360001,73.360001,69.43,70.360001,648600,69.825516
2015-08-14,70.360001,71.910004,70.260002,71.709999,729300,71.165259
2015-08-17,71.300003,71.669998,70.559998,71.660004,516000,71.115643
2015-08-18,71.089996,71.800003,71.089996,71.610001,413100,71.06602
2015-08-19,71.120003,71.209999,70.029999,70.650002,561400,70.113314
2015-08-20,70.080002,70.080002,68.839996,68.919998,795900,68.396452
2015-08-21,68.080002,68.5,67.129997,67.160004,1219100,66.649827
2015-08-24,61.099998,66.160004,57.950001,64.800003,1961300,64.307754
2015-08-25,66.300003,66.300003,63.59,63.59,1395700,63.106943
2015-08-26,65.0,65.18,63.029999,63.849998,2096300,63.364966
2015-08-27,64.529999,66.199997,64.190002,65.879997,2358300,65.379544
2015-08-28,65.529999,66.550003,65.07,66.519997,1065300,66.145206
2015-08-31,66.209999,66.410004,65.639999,65.910004,863100,65.53865
2015-09-01,64.489998,65.279999,64.110001,64.389999,1389100,64.02721
2015-09-02,65.199997,65.279999,63.869999,64.900002,941600,64.534339
2015-09-03,65.330002,66.470001,64.919998,66.209999,1173700,65.836956
2015-09-04,65.32,65.540001,63.759998,64.010002,1487800,63.649354
2015-09-08,65.059998,66.940002,64.68,66.879997,1117400,66.503179
2015-09-09,67.449997,67.900002,66.68,66.800003,944600,66.423635
2015-09-10,66.870003,67.769997,66.580002,66.849998,1067800,66.473349
2015-09-11,66.370003,66.839996,65.970001,66.610001,771400,66.234703
2015-09-14,66.519997,66.519997,65.730003,65.860001,732100,65.488929
2015-09-15,66.040001,67.400002,65.620003,67.309998,698500,66.930756
2015-09-16,67.120003,68.040001,66.699997,67.830002,720000,67.447831
2015-09-17,67.75,68.230003,67.089996,67.199997,604000,66.821375
2015-09-18,66.57,67.379997,66.110001,66.959999,1572200,66.58273
2015-09-21,67.339996,68.209999,66.690002,67.050003,979100,66.672227
2015-09-22,66.160004,66.5,64.800003,64.879997,1499100,64.514447
2015-09-23,65.040001,65.040001,63.099998,63.369999,969200,63.012957
2015-09-24,63.009998,63.330002,62.189999,62.779999,1343700,62.426281
2015-09-25,63.310001,63.349998,62.169998,62.959999,1537900,62.605267
2015-09-28,62.66,62.66,60.560001,60.75,1120400,60.407719
2015-09-29,60.700001,61.139999,60.299999,60.5,999100,60.159128
2015-09-30,61.200001,62.32,61.200001,62.200001,1037600,61.849551
2015-10-01,62.41,63.400002,62.040001,63.139999,1122500,62.784253
2015-10-02,62.389999,64.089996,62.029999,64.059998,906000,63.699068
2015-10-05,64.559998,64.980003,64.07,64.699997,834200,64.335461
2015-10-06,64.949997,64.989998,63.299999,63.41,972800,63.052732
2015-10-07,63.07,64.730003,63.07,64.559998,983900,64.196251
2015-10-08,64.379997,66.279999,64.029999,66.099998,654200,65.727575
2015-10-09,67.18,67.199997,65.970001,66.540001,699600,66.165098
2015-10-12,66.379997,67.07,65.93,66.779999,559100,66.403744
2015-10-13,66.300003,66.959999,65.879997,66.019997,796400,65.648024
2015-10-14,66.010002,66.660004,65.650002,66.279999,1247900,65.906561
2015-10-15,66.379997,66.739998,65.07,66.519997,1176100,66.145206
2015-10-16,66.650002,66.959999,66.139999,66.940002,1145200,66.562846
2015-10-19,66.589996,66.93,66.25,66.599998,754200,66.224758
2015-10-20,66.610001,67.629997,66.440002,67.059998,1251900,66.682165
2015-10-21,67.0,67.419998,66.07,66.120003,1145100,65.747466
2015-10-22,66.68,68.459999,66.309998,68.419998,1560500,68.034503
2015-10-23,68.709999,69.080002,67.779999,67.830002,1260600,67.447831
2015-10-26,67.629997,68.309998,67.610001,67.739998,1020100,67.358334
2015-10-27,67.25,67.68,66.589996,67.489998,776000,67.109742
2015-10-28,67.529999,68.110001,67.07,67.959999,881000,67.577096
