Date,Open_PNW,High_PNW,Low_PNW,Close_PNW,Volume_PNW,AdjClose_PNW
2014-08-29,56.59,56.970001,56.48,56.950001,739700,53.319627
2014-09-02,57.040001,57.07,55.950001,56.150002,865000,52.570625
2014-09-03,56.220001,56.5,56.169998,56.32,706600,52.729786
2014-09-04,56.27,56.419998,55.91,56.060001,690500,52.486362
2014-09-05,56.150002,56.810001,56.150002,56.799999,836300,53.179187
2014-09-08,57.419998,57.470001,56.509998,56.860001,626000,53.235364
2014-09-09,56.790001,56.900002,56.18,56.23,809500,52.645523
2014-09-10,56.150002,56.389999,55.959999,56.240002,586000,52.654888
2014-09-11,56.259998,57.419998,56.049999,57.209999,1379400,53.563051
2014-09-12,56.849998,57.099998,56.330002,56.610001,1265700,53.0013
2014-09-15,56.77,57.099998,56.650002,56.75,585900,53.132375
2014-09-16,56.68,57.529999,56.639999,57.34,571600,53.684765
2014-09-17,57.419998,57.740002,57.0,57.27,980200,53.619227
2014-09-18,57.23,57.400002,56.130001,56.240002,994700,52.654888
2014-09-19,56.509998,56.639999,56.200001,56.509998,1338800,52.907673
2014-09-22,56.400002,56.52,56.060001,56.220001,913200,52.636162
2014-09-23,56.16,56.290001,55.869999,55.970001,581900,52.402099
2014-09-24,55.98,56.09,55.349998,55.599998,907300,52.055683
2014-09-25,55.509998,55.779999,55.0,55.0,1122700,51.493932
2014-09-26,55.0,55.139999,54.490002,54.990002,720300,51.484571
2014-09-29,54.639999,55.040001,54.509998,54.869999,696600,51.372218
2014-09-30,54.950001,55.349998,54.130001,54.639999,1125100,51.15688
2014-10-01,54.700001,55.369999,54.59,54.810001,594200,51.316045
2014-10-02,54.84,55.330002,54.689999,54.950001,604100,51.44712
2014-10-03,55.049999,55.639999,54.630001,55.529999,539200,51.990145
2014-10-06,55.77,55.880001,55.18,55.470001,466200,51.933972
2014-10-07,55.330002,56.130001,55.07,55.43,589100,51.896521
2014-10-08,55.560001,57.07,55.349998,56.959999,1147400,53.328988
2014-10-09,56.939999,57.52,55.970001,55.970001,1147700,52.402099
2014-10-10,56.34,56.990002,56.23,56.560001,785200,52.954488
2014-10-13,56.669998,57.66,56.509998,57.099998,842200,53.460063
2014-10-14,57.450001,58.75,57.169998,57.919998,843100,54.22779
2014-10-15,57.77,58.389999,56.240002,57.380001,1063900,53.722216
2014-10-16,56.91,57.43,56.16,57.09,1031100,53.450702
2014-10-17,57.43,57.919998,56.599998,57.720001,688300,54.040542
2014-10-20,57.720001,58.560001,57.59,58.5,782800,54.770819
2014-10-21,58.5,58.709999,58.189999,58.52,702500,54.789544
2014-10-22,58.509998,59.220001,58.18,58.73,586400,54.986156
2014-10-23,58.91,59.439999,58.610001,59.099998,495500,55.332569
2014-10-24,59.220001,59.389999,58.869999,59.169998,638900,55.398107
2014-10-27,59.23,59.84,59.009998,59.610001,681100,55.81006
2014-10-28,59.75,59.830002,58.740002,59.77,796000,55.959861
2014-10-29,59.77,60.0,59.07,59.759998,706900,55.950496
2014-10-30,59.330002,60.549999,59.27,60.52,818800,57.231881
2014-10-31,61.0,61.560001,59.889999,61.470001,1335600,58.130267
2014-11-03,61.75,62.27,61.369999,62.25,1066600,58.867888
2014-11-04,62.09,62.720001,61.529999,61.66,940300,58.309943
2014-11-05,62.07,62.950001,61.77,62.889999,1060100,59.473115
2014-11-06,62.790001,62.84,61.23,61.790001,1305300,58.432881
2014-11-07,61.919998,62.52,61.639999,62.5,648100,59.104305
2014-11-10,62.5,62.860001,62.110001,62.810001,517900,59.397463
2014-11-11,62.830002,63.130001,62.490002,62.82,590300,59.406919
2014-11-12,62.419998,62.419998,61.25,61.799999,1096900,58.442336
2014-11-13,62.0,62.099998,61.09,61.23,620000,57.903305
2014-11-14,60.970001,61.150002,60.66,60.790001,519100,57.487212
2014-11-17,60.610001,61.849998,60.610001,61.82,587200,58.46125
2014-11-18,61.970001,62.560001,61.580002,62.240002,663200,58.858432
2014-11-19,61.950001,62.349998,61.610001,62.080002,432600,58.707126
2014-11-20,61.91,62.439999,61.529999,61.950001,422900,58.584188
2014-11-21,62.450001,62.860001,62.029999,62.700001,1175300,59.293439
2014-11-24,62.650002,62.75,61.860001,62.02,881500,58.650384
2014-11-25,62.049999,62.32,61.549999,62.150002,840900,58.773322
2014-11-26,62.25,62.619999,62.029999,62.369999,453500,58.981367
2014-11-28,62.59,63.5,62.560001,63.23,423500,59.794643
2014-12-01,62.849998,64.110001,62.599998,63.599998,967500,60.144539
2014-12-02,63.75,64.919998,63.290001,64.839996,1442000,61.317166
2014-12-03,64.93,66.68,64.540001,65.330002,3864800,61.780549
2014-12-04,65.330002,66.230003,65.160004,65.860001,1562800,62.281753
2014-12-05,65.459999,66.029999,65.150002,65.900002,1694300,62.31958
2014-12-08,66.080002,67.099998,65.690002,66.220001,1407700,62.622194
2014-12-09,65.980003,66.540001,65.43,65.989998,1607800,62.404687
2014-12-10,65.779999,66.550003,65.019997,65.269997,1283400,61.723804
2014-12-11,65.339996,66.309998,65.339996,65.870003,832400,62.291211
2014-12-12,65.699997,66.370003,65.25,65.5,743400,61.941311
2014-12-15,65.550003,66.010002,64.260002,64.540001,915900,61.03347
2014-12-16,64.68,65.480003,64.150002,64.459999,1461600,60.957815
2014-12-17,64.690002,66.029999,64.550003,65.989998,769400,62.404687
2014-12-18,66.150002,67.309998,65.790001,67.290001,731400,63.63406
2014-12-19,67.540001,67.919998,66.910004,67.389999,1371000,63.728625
2014-12-22,67.400002,68.040001,67.029999,67.989998,579400,64.296025
2014-12-23,68.099998,68.43,67.68,68.18,550300,64.475704
2014-12-24,68.18,69.760002,68.18,69.589996,456400,65.809094
2014-12-26,69.690002,70.699997,69.629997,70.010002,725500,66.20628
2014-12-29,70.010002,71.110001,69.730003,70.629997,1553300,66.79259
2014-12-30,70.360001,70.360001,69.139999,69.400002,794300,65.629421
2014-12-31,69.720001,69.769997,68.239998,68.309998,1032600,64.598639
2015-01-02,68.580002,68.830002,67.690002,68.639999,640100,64.910711
2015-01-05,68.620003,68.709999,67.82,68.18,973700,64.475704
2015-01-06,68.199997,69.919998,68.120003,68.410004,2072800,64.693211
2015-01-07,68.800003,70.290001,68.349998,70.0,1023000,66.196821
2015-01-08,70.209999,70.730003,69.959999,70.120003,1212100,66.310304
2015-01-09,69.809998,70.269997,68.82,69.089996,911200,65.336259
2015-01-12,69.230003,69.489998,68.580002,69.080002,593000,65.326808
2015-01-13,69.0,70.150002,68.540001,69.230003,1245100,65.468659
2015-01-14,69.019997,70.029999,68.639999,69.970001,964200,66.168452
2015-01-15,69.970001,70.760002,69.639999,70.599998,463800,66.764221
2015-01-16,70.699997,71.470001,70.32,71.419998,548500,67.539669
2015-01-20,71.760002,72.07,71.07,71.959999,559400,68.050331
