Date,Open_ZBH,High_ZBH,Low_ZBH,Close_ZBH,Volume_ZBH,AdjClose_ZBH
2015-02-24,121.07,121.839996,120.699997,121.760002,819500,120.476498
2015-02-25,121.449997,121.75,120.440002,120.519997,986300,119.249564
2015-02-26,120.519997,121.389999,119.860001,121.330002,579400,120.051031
2015-02-27,120.980003,121.370003,120.300003,120.389999,698100,119.120937
2015-03-02,120.389999,121.540001,120.199997,121.389999,1266800,120.110396
2015-03-03,121.190002,121.279999,118.709999,119.269997,873300,118.012741
2015-03-04,119.150002,119.660004,117.970001,118.760002,1028400,117.725267
2015-03-05,119.139999,119.739998,118.629997,119.18,1145400,118.141605
2015-03-06,119.129997,119.139999,116.239998,116.349998,1243200,115.336261
2015-03-09,116.949997,117.230003,116.190002,116.949997,1204200,115.931032
2015-03-10,115.540001,116.709999,115.230003,115.510002,1171200,114.503583
2015-03-11,116.150002,116.959999,115.849998,116.230003,1020200,115.217311
2015-03-12,116.629997,117.660004,116.440002,117.199997,1259900,116.178854
2015-03-13,117.559998,118.199997,115.379997,116.25,1323100,115.237134
2015-03-16,116.650002,118.230003,116.650002,118.019997,761000,116.991709
2015-03-17,117.300003,117.300003,114.510002,115.279999,2853300,114.275584
2015-03-18,115.190002,119.919998,114.699997,119.209999,2317400,118.171343
2015-03-19,118.599998,118.769997,118.050003,118.559998,1249200,117.527005
2015-03-20,119.309998,119.730003,118.330002,118.760002,1390200,117.725267
2015-03-23,118.760002,119.32,118.080002,118.470001,847500,117.437792
2015-03-24,118.010002,118.68,117.309998,117.309998,1142300,116.287896
2015-03-25,117.330002,118.199997,115.199997,115.309998,1009900,114.305321
2015-03-26,115.339996,116.620003,114.660004,115.650002,792900,114.642363
2015-03-27,115.699997,117.93,115.529999,117.5,1288900,116.476243
2015-03-30,118.059998,118.989998,117.769997,118.57,723100,117.53692
2015-03-31,117.860001,118.209999,117.120003,117.519997,960800,116.496065
2015-04-01,118.220001,118.470001,115.709999,116.190002,1049500,115.177659
2015-04-02,116.339996,117.660004,115.779999,116.919998,632400,115.901294
2015-04-06,116.139999,117.629997,115.82,117.360001,622500,116.337463
2015-04-07,117.190002,117.989998,115.970001,116.010002,634700,114.999227
2015-04-08,116.089996,116.889999,115.230003,116.120003,672000,115.108269
2015-04-09,116.300003,117.32,115.589996,117.199997,840800,116.178854
2015-04-10,117.529999,117.860001,117.07,117.449997,958600,116.426675
2015-04-13,117.739998,118.339996,115.970001,116.209999,1176700,115.197481
2015-04-14,116.400002,117.110001,115.230003,115.959999,1240800,114.94966
2015-04-15,116.18,116.620003,115.550003,115.620003,986800,114.612626
2015-04-16,115.43,115.839996,114.980003,115.360001,1002600,114.354889
2015-04-17,114.989998,115.099998,113.709999,114.610001,1092600,113.611423
2015-04-20,115.080002,116.449997,114.879997,115.919998,583300,114.910007
