Date,Open_HES,High_HES,Low_HES,Close_HES,Volume_HES,AdjClose_HES
2015-09-18,53.599998,53.98,52.07,52.43,3553600,51.908676
2015-09-21,52.959999,53.150002,52.07,52.299999,4019900,51.779967
2015-09-22,51.360001,52.650002,50.709999,51.150002,2705300,50.641404
2015-09-23,51.459999,51.73,49.91,50.07,1853100,49.572141
2015-09-24,49.860001,50.400002,49.310001,50.049999,3662400,49.55234
2015-09-25,50.529999,50.810001,49.709999,50.27,2769800,49.770153
2015-09-28,49.41,49.889999,48.23,48.259998,2614700,47.780137
2015-09-29,48.470001,48.889999,47.84,48.279999,2216800,47.799939
2015-09-30,48.639999,50.150002,48.450001,50.060001,3316600,49.562242
2015-10-01,50.810001,51.560001,50.02,50.75,3373900,50.24538
2015-10-02,49.639999,53.919998,49.639999,53.689999,3119200,53.156146
2015-10-05,53.950001,56.290001,53.950001,55.880001,4755800,55.324372
2015-10-06,55.91,59.189999,55.700001,58.779999,4388400,58.195535
2015-10-07,60.23,61.310001,57.950001,59.98,4463900,59.383604
2015-10-08,59.950001,63.16,59.84,62.57,5269400,61.947851
2015-10-09,62.509998,63.209999,61.029999,61.91,3059100,61.294413
2015-10-12,61.91,62.130001,59.59,60.130001,2552000,59.532114
2015-10-13,59.529999,60.849998,58.919998,60.279999,3316100,59.68062
2015-10-14,59.970001,60.59,59.5,60.209999,1993500,59.611316
2015-10-15,60.150002,61.549999,59.599998,61.419998,1665700,60.809284
2015-10-16,61.740002,62.32,60.209999,61.029999,2151900,60.423162
2015-10-19,60.23,60.490002,59.23,59.82,2408000,59.225195
2015-10-20,59.360001,60.639999,59.130001,60.349998,3065200,59.749924
2015-10-21,60.049999,60.369999,58.970001,59.080002,1738500,58.492555
2015-10-22,59.75,61.18,59.59,61.130001,2721100,60.52217
