Date,Open_RTN,High_RTN,Low_RTN,Close_RTN,Volume_RTN,AdjClose_RTN
2014-05-06,96.589996,96.639999,95.870003,95.949997,1217300,91.400315
2014-05-07,96.440002,97.910004,95.760002,97.790001,2069600,93.153071
2014-05-08,97.889999,98.139999,97.199997,97.620003,1913600,92.991133
2014-05-09,97.349998,97.660004,96.779999,97.169998,1583400,92.562467
2014-05-12,97.599998,98.440002,97.489998,98.330002,1371400,93.667466
2014-05-13,98.669998,99.690002,98.620003,99.449997,1425400,94.734354
2014-05-14,99.440002,99.660004,97.290001,97.400002,2216600,92.781564
2014-05-15,96.900002,97.360001,95.75,96.059998,2301100,91.505099
2014-05-16,96.230003,96.5,94.779999,95.389999,2740900,90.86687
2014-05-19,95.18,95.75,94.800003,95.650002,1120000,91.114544
2014-05-20,95.290001,95.769997,94.860001,95.419998,1389800,90.895447
2014-05-21,95.57,96.32,95.25,95.43,1069100,90.904975
2014-05-22,95.650002,96.379997,95.449997,96.18,1208700,91.619412
2014-05-23,96.18,97.169998,96.0,97.029999,686800,92.429106
2014-05-27,97.199997,97.309998,96.379997,96.82,1359100,92.229064
2014-05-28,97.080002,97.989998,96.559998,96.610001,1149000,92.029023
2014-05-29,96.82,97.209999,96.330002,96.970001,1085300,92.371953
2014-05-30,96.68,97.800003,96.68,97.57,1524600,92.943501
2014-06-02,97.089996,98.260002,96.5,98.059998,962100,93.410265
2014-06-03,97.349998,98.410004,97.279999,97.889999,1718500,93.248327
2014-06-04,97.860001,97.980003,97.279999,97.93,998700,93.286432
2014-06-05,98.18,98.669998,97.800003,98.559998,1425200,93.886556
2014-06-06,97.910004,98.940002,97.900002,98.779999,1201700,94.096126
2014-06-09,98.43,98.910004,98.0,98.5,1681300,93.829403
2014-06-10,100.309998,100.309998,97.440002,97.57,1617700,92.943501
2014-06-11,97.5,97.870003,96.379997,96.480003,1680700,91.905189
2014-06-12,96.550003,96.830002,95.160004,95.5,1351000,90.971655
