Date,Open_SHW,High_SHW,Low_SHW,Close_SHW,Volume_SHW,AdjClose_SHW
2015-05-15,291.75,292.230011,289.700012,291.220001,662900,288.003708
2015-05-18,290.839996,291.98999,289.480011,291.049988,373300,287.835572
2015-05-19,291.73999,294.350006,291.100006,292.440002,671700,289.210235
2015-05-20,292.519989,292.929993,287.549988,287.670013,603000,284.492927
2015-05-21,288.450012,288.730011,287.059998,287.450012,395800,284.275356
2015-05-22,286.980011,288.029999,286.51001,286.51001,523900,283.345735
2015-05-26,286.320007,287.26001,284.630005,286.390015,697000,283.227065
2015-05-27,286.950012,290.920013,286.26001,289.73999,670900,286.540043
2015-05-28,288.589996,290.269989,288.480011,289.910004,484300,286.708178
2015-05-29,289.769989,289.98999,287.079987,288.179993,593600,284.997274
2015-06-01,288.920013,288.920013,286.230011,288.23999,519400,285.056609
2015-06-02,287.570007,289.200012,285.75,286.519989,380700,283.355604
2015-06-03,286.679993,287.700012,286.209991,287.26001,328500,284.087452
2015-06-04,285.839996,286.369995,281.769989,282.209991,395400,279.093207
2015-06-05,283.01001,283.01001,278.420013,280.380005,608700,277.283431
2015-06-08,279.630005,280.220001,278.089996,278.299988,432500,275.226386
2015-06-09,278.660004,279.649994,276.890015,278.170013,351800,275.097847
2015-06-10,279.130005,282.839996,277.570007,282.48999,739800,279.370113
2015-06-11,283.48999,284.820007,282.529999,282.769989,375500,279.64702
2015-06-12,282.0,283.48999,280.25,280.910004,335700,277.807576
2015-06-15,279.329987,280.570007,278.089996,278.859985,391300,275.780199
2015-06-16,279.079987,279.269989,277.480011,279.109985,328700,276.027438
2015-06-17,280.350006,281.589996,278.609985,280.230011,588300,277.135094
2015-06-18,281.540009,283.899994,281.350006,283.51001,473400,280.378867
2015-06-19,284.649994,284.720001,281.869995,281.98999,1757200,278.875635
2015-06-22,283.190002,285.470001,282.579987,285.179993,552400,282.030407
2015-06-23,286.0,286.290009,283.559998,284.519989,415700,281.377692
2015-06-24,284.149994,284.149994,281.980011,281.980011,416400,278.865766
2015-06-25,282.589996,284.029999,281.720001,282.600006,399500,279.478914
2015-06-26,282.850006,284.369995,281.5,283.089996,543900,279.963493
2015-06-29,279.630005,281.790009,276.25,276.269989,769100,273.218807
2015-06-30,277.720001,278.910004,275.0,275.019989,504800,271.982612
2015-07-01,276.160004,281.149994,275.320007,280.809998,597400,277.708675
2015-07-02,282.269989,282.390015,277.380005,277.670013,506800,274.603369
2015-07-06,275.0,281.170013,275.0,279.959991,589200,276.868056
2015-07-07,280.959991,283.970001,279.619995,283.630005,698700,280.497537
2015-07-08,282.140015,284.109985,280.940002,280.940002,834200,277.837244
2015-07-09,284.420013,285.0,277.140015,277.410004,654500,274.346231
2015-07-10,278.5,280.0,276.709991,278.209991,683300,275.137383
2015-07-13,280.559998,282.470001,279.440002,282.079987,538200,278.964638
2015-07-14,281.329987,284.660004,281.059998,284.279999,565300,281.140352
2015-07-15,284.0,285.940002,282.01001,282.160004,968400,279.043771
2015-07-16,256.070007,266.690002,250.270004,261.230011,7164700,258.344933
2015-07-17,261.23999,269.0,259.690002,266.01001,2193000,263.072141
2015-07-20,266.01001,270.029999,265.0,267.619995,1110500,264.664345
2015-07-21,268.970001,270.51001,266.380005,266.98999,981700,264.041298
2015-07-22,267.0,274.660004,267.0,273.690002,1286500,270.667314
2015-07-23,273.440002,273.440002,269.549988,270.480011,737200,267.492775
2015-07-24,270.459991,271.23999,265.640015,267.119995,694100,264.169867
2015-07-27,266.040009,267.119995,264.549988,266.040009,565000,263.101808
2015-07-28,265.48999,273.959991,265.48999,273.839996,806800,270.815651
2015-07-29,274.230011,280.51001,273.149994,278.799988,948400,275.720864
2015-07-30,278.200012,279.0,275.799988,277.920013,583500,274.850608
2015-07-31,279.459991,279.890015,277.480011,277.76001,783400,274.692371
2015-08-03,278.320007,279.190002,276.190002,278.209991,633100,275.137383
2015-08-04,278.230011,279.730011,277.040009,277.519989,396800,274.455002
2015-08-05,280.0,280.0,273.899994,274.670013,898300,271.636502
2015-08-06,273.850006,275.48999,270.429993,271.720001,728000,268.71907
2015-08-07,271.23999,271.279999,267.540009,269.339996,706600,266.36535
2015-08-10,271.940002,274.220001,270.339996,273.48999,507100,270.469511
2015-08-11,270.809998,271.950012,268.950012,271.019989,650100,268.026789
2015-08-12,269.700012,274.0,267.470001,273.170013,723000,270.822576
2015-08-13,273.640015,278.809998,271.649994,276.01001,554200,273.638167
2015-08-14,275.589996,281.200012,274.679993,279.369995,567800,276.969279
2015-08-17,279.359985,286.48999,278.480011,284.690002,791400,282.24357
2015-08-18,285.0,288.459991,283.160004,285.070007,718400,282.620309
2015-08-19,283.869995,285.149994,281.700012,281.920013,721100,279.497384
2015-08-20,279.470001,279.820007,268.559998,268.920013,1171200,266.609097
2015-08-21,266.01001,266.630005,258.230011,261.350006,1633600,259.104142
2015-08-24,251.619995,265.76001,250.720001,254.320007,1543800,252.134554
2015-08-25,262.549988,263.309998,248.5,248.649994,1255500,246.513265
2015-08-26,253.75,256.100006,249.100006,255.550003,969000,253.35398
2015-08-27,258.450012,262.410004,255.309998,259.369995,671300,257.141146
2015-08-28,258.440002,259.910004,256.140015,258.109985,498200,255.891963
2015-08-31,256.829987,259.670013,255.110001,255.809998,613100,253.61174
2015-09-01,251.809998,253.449997,247.589996,248.529999,661000,246.394301
2015-09-02,251.380005,254.119995,249.279999,254.119995,673100,251.93626
2015-09-03,255.0,258.480011,254.520004,255.869995,557900,253.671222
2015-09-04,253.380005,256.170013,252.039993,253.860001,505100,251.6785
2015-09-08,258.049988,261.670013,256.459991,261.630005,462100,259.381734
2015-09-09,264.589996,265.0,256.980011,257.279999,595800,255.069109
2015-09-10,256.299988,258.920013,254.910004,255.660004,649600,253.463035
2015-09-11,255.0,256.369995,253.720001,255.660004,537700,253.463035
2015-09-14,256.48999,257.059998,251.119995,251.949997,822000,249.78491
2015-09-15,253.699997,254.520004,250.210007,250.669998,963600,248.51591
2015-09-16,250.669998,254.990005,248.75,250.630005,1084000,248.476261
2015-09-17,250.630005,257.679993,248.800003,253.169998,1006400,250.994427
2015-09-18,248.399994,250.740005,245.960007,246.649994,944100,244.530451
2015-09-21,248.639999,249.520004,243.529999,244.270004,1144600,242.170914
2015-09-22,241.830002,241.919998,235.75,237.25,1919000,235.211235
2015-09-23,234.960007,237.979996,232.339996,232.619995,1662300,230.621017
2015-09-24,230.970001,230.970001,224.830002,227.800003,2251800,225.842445
2015-09-25,229.820007,232.710007,226.789993,227.490005,1378500,225.535111
2015-09-28,230.149994,230.149994,219.669998,220.559998,1411600,218.664655
2015-09-29,220.259995,223.279999,218.270004,218.940002,1609200,217.058581
2015-09-30,221.949997,225.169998,221.289993,222.779999,2530800,220.865579
2015-10-01,222.759995,232.990005,220.429993,231.919998,2226200,229.927035
2015-10-02,229.570007,237.190002,227.300003,237.0,1587500,234.963383
2015-10-05,238.839996,242.229996,238.839996,241.169998,1148400,239.097547
2015-10-06,240.75,242.130005,235.600006,236.679993,1208400,234.646126
