Date,Open_PXD,High_PXD,Low_PXD,Close_PXD,Volume_PXD,AdjClose_PXD
2014-04-02,186.25,194.470001,186.25,193.130005,2112900,192.923962
2014-04-03,194.300003,196.130005,192.360001,192.779999,1254400,192.574329
2014-04-04,194.800003,195.979996,188.369995,188.949997,1283200,188.748413
2014-04-07,188.169998,188.929993,177.529999,181.600006,2246700,181.406264
2014-04-08,182.0,187.800003,179.679993,185.889999,1449600,185.69168
2014-04-09,186.0,188.539993,182.199997,188.389999,1109800,188.189013
2014-04-10,187.289993,188.429993,182.0,183.619995,1150600,183.424098
2014-04-11,182.419998,187.449997,180.470001,186.270004,1638900,186.07128
2014-04-14,188.600006,192.380005,186.339996,190.899994,1251300,190.69633
2014-04-15,190.940002,196.0,190.940002,195.75,1590200,195.541161
2014-04-16,198.580002,201.990005,198.220001,200.309998,1982700,200.096294
2014-04-17,199.990005,204.660004,199.130005,203.309998,1684200,203.093094
2014-04-21,203.229996,204.5,198.720001,199.990005,1401900,199.776643
2014-04-22,198.679993,200.139999,196.720001,198.110001,1228300,197.898644
2014-04-23,198.119995,200.550003,196.639999,197.320007,1309200,197.109494
2014-04-24,198.0,199.669998,196.25,197.320007,846800,197.109494
2014-04-25,195.399994,196.389999,191.229996,192.029999,1460600,191.825129
2014-04-28,193.270004,194.559998,189.160004,191.360001,1243400,191.155846
2014-04-29,193.75,198.169998,192.259995,196.080002,838600,195.870811
2014-04-30,194.619995,194.649994,191.0,193.270004,967000,193.063812
2014-05-01,192.940002,195.899994,191.479996,193.110001,785900,192.903979
2014-05-02,193.119995,196.460007,192.520004,196.130005,968800,195.920761
2014-05-05,195.600006,198.529999,193.509995,198.25,1327700,198.038494
2014-05-06,199.0,200.0,197.0,198.119995,1277100,197.908628
2014-05-07,206.490005,209.740005,200.130005,208.199997,3159600,207.977876
2014-05-08,206.199997,208.600006,202.539993,203.0,1718700,202.783427
2014-05-09,203.009995,205.199997,200.25,201.029999,1350500,200.815527
2014-05-12,202.929993,204.720001,202.020004,204.350006,1338500,204.131993
2014-05-13,204.330002,206.080002,203.440002,205.220001,954800,205.001059
2014-05-14,205.660004,206.789993,204.660004,204.809998,817300,204.591493
