Date,Open_NSC,High_NSC,Low_NSC,Close_NSC,Volume_NSC,AdjClose_NSC
2015-03-11,107.760002,108.720001,107.739998,108.220001,2132600,103.815716
2015-03-12,108.449997,109.389999,108.449997,109.230003,1284000,104.784614
2015-03-13,109.0,109.199997,108.139999,108.650002,1233000,104.228216
2015-03-16,108.860001,110.949997,108.860001,110.580002,1428700,106.079671
2015-03-17,110.0,110.440002,109.720001,109.879997,1323900,105.408154
2015-03-18,109.489998,111.449997,108.800003,111.129997,1320600,106.607283
2015-03-19,110.800003,111.059998,109.419998,110.309998,1406000,105.820655
2015-03-20,110.610001,111.760002,110.43,110.43,3114900,105.935774
2015-03-23,109.480003,109.790001,106.550003,106.559998,3277900,102.22327
2015-03-24,106.330002,107.010002,105.839996,106.07,1798600,101.753214
2015-03-25,106.32,106.330002,103.93,104.050003,2637300,99.815426
2015-03-26,101.970001,104.349998,101.959999,103.910004,3043200,99.681125
2015-03-27,103.449997,103.739998,102.769997,103.620003,2596900,99.402926
2015-03-30,104.0,104.470001,103.529999,104.0,1402200,99.767458
2015-03-31,103.480003,103.93,102.82,102.919998,1998500,98.73141
2015-04-01,102.650002,103.419998,102.080002,102.959999,1640100,98.769783
2015-04-02,103.400002,104.790001,102.879997,104.150002,2186800,99.911355
2015-04-06,103.510002,104.760002,103.400002,104.43,2575200,100.179959
2015-04-07,104.57,104.839996,103.82,104.459999,2579100,100.208737
2015-04-08,104.510002,104.690002,103.669998,104.32,1863000,100.074435
2015-04-09,104.290001,105.830002,104.089996,105.769997,1403400,101.465421
2015-04-10,106.25,106.730003,105.849998,106.349998,1293800,102.021818
2015-04-13,105.779999,106.239998,104.75,104.870003,2049300,100.602054
2015-04-14,98.989998,100.599998,97.809998,100.489998,8715500,96.400305
2015-04-15,100.870003,101.300003,99.790001,100.739998,3637800,96.64013
2015-04-16,100.610001,100.610001,99.849998,100.269997,2367700,96.189257
2015-04-17,99.400002,100.800003,99.300003,100.650002,2681500,96.553797
2015-04-20,101.0,103.760002,100.860001,103.040001,3086700,98.846529
2015-04-21,103.940002,103.940002,100.220001,102.410004,2708400,98.242171
2015-04-22,102.209999,105.190002,102.209999,104.970001,2584100,100.697983
2015-04-23,104.480003,107.309998,104.300003,106.209999,2373900,101.887516
2015-04-24,106.199997,106.5,104.43,105.290001,1753900,101.00496
2015-04-27,105.519997,105.620003,104.400002,104.5,1798300,100.24711
2015-04-28,104.349998,104.690002,103.760002,104.370003,1978600,100.122403
2015-04-29,104.32,104.459999,102.110001,103.18,1951700,99.543544
2015-04-30,102.160004,102.519997,100.550003,100.849998,3540500,97.29566
2015-05-01,101.540001,103.209999,101.43,103.209999,2352300,99.572486
2015-05-04,103.650002,104.580002,103.169998,103.790001,2749200,100.132046
2015-05-05,103.690002,104.279999,100.519997,100.589996,2021100,97.044822
2015-05-06,100.330002,100.730003,98.970001,100.110001,2911900,97.151575
2015-05-07,99.93,101.529999,99.779999,100.980003,1212400,97.995868
2015-05-08,101.870003,102.18,100.559998,100.629997,2405500,97.656205
2015-05-11,100.349998,101.309998,100.160004,100.160004,1620700,97.200101
2015-05-12,99.559998,99.75,98.940002,99.040001,3066000,96.113196
2015-05-13,98.910004,99.839996,97.269997,97.720001,2935000,94.832205
2015-05-14,96.800003,97.709999,96.040001,96.709999,3079600,93.85205
