Date,Open_AXP,High_AXP,Low_AXP,Close_AXP,Volume_AXP,AdjClose_AXP
2014-05-16,87.599998,87.760002,86.900002,87.5,3062400,85.023485
2014-05-19,87.18,88.220001,87.110001,88.120003,2000300,85.62594
2014-05-20,87.82,88.050003,86.860001,87.089996,2798400,84.625086
2014-05-21,87.57,88.139999,87.379997,87.860001,2525600,85.373297
2014-05-22,87.790001,88.389999,87.550003,88.150002,2654800,85.65509
2014-05-23,88.110001,88.860001,88.0,88.779999,1858200,86.267256
2014-05-27,89.599998,91.470001,89.349998,91.389999,5093800,88.803386
2014-05-28,91.309998,91.360001,90.629997,91.059998,2466800,88.482724
2014-05-29,91.120003,91.300003,90.529999,91.279999,2668500,88.696498
2014-05-30,91.0,91.68,90.889999,91.5,3594800,88.910273
2014-06-02,91.790001,92.110001,91.43,91.889999,2832100,89.289234
2014-06-03,91.610001,91.849998,91.269997,91.730003,2589100,89.133767
2014-06-04,91.589996,91.900002,91.330002,91.809998,2637000,89.211497
2014-06-05,91.919998,93.209999,91.529999,92.800003,3219200,90.173482
2014-06-06,92.940002,94.940002,92.82,94.910004,4550800,92.223763
2014-06-09,95.080002,95.879997,94.650002,95.57,3825200,92.865079
2014-06-10,95.089996,95.389999,94.68,95.279999,2418300,92.583286
2014-06-11,94.940002,95.260002,94.639999,95.080002,1884000,92.38895
2014-06-12,95.349998,95.480003,94.360001,94.760002,2870500,92.078007
2014-06-13,94.949997,95.169998,94.379997,94.849998,1793000,92.165456
2014-06-16,94.360001,94.75,93.839996,94.370003,2832500,91.699046
2014-06-17,94.370003,95.199997,94.010002,94.660004,2572300,91.980839
2014-06-18,94.75,95.589996,94.080002,95.559998,2454800,92.85536
2014-06-19,95.459999,95.699997,94.529999,95.07,3206400,92.379231
2014-06-20,95.580002,96.040001,95.029999,95.540001,5387400,92.83593
2014-06-23,95.330002,95.75,94.790001,95.510002,2102500,92.80678
2014-06-24,95.089996,95.550003,94.25,94.43,2088700,91.757345
2014-06-25,94.260002,95.209999,94.199997,94.639999,2398400,91.961401
2014-06-26,94.830002,94.940002,93.540001,94.300003,2594800,91.631028
2014-06-27,94.25,95.050003,94.129997,94.93,3630700,92.243194
2014-06-30,95.0,95.339996,94.550003,94.870003,2634300,92.184894
2014-07-01,95.419998,96.239998,95.279999,95.349998,3026300,92.651305
2014-07-02,95.190002,95.779999,95.059998,95.209999,1595500,92.515268
2014-07-03,95.580002,95.940002,95.220001,95.839996,1633800,93.127434
2014-07-07,95.5,95.660004,95.120003,95.400002,1962800,92.699893
2014-07-08,94.919998,95.010002,93.57,94.57,2828700,91.893382
2014-07-09,95.440002,95.550003,94.410004,94.739998,2645500,92.31236
2014-07-10,93.550003,94.809998,93.160004,94.459999,2230000,92.039536
2014-07-11,94.269997,94.589996,93.75,94.470001,2108500,92.049282
2014-07-14,95.230003,95.580002,94.43,94.540001,2388000,92.117488
2014-07-15,94.790001,95.160004,94.0,94.449997,3499200,92.02979
2014-07-16,94.809998,95.089996,94.269997,94.470001,2738000,92.049282
2014-07-17,93.959999,94.699997,92.910004,92.989998,3110800,90.607202
2014-07-18,93.32,93.93,93.099998,93.529999,3363000,91.133366
2014-07-21,93.290001,93.400002,92.379997,92.879997,2321800,90.50002
2014-07-22,93.510002,94.059998,93.220001,93.370003,2411600,90.97747
2014-07-23,93.190002,93.589996,92.82,93.279999,1984800,90.889772
2014-07-24,93.330002,93.620003,92.849998,93.150002,3023400,90.763106
2014-07-25,92.739998,93.07,91.580002,91.93,3903500,89.574366
2014-07-28,91.900002,92.029999,90.900002,91.860001,4274000,89.50616
2014-07-29,91.830002,92.230003,91.510002,91.709999,4773300,89.360002
2014-07-30,92.110001,92.32,90.040001,90.910004,5069300,88.580506
2014-07-31,90.07,90.260002,87.989998,88.0,7561100,85.745069
2014-08-01,87.410004,87.739998,85.75,86.470001,12258300,84.254275
2014-08-04,86.599998,87.239998,86.449997,86.93,5743800,84.702487
2014-08-05,86.650002,87.019997,85.889999,86.360001,5004400,84.147093
2014-08-06,86.040001,86.790001,86.0,86.400002,4805600,84.186069
2014-08-07,86.790001,87.139999,85.889999,86.019997,4539100,83.815802
2014-08-08,86.089996,87.510002,85.910004,87.470001,4206700,85.228651
2014-08-11,87.919998,88.160004,86.940002,86.949997,3594400,84.721971
2014-08-12,87.0,87.089996,86.699997,87.080002,3106600,84.848645
2014-08-13,87.440002,88.07,87.160004,87.400002,2590600,85.160445
2014-08-14,87.5,87.800003,87.099998,87.269997,3498800,85.033771
2014-08-15,87.779999,87.879997,86.230003,86.599998,3290800,84.380941
2014-08-18,87.290001,87.480003,86.980003,87.160004,2662100,84.926597
2014-08-19,87.580002,88.279999,87.449997,88.120003,3523700,85.861997
2014-08-20,88.010002,88.650002,87.900002,88.489998,3142900,86.222511
2014-08-21,88.639999,89.330002,88.589996,89.139999,3019300,86.855857
2014-08-22,88.889999,89.510002,88.830002,88.879997,2796200,86.602517
2014-08-25,89.559998,90.220001,89.32,89.589996,3730000,87.294323
2014-08-26,89.610001,89.93,89.080002,89.150002,2934600,86.865603
2014-08-27,89.25,89.589996,88.989998,89.239998,2632300,86.953293
2014-08-28,88.839996,89.330002,88.610001,89.019997,3324900,86.738929
2014-08-29,89.370003,89.699997,89.089996,89.550003,2672700,87.255354
2014-09-02,89.900002,90.129997,89.279999,89.720001,3592100,87.420997
2014-09-03,90.129997,90.489998,90.0,90.139999,2930800,87.830233
2014-09-04,90.110001,90.459999,89.419998,89.650002,2594100,87.352791
2014-09-05,89.639999,89.739998,89.019997,89.610001,2571200,87.313815
2014-09-08,89.400002,89.830002,88.620003,88.93,3617600,86.651239
2014-09-09,88.849998,88.900002,87.75,87.900002,4014300,85.647633
2014-09-10,88.099998,88.660004,88.010002,88.410004,3471000,86.144567
2014-09-11,88.010002,88.599998,87.879997,88.419998,2757000,86.154305
2014-09-12,88.18,88.300003,87.440002,87.639999,4739100,85.394293
2014-09-15,88.349998,88.349998,87.110001,87.379997,3983800,85.140953
2014-09-16,87.160004,88.699997,86.879997,88.360001,5946200,86.095845
2014-09-17,88.610001,89.559998,88.330002,89.07,4460700,86.787651
2014-09-18,89.330002,90.589996,89.309998,90.099998,4309800,87.791257
2014-09-19,90.68,90.68,89.419998,89.699997,7118600,87.401505
2014-09-22,89.580002,90.089996,88.900002,88.989998,3134700,86.709699
2014-09-23,88.550003,89.260002,88.230003,88.309998,3711000,86.047123
2014-09-24,88.470001,88.650002,87.870003,88.519997,5089900,86.251741
2014-09-25,88.510002,88.82,86.760002,86.760002,5648000,84.536845
