Date,Open_ECL,High_ECL,Low_ECL,Close_ECL,Volume_ECL,AdjClose_ECL
2015-12-17,118.050003,118.489998,115.25,115.300003,1056900,114.916618
2015-12-18,115.160004,115.18,112.580002,112.620003,1754900,112.245529
2015-12-21,113.32,113.900002,112.599998,113.220001,913400,112.843533
2015-12-22,113.980003,114.690002,113.150002,114.419998,719100,114.03954
2015-12-23,115.470001,116.690002,114.940002,116.5,818300,116.112625
2015-12-24,116.190002,116.279999,115.550003,115.779999,331100,115.395018
2015-12-28,115.32,115.57,114.68,115.470001,480900,115.086051
2015-12-29,116.400002,116.809998,115.760002,116.389999,669500,116.00299
2015-12-30,116.169998,116.459999,115.370003,115.43,525300,115.046183
2015-12-31,115.040001,116.139999,114.370003,114.379997,965400,113.999672
2016-01-04,112.900002,113.150002,111.0,112.489998,1769700,112.115957
2016-01-05,112.550003,113.690002,112.290001,112.900002,1222800,112.524597
2016-01-06,109.82,110.849998,106.550003,108.07,3837000,107.710656
2016-01-07,105.949997,107.870003,104.940002,105.269997,1963100,104.919963
2016-01-08,105.489998,105.779999,104.080002,104.349998,1297300,104.003024
2016-01-11,104.660004,105.18,103.610001,104.620003,1498400,104.27213
2016-01-12,105.830002,106.25,104.610001,105.720001,1349100,105.368471
2016-01-13,106.650002,106.760002,103.019997,103.129997,1399600,102.787079
2016-01-14,103.480003,105.400002,102.480003,104.82,1485000,104.471462
2016-01-15,103.389999,103.910004,100.589996,102.580002,2042300,102.238913
2016-01-19,104.0,104.080002,101.489998,102.370003,1426800,102.029612
2016-01-20,100.879997,103.540001,99.989998,102.440002,1738000,102.099379
2016-01-21,102.110001,102.739998,100.589996,101.849998,1627900,101.511337
2016-01-22,103.879997,106.809998,103.610001,104.989998,1555500,104.640895
2016-01-25,104.480003,104.889999,103.080002,103.260002,1206000,102.916652
2016-01-26,103.410004,104.160004,103.120003,104.129997,1148000,103.783754
2016-01-27,103.410004,104.730003,102.059998,102.779999,1146500,102.438245
2016-01-28,104.080002,105.199997,103.379997,104.0,1030200,103.654189
