Date,Open_AWK,High_AWK,Low_AWK,Close_AWK,Volume_AWK,AdjClose_AWK
2015-11-05,58.040001,58.380001,57.279999,58.189999,965900,57.5981
2015-11-06,57.93,58.220001,55.130001,55.439999,1153400,54.876072
2015-11-09,55.330002,55.889999,55.16,55.790001,907800,55.222514
2015-11-10,55.720001,56.66,55.59,56.630001,636000,56.05397
2015-11-11,56.66,57.169998,56.529999,56.889999,555900,56.311324
2015-11-12,56.75,57.540001,56.34,56.470001,479000,55.895598
2015-11-13,56.369999,56.830002,55.939999,56.009998,450000,55.440274
2015-11-16,56.0,56.849998,55.77,56.830002,470500,56.251937
2015-11-17,56.759998,56.919998,55.990002,56.049999,643800,55.479868
2015-11-18,56.139999,57.119999,56.0,57.060001,579400,56.479597
2015-11-19,57.080002,57.490002,57.02,57.27,519400,56.68746
2015-11-20,57.310001,57.900002,57.209999,57.400002,457500,56.816138
2015-11-23,57.5,57.869999,57.34,57.470001,623000,56.885426
2015-11-24,57.16,57.360001,56.5,56.880001,1067700,56.301427
2015-11-25,56.98,57.18,56.740002,57.02,617600,56.440003
2015-11-27,57.16,58.049999,57.130001,58.049999,556600,57.459524
2015-11-30,57.970001,58.400002,57.5,57.759998,1444800,57.172473
2015-12-01,57.73,58.439999,57.380001,57.869999,942400,57.281355
2015-12-02,57.639999,57.869999,56.959999,57.150002,659900,56.568681
2015-12-03,57.23,57.459999,56.959999,57.41,688300,56.826035
2015-12-04,57.439999,58.040001,57.419998,58.009998,702900,57.41993
2015-12-07,57.75,58.41,57.59,58.400002,783000,57.805967
2015-12-08,58.029999,58.700001,57.880001,58.450001,962900,57.855457
2015-12-09,57.959999,58.759998,57.860001,57.91,917900,57.320949
2015-12-10,58.02,58.060001,56.630001,56.77,1043300,56.192546
2015-12-11,56.740002,57.169998,56.400002,56.720001,751800,56.143055
2015-12-14,56.700001,57.130001,56.490002,56.720001,1170700,56.143055
2015-12-15,56.740002,57.48,56.740002,57.189999,1119900,56.608272
2015-12-16,57.529999,58.919998,57.529999,58.790001,1195600,58.191999
2015-12-17,58.82,59.779999,58.619999,59.290001,1886000,58.686913
2015-12-18,59.169998,59.950001,58.240002,59.549999,2238900,58.944267
2015-12-21,59.610001,59.619999,58.060001,58.27,1134600,57.677288
2015-12-22,58.580002,59.119999,57.970001,59.029999,1020300,58.429556
2015-12-23,59.240002,59.75,59.16,59.57,782200,58.964064
2015-12-24,59.419998,60.080002,59.419998,59.830002,383300,59.221421
2015-12-28,59.720001,60.650002,59.700001,60.610001,908800,59.993486
2015-12-29,60.75,61.200001,60.57,60.599998,724700,59.983586
2015-12-30,60.84,60.950001,60.32,60.450001,476600,59.835114
2015-12-31,60.380001,60.529999,59.580002,59.75,538500,59.142233
2016-01-04,59.68,60.59,59.68,60.32,1518500,59.706435
2016-01-05,60.349998,60.459999,59.380001,60.150002,1317700,59.538166
2016-01-06,59.66,60.32,59.470001,59.889999,824000,59.280808
2016-01-07,59.169998,59.700001,58.900002,59.439999,1016700,58.835385
2016-01-08,59.630001,60.279999,59.52,59.669998,689900,59.063045
2016-01-11,60.080002,60.560001,59.779999,60.25,730600,59.637147
2016-01-12,60.41,60.509998,59.25,60.189999,915300,59.577756
2016-01-13,60.509998,60.700001,59.860001,60.09,782700,59.478775
2016-01-14,60.029999,61.240002,59.990002,60.880001,946700,60.26074
2016-01-15,60.459999,60.810001,59.009998,60.48,968300,59.864807
2016-01-19,60.610001,61.360001,60.470001,61.009998,1087200,60.389415
2016-01-20,61.009998,61.299999,59.41,60.619999,1884500,60.003383
2016-01-21,60.689999,60.889999,60.029999,60.25,1275600,59.637147
2016-01-22,60.75,62.950001,60.360001,62.439999,1272100,61.80487
2016-01-25,62.759998,62.950001,61.310001,61.439999,1055900,60.815041
2016-01-26,61.740002,62.509998,61.509998,62.349998,999900,61.715785
2016-01-27,62.349998,62.91,61.959999,62.439999,874900,61.80487
2016-01-28,62.75,63.93,62.470001,63.450001,869500,62.804598
2016-01-29,64.010002,65.040001,63.610001,64.910004,1391600,64.24975
2016-02-01,64.690002,65.629997,64.690002,65.029999,1292400,64.368525
2016-02-02,65.129997,65.529999,64.209999,65.360001,1031700,64.69517
2016-02-03,65.830002,66.459999,65.5,65.879997,1164500,65.209877
2016-02-04,65.309998,65.339996,63.709999,63.93,1964200,63.607988
2016-02-05,63.610001,63.970001,63.16,63.720001,1306400,63.399047
2016-02-08,63.720001,64.330002,63.25,64.290001,1005700,63.966175
2016-02-09,64.139999,66.010002,64.139999,65.720001,1752500,65.388973
2016-02-10,66.0,66.739998,65.669998,66.68,1556800,66.344136
2016-02-11,66.389999,66.779999,65.449997,66.080002,1898200,65.74716
2016-02-12,66.080002,66.370003,64.93,65.080002,1489100,64.752197
2016-02-16,65.589996,65.589996,63.630001,65.150002,1709200,64.821844
2016-02-17,65.510002,65.510002,64.410004,64.709999,1837100,64.384058
2016-02-18,64.739998,66.32,64.650002,65.809998,1649200,65.478516
2016-02-19,65.43,66.360001,65.309998,65.769997,996100,65.438716
2016-02-22,66.209999,66.43,65.860001,66.269997,668900,65.936198
2016-02-23,66.110001,66.860001,66.110001,66.669998,865900,66.334185
2016-02-24,66.760002,66.949997,66.07,66.690002,1178900,66.354088
2016-02-25,67.599998,68.489998,67.129997,68.050003,1350600,67.707239
2016-02-26,67.660004,67.660004,64.660004,64.809998,2436800,64.483553
2016-02-29,64.709999,66.029999,64.650002,64.82,1427100,64.493505
2016-03-01,65.099998,65.839996,64.93,65.300003,1120500,64.97109
2016-03-02,68.25,69.029999,67.059998,68.760002,13574700,68.413661
2016-03-03,68.57,68.629997,67.410004,67.900002,33567100,67.557993
2016-03-04,67.550003,67.900002,66.629997,67.870003,3304500,67.528145
2016-03-07,67.730003,67.839996,67.019997,67.339996,2151500,67.000808
2016-03-08,67.339996,68.629997,67.099998,68.370003,2352600,68.025626
2016-03-09,68.269997,68.980003,68.080002,68.690002,1495500,68.344014
2016-03-10,68.699997,68.980003,67.870003,68.230003,1711900,67.886332
2016-03-11,68.75,68.989998,67.839996,68.110001,2025700,67.766934
2016-03-14,67.959999,68.349998,67.639999,68.0,1498700,67.657487
2016-03-15,67.68,68.970001,67.68,68.589996,1430400,68.244512
