Date,Open_MCK,High_MCK,Low_MCK,Close_MCK,Volume_MCK,AdjClose_MCK
2014-06-20,185.460007,186.479996,184.0,185.490005,1399900,183.522114
2014-06-23,184.830002,186.679993,184.100006,186.199997,925000,184.224573
2014-06-24,181.699997,186.710007,181.699997,184.429993,934400,182.473347
2014-06-25,184.490005,187.970001,183.389999,187.350006,971500,185.362382
2014-06-26,187.479996,188.949997,187.410004,188.089996,1031400,186.094521
2014-06-27,188.220001,189.259995,187.869995,188.919998,1036400,186.915718
2014-06-30,189.0,189.050003,185.770004,186.210007,1342900,184.234477
2014-07-01,186.5,190.149994,185.929993,189.460007,1448000,187.449997
2014-07-02,189.0,190.710007,188.830002,189.440002,922900,187.430205
2014-07-03,189.410004,190.240005,188.460007,190.0,486100,187.984262
2014-07-07,189.929993,190.729996,188.839996,189.610001,893500,187.5984
2014-07-08,189.110001,189.990005,185.660004,188.0,1199600,186.00548
2014-07-09,188.339996,190.009995,187.279999,189.699997,1070700,187.687441
2014-07-10,188.190002,189.830002,187.25,188.990005,842300,186.984982
2014-07-11,188.990005,189.279999,187.570007,188.970001,494900,186.96519
2014-07-14,190.0,190.660004,188.919998,190.410004,745800,188.389915
2014-07-15,189.960007,190.350006,188.009995,188.770004,958800,186.767315
2014-07-16,189.600006,189.600006,187.179993,188.419998,817700,186.421022
2014-07-17,188.279999,190.490005,188.020004,188.710007,1127600,186.707954
2014-07-18,188.919998,191.520004,188.199997,191.449997,1372500,189.418875
2014-07-21,191.229996,191.229996,188.050003,188.449997,1021700,186.450703
2014-07-22,188.770004,191.050003,188.699997,190.800003,681200,188.775777
2014-07-23,190.699997,191.470001,189.779999,190.679993,652500,188.65704
2014-07-24,193.520004,194.800003,191.660004,193.580002,1446600,191.526283
2014-07-25,193.199997,195.199997,191.490005,191.800003,632200,189.765168
2014-07-28,191.820007,191.990005,189.770004,191.419998,609400,189.389195
2014-07-29,191.660004,192.610001,190.539993,191.089996,741600,189.062694
2014-07-30,191.570007,192.389999,190.380005,191.25,1093900,189.221
2014-07-31,193.149994,195.889999,191.470001,191.860001,2543300,189.824529
2014-08-01,193.009995,195.529999,190.240005,195.429993,2218300,193.356647
2014-08-04,196.039993,196.440002,191.699997,193.669998,1339900,191.615324
2014-08-05,192.100006,193.5,190.990005,191.809998,1080900,189.775057
2014-08-06,191.070007,192.979996,189.820007,190.440002,1022700,188.419596
2014-08-07,190.75,190.970001,185.839996,186.580002,1437200,184.600547
2014-08-08,186.860001,189.979996,186.330002,189.830002,964100,187.816067
2014-08-11,190.119995,192.559998,190.110001,191.289993,900000,189.260569
2014-08-12,190.020004,191.259995,187.880005,188.169998,1264200,186.173674
2014-08-13,189.529999,190.580002,188.820007,189.75,824200,187.736914
2014-08-14,190.419998,192.309998,190.419998,192.139999,810000,190.101557
2014-08-15,192.740005,193.490005,189.779999,191.149994,855400,189.122055
2014-08-18,191.580002,192.550003,190.690002,192.119995,591200,190.081765
2014-08-19,192.179993,194.580002,192.039993,194.190002,722900,192.129812
2014-08-20,193.699997,194.5,193.0,193.589996,481800,191.536171
2014-08-21,193.860001,194.419998,192.949997,193.449997,693800,191.397657
2014-08-22,193.559998,193.940002,191.630005,192.0,963400,189.963043
2014-08-25,193.110001,194.699997,192.070007,193.910004,697100,191.852783
2014-08-26,193.809998,194.25,193.009995,193.770004,564600,191.714269
2014-08-27,194.110001,194.110001,191.419998,192.039993,622900,190.002612
2014-08-28,191.330002,193.380005,191.330002,193.050003,590500,191.240912
2014-08-29,193.990005,195.110001,192.970001,195.029999,807300,193.202353
2014-09-02,195.0,195.320007,193.020004,195.309998,839300,193.479728
2014-09-03,196.880005,197.130005,194.279999,194.979996,619300,193.152818
2014-09-04,195.399994,197.0,194.830002,195.660004,988600,193.826454
2014-09-05,195.550003,198.339996,195.119995,198.339996,997100,196.481332
2014-09-08,198.399994,200.0,198.25,199.630005,864100,197.759252
2014-09-09,199.600006,199.979996,196.279999,196.490005,903500,194.648678
2014-09-10,197.240005,197.240005,195.179993,195.529999,699000,193.697667
2014-09-11,195.149994,195.550003,193.020004,193.669998,1034400,191.855097
2014-09-12,194.0,194.380005,191.949997,192.460007,1113000,190.656444
