Date,Open_RL,High_RL,Low_RL,Close_RL,Volume_RL,AdjClose_RL
2016-01-07,106.120003,109.550003,104.449997,104.559998,1161400,104.018233
2016-01-08,105.0,106.779999,103.349998,103.589996,1066400,103.053258
2016-01-11,103.209999,104.669998,100.370003,102.040001,1341300,101.511294
2016-01-12,103.599998,105.870003,101.839996,103.959999,1071700,103.421344
2016-01-13,104.959999,105.989998,100.57,100.779999,1045900,100.25782
2016-01-14,100.620003,102.059998,98.150002,101.040001,1140100,100.516475
2016-01-15,98.519997,101.849998,98.25,100.68,1420800,100.15834
2016-01-19,101.440002,104.0,99.339996,101.379997,1332500,100.85471
2016-01-20,99.919998,105.059998,99.660004,103.400002,2268700,102.864248
2016-01-21,103.510002,108.059998,102.080002,105.940002,1642000,105.391088
2016-01-22,107.839996,109.699997,105.980003,106.970001,1042600,106.41575
2016-01-25,106.940002,107.849998,105.050003,106.529999,904200,105.978027
2016-01-26,107.370003,110.239998,106.730003,109.120003,963300,108.554611
2016-01-27,108.059998,110.959999,107.260002,108.459999,1087200,107.898027
2016-01-28,110.610001,112.82,108.160004,109.629997,1050400,109.061963
2016-01-29,110.620003,113.029999,109.059998,112.5,1421700,111.917096
2016-02-01,111.199997,113.5,110.309998,112.330002,1370300,111.747978
2016-02-02,114.610001,115.540001,110.550003,111.760002,2034000,111.180932
2016-02-03,112.660004,115.849998,110.5,115.559998,2338700,114.961238
2016-02-04,103.269997,103.5,88.239998,89.949997,10823200,89.483933
2016-02-05,88.529999,90.629997,87.010002,87.25,4940000,86.797925
2016-02-08,85.099998,87.309998,84.0,85.230003,2826400,84.788395
2016-02-09,84.75,85.910004,82.790001,83.699997,2354800,83.266316
2016-02-10,84.330002,86.059998,83.0,84.5,2513000,84.062174
2016-02-11,83.629997,85.699997,82.150002,83.18,1831200,82.749014
2016-02-12,83.800003,87.769997,83.800003,86.940002,2491100,86.489534
2016-02-16,87.709999,89.07,86.230003,88.330002,1328300,87.872331
2016-02-17,89.559998,90.650002,88.470001,89.239998,1552600,88.777612
2016-02-18,89.360001,89.830002,88.330002,88.830002,731600,88.369741
2016-02-19,87.699997,88.580002,86.550003,88.279999,830000,87.822587
2016-02-22,89.489998,91.43,88.279999,91.0,1057700,90.528495
2016-02-23,90.889999,92.139999,89.480003,89.800003,1102900,89.334716
2016-02-24,88.610001,90.330002,88.169998,89.959999,1053200,89.493883
2016-02-25,90.199997,92.25,88.599998,91.919998,856200,91.443726
2016-02-26,91.970001,92.029999,89.360001,90.849998,927100,90.379271
2016-02-29,90.849998,92.540001,90.690002,90.760002,733200,90.289741
2016-03-01,92.019997,94.120003,91.120003,93.690002,1064700,93.20456
2016-03-02,93.519997,94.620003,92.769997,94.57,643800,94.079997
2016-03-03,94.32,96.0,94.099998,95.769997,1120300,95.273777
2016-03-04,95.839996,98.449997,95.32,97.160004,1132200,96.656582
2016-03-07,96.730003,100.0,96.419998,98.699997,1436700,98.188596
2016-03-08,98.25,98.879997,97.029999,97.120003,950600,96.616788
2016-03-09,97.440002,98.199997,95.339996,97.150002,852100,96.646631
2016-03-10,97.459999,98.629997,94.790001,96.25,916600,95.751293
2016-03-11,97.220001,99.379997,96.75,98.489998,718000,97.979685
2016-03-14,98.160004,99.57,97.699997,98.57,674700,98.059272
2016-03-15,97.690002,98.129997,96.760002,97.300003,628600,96.795856
2016-03-16,96.839996,97.309998,94.089996,95.730003,1178900,95.233991
2016-03-17,95.529999,97.720001,95.529999,97.110001,928900,96.606838
2016-03-18,97.32,98.459999,96.669998,98.120003,1203500,97.611606
2016-03-21,98.470001,100.18,98.470001,99.25,946100,98.735749
2016-03-22,98.260002,98.550003,96.290001,97.760002,649300,97.253471
2016-03-23,97.209999,97.43,95.43,95.889999,749400,95.393158
2016-03-24,95.690002,95.980003,93.790001,95.550003,594400,95.054923
2016-03-28,95.769997,97.43,95.660004,96.43,726900,95.930361
2016-03-29,95.82,97.449997,95.050003,96.5,739700,95.999998
2016-03-30,96.589996,97.5,96.139999,96.919998,814700,96.919998
