Date,Open_SPG,High_SPG,Low_SPG,Close_SPG,Volume_SPG,AdjClose_SPG
2014-04-07,165.929986,168.019994,165.689994,167.079991,2149900,146.383496
2014-04-08,166.729994,167.479995,165.319997,167.309992,1317300,146.585006
2014-04-09,167.34999,167.950004,166.019992,167.430004,1267900,146.690152
2014-04-10,167.419996,168.059993,166.609997,167.059991,2179300,146.365974
2014-04-11,166.119988,168.149998,166.119988,166.379997,2116500,145.770211
2014-04-14,167.09999,168.189997,166.859998,168.079992,1169600,147.259625
2014-04-15,168.320001,170.599994,168.07,169.94999,1935500,148.897983
2014-04-16,170.809996,171.900002,169.590001,171.590004,1356300,150.334845
2014-04-17,170.889993,171.979983,169.039994,169.860001,1973800,148.819141
2014-04-21,170.309995,171.159993,169.799987,170.639993,1228400,149.502514
2014-04-22,170.999998,171.900002,169.149999,170.639993,1286700,149.502514
2014-04-23,170.650001,171.139993,169.509988,170.759989,1827400,149.607646
2014-04-24,171.009989,171.690001,170.269996,171.129986,1076900,149.931811
2014-04-25,171.189984,171.789981,170.389993,170.559995,1074600,149.432426
2014-04-28,171.059996,171.799989,169.519996,171.339987,1841600,150.115799
2014-04-29,171.499998,172.840005,170.559995,172.219992,1148200,150.886796
2014-04-30,172.249999,173.219993,171.789981,173.199994,1193300,151.745403
2014-05-01,173.089989,173.920004,171.579996,173.649988,992900,152.139656
2014-05-02,173.139996,174.469995,171.969992,173.06999,1376700,151.631503
2014-05-05,172.139995,174.049992,171.999999,174.049992,872000,152.49011
2014-05-06,173.199994,173.719994,172.460001,173.400004,816000,151.920638
2014-05-07,174.60999,175.939989,174.009993,175.730004,1573600,153.962016
2014-05-08,175.939989,176.679998,175.500003,176.049994,1323500,154.242369
2014-05-09,175.699997,176.949998,174.619998,175.64999,993100,153.891914
2014-05-12,176.129991,176.580002,175.529994,176.049994,972200,154.242369
2014-05-13,176.449997,177.310003,174.29,174.589991,1624700,152.963219
2014-05-14,173.579998,174.599999,173.27,174.269985,1505600,153.82826
2014-05-15,174.049992,175.049993,173.27,174.87999,1752200,154.366712
2014-05-16,174.489994,176.129991,174.10999,176.129991,1226200,155.470089
2014-05-19,175.639999,177.16,174.60999,175.509994,1038600,154.922818
2014-05-20,175.509994,176.1,174.699996,175.329984,950600,154.763922
2014-05-21,176.489996,176.839993,174.35999,174.399989,1046200,153.943015
2014-05-22,174.529993,175.239995,173.939987,174.020001,1148600,153.607599
2014-05-23,174.589991,175.469996,174.29,175.259994,798400,154.702142
2014-05-27,175.739995,176.609992,174.739994,176.549994,1528400,155.840826
2014-05-28,176.229988,176.599985,174.499986,175.939989,1470900,155.302374
2014-05-29,165.779999,165.899994,164.369995,165.289993,1190800,155.093416
2014-05-30,164.919998,166.649994,164.039993,166.460007,1976700,156.191252
2014-06-02,166.330002,166.929993,165.949997,166.800003,1589100,156.510274
2014-06-03,166.899994,166.899994,165.630005,165.869995,1072800,155.637638
2014-06-04,165.800003,167.0,165.050003,166.770004,1352900,156.482126
2014-06-05,166.600006,169.990005,166.139999,169.839996,1551100,159.362734
2014-06-06,170.25,170.339996,169.0,169.679993,1529100,159.2126
2014-06-09,169.220001,170.0,166.770004,167.0,1354600,156.697934
2014-06-10,166.710007,167.320007,165.339996,165.679993,1778600,155.459356
2014-06-11,165.669998,166.199997,164.100006,164.690002,1272800,154.530438
2014-06-12,164.720001,164.809998,163.279999,163.889999,1304600,153.779786
2014-06-13,163.970001,164.419998,162.559998,164.139999,1569100,154.014364
2014-06-16,164.0,164.820007,163.119995,163.509995,1100300,153.423223
2014-06-17,163.309998,164.789993,162.740005,164.789993,1436200,154.62426
2014-06-18,164.350006,166.669998,163.479996,166.5,1378900,156.228778
2014-06-19,166.130005,167.330002,165.050003,167.270004,1407000,156.951282
2014-06-20,167.979996,167.979996,165.880005,167.429993,2385600,157.101401
2014-06-23,167.169998,168.059998,166.330002,166.660004,1182800,156.378911
2014-06-24,166.25,166.979996,165.649994,166.369995,1378300,156.106793
2014-06-25,165.770004,166.710007,165.600006,166.039993,1066100,155.797149
2014-06-26,166.410004,166.470001,165.119995,165.789993,1143200,155.562571
2014-06-27,165.210007,167.289993,165.080002,167.059998,1731200,156.75423
2014-06-30,166.960007,167.0,165.539993,166.279999,1248300,156.022349
2014-07-01,166.869995,167.509995,165.309998,166.880005,1093100,156.585341
2014-07-02,166.699997,166.899994,165.449997,166.740005,900200,156.453978
2014-07-03,166.679993,166.679993,164.940002,166.130005,831400,155.881608
2014-07-07,166.130005,166.809998,165.800003,166.479996,1324700,156.210008
2014-07-08,165.949997,167.690002,165.860001,166.710007,1183300,156.42583
2014-07-09,165.960007,167.869995,165.070007,167.660004,1360000,157.317222
2014-07-10,166.529999,169.130005,166.529999,168.220001,1026800,157.842674
2014-07-11,167.970001,169.080002,167.550003,168.990005,837700,158.565178
2014-07-14,169.100006,169.589996,168.399994,169.410004,982100,158.959267
2014-07-15,169.449997,170.389999,168.839996,170.270004,1160400,159.766215
2014-07-16,170.25,170.979996,169.619995,170.860001,1264400,160.319815
2014-07-17,170.190002,170.929993,169.440002,169.610001,683600,159.146926
2014-07-18,170.289993,171.270004,169.679993,171.029999,866700,160.479326
2014-07-21,170.800003,170.800003,169.619995,170.410004,913900,159.897578
2014-07-22,170.029999,172.009995,170.029999,171.330002,1491100,160.760822
2014-07-23,171.350006,172.720001,168.740005,170.419998,1873000,159.906956
2014-07-24,170.880005,171.309998,169.279999,171.309998,1479500,160.742052
2014-07-25,170.690002,171.110001,168.550003,168.970001,1140900,158.546408
2014-07-28,169.0,171.0,168.809998,170.470001,820500,159.953874
2014-07-29,170.210007,171.009995,169.630005,170.100006,979900,159.606704
2014-07-30,170.089996,171.009995,169.0,170.160004,1217400,159.663
2014-07-31,169.240005,169.960007,168.130005,168.190002,1293300,157.814526
2014-08-01,166.130005,169.360001,165.820007,167.669998,1428500,157.3266
2014-08-04,168.139999,168.929993,167.070007,168.380005,1228000,157.992808
