Date,Open_VNO,High_VNO,Low_VNO,Close_VNO,Volume_VNO,AdjClose_VNO
2014-03-20,96.580002,98.209992,95.889993,98.199994,1284000,83.86426
2014-03-21,98.94999,99.109999,98.069996,98.359994,1417900,84.000903
2014-03-24,98.640004,98.699991,96.900003,97.649999,1098900,83.394556
2014-03-25,98.069996,98.260007,97.44,97.939997,881400,83.642219
2014-03-26,98.089992,98.260007,96.689996,96.689996,978900,82.574699
2014-03-27,96.610004,97.510002,96.349999,96.870001,1061200,82.728426
2014-03-28,97.319991,98.319994,97.089997,98.099989,1187600,83.778855
2014-03-31,98.530001,98.790006,97.44999,98.559995,981600,84.171706
2014-04-01,98.619999,99.51999,98.099989,99.440006,860900,84.923249
2014-04-02,99.220001,99.580002,98.879988,99.229999,988700,84.7439
2014-04-03,99.489996,99.570004,98.629997,99.190008,685400,84.709746
2014-04-04,99.789992,99.989993,98.749989,99.159997,912800,84.684117
2014-04-07,99.249995,99.989993,99.149991,99.330004,875500,84.829305
2014-04-08,99.359998,100.310002,98.530001,100.260004,1088300,85.62354
2014-04-09,100.249998,100.429994,98.749989,99.290004,1080700,84.795144
2014-04-10,99.51,100.150002,97.760001,98.300007,1312200,83.949672
2014-04-11,97.990004,98.759996,97.719993,98.150004,856600,83.821568
2014-04-14,98.970003,98.970003,96.929996,97.719993,1318200,83.454331
2014-04-15,98.089992,99.220001,97.800001,99.190008,922800,84.709746
2014-04-16,99.539994,100.409999,98.919996,100.269994,986200,85.632071
2014-04-17,100.269994,100.579997,99.820003,100.519993,1120300,85.845573
2014-04-21,100.419988,100.819989,99.929989,100.529991,1081300,85.854112
2014-04-22,100.310002,101.349989,99.839991,101.209993,800000,86.434844
2014-04-23,100.989996,101.129992,100.400001,101.01,954700,86.264047
2014-04-24,101.179999,101.299999,100.620006,101.01999,821900,86.272578
2014-04-25,101.000002,101.029996,99.499994,100.760002,515200,86.050545
2014-04-28,101.269997,102.130004,100.860006,101.930003,857400,87.049743
2014-04-29,102.409996,102.509992,101.519996,101.980001,917500,87.092442
2014-04-30,101.769994,102.629993,101.379999,102.59999,655300,87.621922
2014-05-01,102.639991,103.239992,101.849995,103.160001,600800,88.100179
2014-05-02,102.899996,104.050001,102.459994,103.320001,799000,88.236822
2014-05-05,103.279993,103.669987,102.699995,103.539998,703600,88.424703
2014-05-06,102.140002,103.980007,102.140002,103.499997,901700,88.390542
2014-05-07,103.859998,105.419995,103.749996,105.19999,1011600,89.842361
2014-05-08,104.660001,105.519999,104.429998,105.039998,1024700,90.332555
2014-05-09,105.419995,105.68,104.779993,105.479999,1106200,90.710949
2014-05-12,105.660004,106.019997,105.469993,105.959992,619600,91.123734
2014-05-13,105.999992,106.649992,104.869991,105.230001,921400,90.495954
2014-05-14,105.269992,106.019997,104.769995,105.739987,766900,90.934534
2014-05-15,105.400007,105.780004,104.610003,105.519999,668600,90.745348
2014-05-16,105.35999,105.870002,104.740001,105.839992,883300,91.020536
2014-05-19,105.580004,105.580004,104.620009,105.390001,684700,90.633552
2014-05-20,105.390001,105.790002,104.579992,105.140002,453000,90.418557
2014-05-21,105.369997,105.909994,104.46999,104.859993,504100,90.177754
2014-05-22,105.019994,105.349992,104.279996,104.349998,732800,89.739167
2014-05-23,104.709991,105.559991,104.660001,105.319999,563700,90.573351
2014-05-27,105.499995,106.53999,105.300003,106.53999,661500,91.622522
2014-05-28,106.320002,106.57,105.000006,106.169999,870300,91.304337
2014-05-29,106.099997,106.509996,105.619995,106.449992,404500,91.545125
2014-05-30,106.37,107.389999,106.37,107.080004,1087900,92.086925
2014-06-02,107.289994,107.929996,107.080004,107.519989,730700,92.465304
2014-06-03,107.3,107.500001,106.73999,106.819999,802400,91.863325
2014-06-04,106.509996,107.120004,106.289991,106.909997,648900,91.940722
2014-06-05,107.070006,108.769999,106.720003,108.689998,907500,93.471492
2014-06-06,109.009991,109.009991,107.779994,107.940002,851800,92.826508
2014-06-09,107.79,108.329997,106.379989,106.449992,1116900,91.545125
2014-06-10,106.399994,106.849993,105.309992,105.609997,1088800,90.822745
2014-06-11,105.559991,105.989994,105.019994,105.349992,644800,90.599145
2014-06-12,105.180002,105.439999,104.309989,104.540001,818700,89.902566
2014-06-13,104.760005,104.849987,104.019991,104.5,981100,89.868167
2014-06-16,104.519996,105.119998,104.110006,104.250002,858500,89.653173
2014-06-17,104.089993,104.789999,103.760002,104.620009,1044200,89.971372
2014-06-18,104.589999,105.249988,104.019991,105.019994,1440600,90.315352
2014-06-19,105.15,106.349996,104.839989,106.349996,1144800,91.45913
2014-06-20,106.070003,106.659999,105.400007,106.589996,1126200,91.665527
2014-06-23,106.529992,106.929993,106.149995,106.339989,696100,91.450525
2014-06-24,106.209999,106.659999,105.879992,106.199993,531500,91.330131
2014-06-25,106.159993,106.419998,105.909994,106.33,723200,91.441934
2014-06-26,106.33,106.440002,105.459995,105.870002,713500,91.046345
2014-06-27,105.940005,107.480005,105.909994,107.349999,1281500,92.319115
2014-06-30,107.139992,107.399997,105.739987,106.730001,974100,91.785928
2014-07-01,106.529992,109.120002,105.699996,106.709997,874700,91.768725
2014-07-02,106.580007,106.859999,105.830002,106.789997,576100,91.837524
2014-07-03,106.449992,106.470004,105.19,105.949994,660100,91.115136
2014-07-07,105.989994,106.659999,105.580004,105.909994,668500,91.080737
2014-07-08,106.019997,106.360002,105.559991,106.230004,776600,91.355939
2014-07-09,106.41,106.57,105.519999,106.37,501100,91.476334
2014-07-10,105.870002,106.599994,105.529997,106.059997,629600,91.209736
2014-07-11,106.180006,106.839995,105.899996,106.560002,644600,91.639733
2014-07-14,106.870006,107.189998,106.349996,106.980008,585700,92.00093
2014-07-15,106.789997,107.250002,106.41,106.999995,486600,92.018119
2014-07-16,107.179992,107.689995,106.659999,107.519989,608400,92.465304
2014-07-17,106.949997,107.289994,105.949994,105.969999,866500,91.13234
2014-07-18,106.279993,107.480005,105.839992,107.480005,786400,92.430919
2014-07-21,107.339992,107.379992,106.670005,106.960004,391500,91.983727
2014-07-22,107.620001,108.199991,107.349999,107.949992,532300,92.835099
2014-07-23,107.829992,108.300004,107.579993,108.219995,416800,93.067297
2014-07-24,108.260003,108.699988,107.740002,108.599992,1099300,93.394088
2014-07-25,108.050005,108.309993,107.089994,107.339992,702800,92.31051
2014-07-28,107.080004,107.760006,107.080004,107.319988,864400,92.293307
2014-07-29,107.289994,107.539993,106.599994,106.830005,919400,91.87193
2014-07-30,107.029989,107.719989,106.560002,107.129994,988900,92.129915
2014-07-31,106.379989,107.06,105.940005,106.019997,986600,91.175337
2014-08-01,106.009999,106.749997,105.079998,105.129996,1034900,90.409952
2014-08-04,105.180002,106.199993,104.610003,105.819996,950700,91.00334
2014-08-05,104.929995,106.050007,104.479996,105.129996,1008700,90.409952
2014-08-06,105.03,105.609997,104.690003,104.779993,806700,90.108956
2014-08-07,104.3,105.209996,103.800003,104.069989,618500,90.126272
2014-08-08,104.410002,104.760005,103.600002,104.729995,682100,90.697848
2014-08-11,105.03,105.969999,104.760005,105.209996,696600,91.113537
2014-08-12,105.309992,105.72,104.969996,105.300003,755500,91.191484
2014-08-13,105.670002,106.889993,105.369997,106.610001,822000,92.325963
2014-08-14,106.909997,107.070006,105.920001,106.109995,721400,91.89295
2014-08-15,106.389996,106.749997,105.169996,105.550002,2207900,91.407987
2014-08-18,106.159993,106.339989,105.589993,106.309995,1294600,92.066154
2014-08-19,106.489992,106.810001,105.84999,106.430004,923300,92.170083
2014-08-20,106.120001,107.279996,105.519999,106.970002,680300,92.637729
2014-08-21,107.019991,107.379992,106.560002,106.629988,783200,92.343272
2014-08-22,106.499998,106.730001,105.300003,105.540004,689800,91.399328
2014-08-25,106.099997,106.099997,104.760005,105.089987,646800,91.009607
2014-08-26,105.269992,105.729998,104.849987,105.010004,601000,90.94034
2014-08-27,105.119998,105.529997,104.99,105.35999,598900,91.243434
2014-08-28,105.140002,105.699996,104.929995,105.419995,563800,91.295399
2014-08-29,105.749994,105.899996,105.290005,105.870002,751400,91.685113
2014-09-02,105.999992,106.639994,105.72,106.619998,1153000,92.334621
2014-09-03,106.629988,107.410003,106.449992,107.1,991100,92.75031
2014-09-04,106.980008,107.79,106.480002,106.870006,1078400,92.551131
2014-09-05,106.709997,107.91999,106.41,107.779994,762200,93.339195
2014-09-08,107.779994,108.100003,107.42999,107.769996,579700,93.330537
2014-09-09,107.549999,107.779994,106.610001,106.870006,585100,92.551131
2014-09-10,106.599994,106.670005,105.230001,105.390001,711400,91.269424
2014-09-11,105.300003,105.839992,104.819993,105.619995,647700,91.468603
2014-09-12,105.219994,105.219994,101.969995,102.730006,1219100,88.965825
2014-09-15,102.59999,103.339997,101.949991,102.369996,737300,88.654051
2014-09-16,102.389992,103.65,102.150008,103.310003,694700,89.468112
2014-09-17,103.600002,104.529994,103.009998,103.499997,854900,89.63265
2014-09-18,103.870005,104.189997,102.620003,102.670001,1247300,88.91386
2014-09-19,103.12,103.459997,101.559996,102.169995,1684600,88.480848
2014-09-22,102.130004,102.279998,101.139999,101.169992,871200,87.614829
2014-09-23,101.160003,101.58,100.2,100.310002,957800,86.870064
2014-09-24,100.12,101.690002,99.749992,100.029993,1010900,86.627571
2014-09-25,100.009997,100.660006,99.51,99.769988,960800,86.402403
2014-09-26,99.749992,100.929992,99.259993,100.760002,597400,87.25977
2014-09-29,100.480009,100.559993,99.620003,100.449999,688500,86.991303
2014-09-30,100.600001,100.949988,99.710001,99.959999,788500,86.566956
2014-10-01,99.779995,100.649999,99.249995,99.769988,906600,86.402403
2014-10-02,99.769988,100.249998,98.919996,99.589992,766500,86.246523
2014-10-03,99.910001,100.150002,99.319997,99.820003,689100,86.445717
2014-10-06,100.019987,100.510003,99.409996,99.649996,652500,86.298488
2014-10-07,99.399998,99.609996,98.330001,98.359994,1106200,85.181326
2014-10-08,98.349988,100.720002,98.269996,100.400001,1455800,86.948004
2014-10-09,100.470003,102.259994,100.089998,101.650002,1845700,88.030525
2014-10-10,101.910007,104.039995,101.250001,102.509992,2740900,88.77529
2014-10-13,102.489988,103.57,101.999989,102.050004,718300,88.376933
2014-10-14,102.359998,104.809995,102.050004,104.079995,821200,90.134938
2014-10-15,103.739998,104.559988,102.409996,103.320001,1811600,89.476771
2014-10-16,102.180002,104.169993,102.109991,103.769992,886600,89.86647
2014-10-17,104.639997,104.940002,103.429995,104.66999,1118900,90.645883
2014-10-20,104.360004,105.999992,104.179991,105.980005,737500,91.780377
2014-10-21,106.379989,107.039995,105.519999,106.999995,716400,92.663705
2014-10-22,107.039995,107.489995,106.549996,106.939991,937200,92.61174
2014-10-23,107.489995,107.99,106.320002,107.559989,1179200,93.148668
2014-10-24,107.709991,108.059994,106.499998,107.419992,632000,93.027429
2014-10-27,107.460001,108.169997,106.980008,108.089997,728500,93.607663
2014-10-28,108.419995,108.419995,107.169994,107.700002,816200,93.269921
2014-10-29,107.500001,107.949992,106.139989,106.749997,1207100,92.447202
2014-10-30,106.470004,107.669991,93.089993,107.599997,1238500,93.183316
2014-10-31,108.469993,109.639995,107.599997,109.480003,1524400,94.811431
2014-11-03,109.33999,111.010005,109.179998,110.819994,1302700,95.971885
2014-11-04,110.320005,111.469994,109.749997,111.16,1261300,96.266335
2014-11-05,111.300004,112.029996,110.539993,111.800001,1350100,96.820587
