Date,Open_OKE,High_OKE,Low_OKE,Close_OKE,Volume_OKE,AdjClose_OKE
2016-05-06,38.630001,39.959999,38.509998,39.77,2408600,39.77
2016-05-09,40.0,40.529999,38.57,39.240002,2630600,39.240002
2016-05-10,39.709999,40.66,39.490002,40.080002,2776000,40.080002
2016-05-11,40.080002,40.790001,39.279999,40.07,2849900,40.07
2016-05-12,40.68,41.130001,39.689999,40.290001,2456500,40.290001
2016-05-13,40.139999,41.779999,40.099998,41.040001,2578200,41.040001
2016-05-16,41.73,42.18,41.290001,41.810001,2305200,41.810001
2016-05-17,41.68,42.57,41.459999,42.02,2864000,42.02
2016-05-18,41.599998,41.689999,39.849998,40.130001,4001000,40.130001
2016-05-19,39.560001,41.709999,39.220001,41.540001,2662300,41.540001
2016-05-20,41.610001,42.07,40.669998,42.040001,2083800,42.040001
2016-05-23,41.509998,42.200001,41.150002,41.669998,2177000,41.669998
2016-05-24,41.540001,41.93,41.110001,41.700001,3002700,41.700001
2016-05-25,42.0,43.419998,41.810001,43.07,2435400,43.07
2016-05-26,43.48,43.509998,42.32,42.57,1484600,42.57
2016-05-27,42.259998,43.02,41.880001,42.73,1929600,42.73
2016-05-31,42.93,44.290001,42.75,43.25,2873600,43.25
2016-06-01,43.25,43.880001,42.450001,43.77,2891600,43.77
2016-06-02,43.110001,43.869999,42.700001,43.73,1905600,43.73
2016-06-03,43.779999,44.279999,43.610001,44.029999,2142600,44.029999
