Date,Open_RHI,High_RHI,Low_RHI,Close_RHI,Volume_RHI,AdjClose_RHI
2016-05-05,38.790001,39.0,38.57,38.669998,1553500,38.455653
2016-05-06,38.349998,38.889999,38.310001,38.75,1495800,38.535211
2016-05-09,38.82,39.169998,38.759998,38.990002,1070500,38.773883
2016-05-10,39.119999,39.360001,38.93,39.360001,997600,39.141831
2016-05-11,39.380001,39.43,38.939999,39.040001,1025900,38.823605
2016-05-12,39.290001,39.34,38.299999,38.599998,1057600,38.386041
2016-05-13,38.599998,39.130001,38.439999,38.889999,1496600,38.674435
2016-05-16,38.900002,39.650002,38.869999,39.560001,1272500,39.340723
2016-05-17,39.419998,40.049999,39.259998,39.380001,1254500,39.16172
2016-05-18,39.369999,39.82,39.029999,39.400002,1118300,39.18161
2016-05-19,39.09,39.389999,38.73,39.220001,974600,39.002607
2016-05-20,39.389999,40.119999,39.389999,39.689999,1144000,39.47
2016-05-23,39.560001,39.810001,38.990002,39.02,802600,39.02
2016-05-24,39.720001,41.060001,39.639999,40.799999,1569100,40.799999
2016-05-25,40.75,40.82,40.380001,40.709999,1403400,40.709999
2016-05-26,40.650002,40.779999,40.389999,40.57,832200,40.57
2016-05-27,40.639999,41.16,40.639999,40.939999,834300,40.939999
2016-05-31,41.0,41.639999,40.880001,41.59,1260600,41.59
2016-06-01,41.360001,41.790001,41.150002,41.689999,1178100,41.689999
2016-06-02,41.59,41.91,41.310001,41.91,1157300,41.91
2016-06-03,41.700001,41.700001,40.360001,40.450001,1749300,40.450001
