Date,Open_VIAB,High_VIAB,Low_VIAB,Close_VIAB,Volume_VIAB,AdjClose_VIAB
2014-11-10,70.510002,70.870003,69.879997,70.089996,3835200,66.456664
2014-11-11,70.019997,70.419998,69.239998,69.529999,3028900,65.925696
2014-11-12,68.779999,70.050003,68.599998,69.25,4113800,65.660212
2014-11-13,69.940002,72.949997,69.809998,71.199997,6310300,67.509124
2014-11-14,71.389999,73.160004,70.779999,72.959999,4958100,69.177891
2014-11-17,72.980003,74.760002,72.919998,74.099998,5636700,70.258795
2014-11-18,74.040001,74.32,73.489998,73.75,3397900,69.92694
2014-11-19,73.68,73.68,72.910004,73.480003,4267800,69.67094
2014-11-20,73.410004,74.260002,72.93,73.800003,3002300,69.974351
2014-11-21,74.940002,74.940002,73.290001,73.709999,4088600,69.889013
2014-11-24,73.940002,74.57,73.739998,74.5,3661200,70.638062
2014-11-25,74.5,75.43,74.400002,74.949997,4283600,71.064732
2014-11-26,74.860001,75.75,74.589996,75.230003,2810600,71.330223
2014-11-28,75.580002,75.779999,75.239998,75.629997,1267500,71.709482
2014-12-01,75.360001,75.529999,73.940002,74.160004,3775400,70.31569
2014-12-02,74.300003,74.779999,74.099998,74.139999,3129300,70.296723
2014-12-03,74.029999,75.110001,73.769997,75.050003,4590800,71.159553
2014-12-04,74.879997,75.199997,73.410004,74.739998,5174300,70.865618
2014-12-05,74.879997,78.0,74.68,76.900002,6836600,72.913652
2014-12-08,76.559998,76.790001,74.610001,75.110001,3053000,71.216441
2014-12-09,74.279999,74.760002,73.510002,74.610001,2375400,70.74236
2014-12-10,74.199997,74.230003,72.82,73.0,2723400,69.215819
2014-12-11,73.239998,73.660004,72.589996,72.970001,2365600,69.501563
2014-12-12,72.139999,73.919998,72.139999,72.959999,3473000,69.492037
2014-12-15,73.360001,74.040001,72.459999,73.080002,4438300,69.606335
2014-12-16,72.889999,73.870003,72.260002,72.260002,4391700,68.825312
2014-12-17,72.410004,73.809998,72.410004,73.57,3162000,70.073043
2014-12-18,74.809998,75.830002,74.360001,75.739998,3415900,72.139896
2014-12-19,75.620003,76.209999,75.370003,75.919998,5833500,72.31134
2014-12-22,75.959999,76.389999,75.629997,76.379997,2110700,72.749474
2014-12-23,76.839996,77.889999,76.580002,77.269997,2532700,73.59717
2014-12-24,77.589996,77.839996,76.779999,76.889999,1150400,73.235235
