Date,Open_COST,High_COST,Low_COST,Close_COST,Volume_COST,AdjClose_COST
2016-03-29,152.770004,155.460007,152.520004,155.259995,1655400,154.802151
2016-03-30,155.910004,158.240005,155.649994,157.600006,2642700,157.135263
2016-03-31,157.960007,159.800003,157.520004,157.580002,2692400,157.115317
2016-04-01,157.869995,159.089996,157.0,158.25,1531500,157.78334
2016-04-04,158.679993,158.990005,156.460007,157.729996,1458400,157.264869
2016-04-05,157.889999,158.0,155.720001,155.990005,1855600,155.53001
2016-04-06,155.809998,157.410004,155.220001,156.770004,1572600,156.307708
2016-04-07,154.419998,154.580002,151.479996,152.029999,4050100,151.581681
2016-04-08,152.979996,152.979996,150.919998,151.649994,2008500,151.202796
2016-04-11,151.339996,151.940002,148.970001,149.050003,2279000,148.610472
2016-04-12,149.600006,150.679993,148.509995,150.520004,2268300,150.076139
2016-04-13,151.570007,152.080002,150.589996,151.880005,2078800,151.432129
2016-04-14,152.589996,152.910004,151.139999,151.399994,2420000,150.953533
2016-04-15,151.960007,153.809998,151.839996,153.169998,2675900,152.718318
2016-04-18,152.779999,153.710007,152.270004,153.300003,1335800,152.84794
2016-04-19,153.779999,153.899994,152.490005,153.679993,1579000,153.226809
2016-04-20,153.720001,153.889999,152.600006,152.740005,1308700,152.289594
2016-04-21,152.490005,152.740005,150.690002,151.419998,2097600,150.973479
2016-04-22,151.050003,151.809998,149.360001,149.919998,2233900,149.477902
2016-04-25,149.979996,151.679993,149.470001,151.509995,1249000,151.06321
2016-04-26,152.080002,153.449997,151.669998,152.600006,1552900,152.150007
2016-04-27,152.240005,152.509995,150.600006,151.770004,1492800,151.770004
2016-04-28,152.009995,153.649994,151.139999,151.440002,2198100,151.440002
2016-04-29,150.009995,150.979996,147.460007,148.130005,3588800,148.130005
2016-05-02,148.759995,151.419998,147.75,150.929993,3361500,150.929993
2016-05-03,150.080002,152.529999,149.600006,151.410004,2190400,151.410004
2016-05-04,150.119995,152.0,149.440002,151.509995,2110100,151.509995
2016-05-05,148.979996,150.380005,146.369995,147.839996,4867900,147.839996
2016-05-06,147.059998,147.5,144.740005,146.440002,3691200,146.440002
2016-05-09,146.830002,148.970001,146.509995,148.589996,2843800,148.589996
2016-05-10,149.380005,149.979996,148.75,149.559998,1938800,149.559998
2016-05-11,148.389999,148.690002,146.580002,147.119995,2806200,147.119995
2016-05-12,147.320007,147.770004,146.320007,146.720001,2860400,146.720001
2016-05-13,146.330002,146.720001,144.300003,144.5,2980400,144.5
2016-05-16,144.5,146.580002,143.399994,145.789993,2613100,145.789993
2016-05-17,145.5,146.240005,143.220001,143.600006,2927400,143.600006
2016-05-18,140.179993,141.660004,138.570007,141.289993,5712000,141.289993
2016-05-19,142.449997,143.080002,141.419998,142.699997,2795700,142.699997
2016-05-20,142.729996,143.5,142.020004,142.690002,2088400,142.690002
2016-05-23,142.839996,144.0,141.910004,142.009995,1822000,142.009995
2016-05-24,142.570007,143.479996,142.380005,142.570007,2810200,142.570007
2016-05-25,142.619995,145.679993,142.509995,144.539993,4156700,144.539993
2016-05-26,149.009995,153.880005,147.699997,149.710007,7665300,149.710007
2016-05-27,150.240005,150.770004,148.110001,149.080002,3348200,149.080002
2016-05-31,149.570007,149.880005,147.630005,148.770004,3724500,148.770004
2016-06-01,150.5,153.0,150.320007,152.520004,3476100,152.520004
2016-06-02,150.050003,151.509995,148.550003,151.509995,3940600,151.509995
2016-06-03,150.300003,151.779999,150.270004,151.710007,1955300,151.710007
