Date,Open_ADP,High_ADP,Low_ADP,Close_ADP,Volume_ADP,AdjClose_ADP
2015-05-28,85.870003,86.290001,85.620003,85.970001,1297500,83.371416
2015-05-29,85.959999,86.0,85.080002,85.510002,2188900,82.925321
2015-06-01,85.699997,85.980003,84.510002,85.300003,1617500,82.72167
2015-06-02,84.769997,85.68,84.339996,85.449997,2033000,82.86713
2015-06-03,85.769997,85.879997,85.120003,85.470001,1738400,82.88653
2015-06-04,84.93,85.32,83.93,84.080002,1689600,81.538545
2015-06-05,84.099998,84.57,83.230003,84.260002,1353900,81.713105
2015-06-08,83.940002,84.489998,83.410004,83.5,1531900,80.976075
2015-06-09,83.370003,83.599998,82.860001,83.160004,1569500,80.646356
2015-06-10,82.959999,84.639999,82.839996,84.18,1625400,82.119391
2015-06-11,84.5,84.889999,84.199997,84.620003,1438400,82.548622
2015-06-12,84.150002,84.449997,83.650002,83.849998,1144600,81.797467
2015-06-15,83.25,83.449997,82.43,82.919998,1679700,80.890232
2015-06-16,82.839996,83.410004,82.519997,83.279999,1499900,81.24142
2015-06-17,83.610001,83.75,82.769997,83.279999,1134600,81.24142
2015-06-18,83.620003,84.800003,83.370003,84.580002,1556500,82.509601
2015-06-19,84.449997,84.68,83.93,84.410004,2906400,82.343764
2015-06-22,84.610001,85.459999,84.610001,85.0,1400900,82.919318
2015-06-23,85.290001,85.290001,84.529999,84.769997,957800,82.694945
2015-06-24,84.639999,84.760002,83.599998,83.629997,1548300,81.582851
2015-06-25,83.709999,83.889999,83.220001,83.349998,1200100,81.309706
2015-06-26,83.779999,83.839996,83.029999,83.309998,2889800,81.270684
2015-06-29,82.800003,82.800003,80.849998,80.910004,1774200,78.929439
2015-06-30,81.389999,81.660004,79.800003,80.230003,2688800,78.266084
2015-07-01,79.510002,81.190002,79.510002,80.889999,1821000,78.909924
2015-07-02,81.230003,81.260002,80.349998,80.830002,1792000,78.851395
2015-07-06,80.0,80.940002,80.0,80.830002,1503600,78.851395
2015-07-07,80.970001,81.239998,79.849998,81.07,1747600,79.085518
2015-07-08,80.720001,80.800003,79.980003,80.029999,1615800,78.070975
2015-07-09,81.150002,81.410004,80.650002,80.690002,1587000,78.714823
2015-07-10,81.860001,81.870003,81.080002,81.519997,1371100,79.5245
2015-07-13,81.849998,82.300003,81.639999,81.730003,1337700,79.729366
2015-07-14,81.720001,82.010002,81.480003,81.889999,1387100,79.885446
2015-07-15,81.949997,82.57,81.5,82.5,2390600,80.480514
2015-07-16,82.889999,83.040001,82.32,82.900002,1545800,80.870724
2015-07-17,83.010002,83.010002,82.25,82.389999,1846400,80.373206
2015-07-20,82.260002,82.389999,81.919998,82.169998,1522500,80.15859
2015-07-21,82.18,82.279999,81.129997,81.410004,1964300,79.4172
2015-07-22,81.629997,82.110001,81.459999,81.690002,1529100,79.690344
2015-07-23,81.419998,81.529999,80.720001,80.940002,1368600,78.958703
2015-07-24,81.029999,81.050003,79.669998,79.779999,1935600,77.827095
2015-07-27,79.610001,79.959999,79.220001,79.720001,1649800,77.768566
2015-07-28,79.760002,80.690002,79.410004,80.580002,1540100,78.607515
2015-07-29,80.449997,82.510002,80.379997,82.339996,2744700,80.324427
2015-07-30,80.0,81.980003,78.360001,80.129997,4688100,78.168526
2015-07-31,80.199997,80.550003,79.309998,79.769997,2984000,77.817338
2015-08-03,78.589996,80.129997,78.510002,80.110001,2291300,78.149019
2015-08-04,80.540001,81.389999,80.139999,80.68,2749300,78.705066
2015-08-05,81.779999,82.07,81.0,81.839996,1963200,79.836667
2015-08-06,81.779999,81.879997,80.080002,80.300003,1505400,78.33437
2015-08-07,80.18,80.459999,79.709999,80.290001,1161900,78.324613
2015-08-10,81.010002,81.959999,81.0,81.599998,2032100,79.602544
2015-08-11,81.260002,81.900002,80.75,81.330002,1938400,79.339156
2015-08-12,80.739998,81.699997,80.150002,81.550003,1871300,79.553772
2015-08-13,81.519997,82.989998,81.32,82.449997,2000800,80.431735
2015-08-14,82.160004,83.169998,81.940002,82.989998,2018400,80.958518
2015-08-17,82.82,84.769997,82.580002,84.699997,3366600,82.626658
2015-08-18,84.32,85.150002,84.080002,84.690002,2615300,82.616909
2015-08-19,84.389999,85.209999,84.050003,84.470001,1874300,82.402293
2015-08-20,83.709999,84.010002,82.709999,82.709999,2275400,80.685373
2015-08-21,81.839996,82.330002,79.230003,79.230003,3103900,77.290563
2015-08-24,75.209999,77.779999,64.290001,76.279999,6545600,74.41277
2015-08-25,78.5,78.610001,73.449997,73.519997,3565100,71.720329
2015-08-26,75.620003,77.889999,74.959999,77.800003,4492900,75.895567
2015-08-27,78.32,78.870003,76.470001,78.029999,3004600,76.119933
2015-08-28,77.760002,78.800003,77.75,78.410004,2596700,76.490635
2015-08-31,77.860001,78.400002,77.110001,77.32,2364500,75.427313
2015-09-01,75.459999,76.110001,74.660004,75.099998,2658300,73.261655
2015-09-02,76.449997,77.110001,75.449997,77.089996,2689100,75.20294
2015-09-03,77.099998,78.089996,77.019997,77.550003,1952100,75.651686
2015-09-04,76.239998,76.900002,75.730003,76.150002,1858800,74.285955
2015-09-08,77.339996,78.25,77.019997,78.199997,1764400,76.285769
2015-09-09,78.489998,78.970001,77.330002,77.510002,3022700,76.08944
2015-09-10,77.099998,78.779999,77.080002,77.919998,2214600,76.491921
2015-09-11,77.279999,78.370003,77.209999,78.309998,1508900,76.874773
2015-09-14,78.480003,78.739998,77.57,77.760002,1411300,76.334858
2015-09-15,77.919998,79.290001,77.699997,78.889999,1706300,77.444145
2015-09-16,78.93,79.800003,78.760002,79.589996,1739600,78.131313
2015-09-17,79.68,80.669998,79.209999,79.43,2013100,77.974249
2015-09-18,78.559998,79.989998,78.540001,79.010002,3876400,77.561948
2015-09-21,79.379997,80.379997,79.059998,79.900002,1671200,78.435636
2015-09-22,78.440002,79.309998,78.190002,79.190002,1753100,77.73865
2015-09-23,79.360001,79.779999,78.870003,79.370003,1157600,77.915351
2015-09-24,78.610001,79.870003,78.120003,79.580002,1793900,78.121501
2015-09-25,80.440002,81.470001,79.370003,80.300003,2231800,78.828307
2015-09-28,79.980003,80.43,78.529999,78.620003,1835800,77.179097
2015-09-29,78.559998,79.279999,78.300003,79.089996,2046200,77.640476
2015-09-30,80.139999,80.43,79.290001,80.360001,2674400,78.887205
2015-10-01,80.910004,81.18,80.0,80.889999,2209100,79.40749
2015-10-02,79.800003,81.379997,78.739998,81.360001,2738100,79.868877
2015-10-05,82.199997,83.029999,81.889999,82.699997,1904600,81.184315
2015-10-06,82.459999,82.910004,82.230003,82.440002,1887800,80.929085
2015-10-07,82.589996,83.860001,82.589996,83.650002,1717700,82.116908
2015-10-08,83.559998,85.440002,83.220001,85.120003,2131300,83.559968
2015-10-09,85.360001,85.989998,84.980003,85.239998,2190100,83.677764
2015-10-12,85.029999,85.769997,85.029999,85.68,1045300,84.109702
2015-10-13,85.209999,85.709999,84.870003,85.160004,1402300,83.599236
2015-10-14,85.300003,85.900002,84.940002,85.139999,1227600,83.579598
