Date,Open_NLSN,High_NLSN,Low_NLSN,Close_NLSN,Volume_NLSN,AdjClose_NLSN
2016-02-11,45.5,47.650002,45.200001,47.330002,6772900,46.795138
2016-02-12,47.330002,48.0,46.990002,47.290001,3597900,46.755589
2016-02-16,48.07,48.200001,47.060001,47.990002,2753700,47.447679
2016-02-17,48.220001,48.549999,47.959999,48.41,2622500,47.862931
2016-02-18,48.5,48.509998,47.82,47.849998,1926000,47.309258
2016-02-19,47.529999,48.110001,47.43,48.09,1984200,47.546547
2016-02-22,48.630001,49.470001,48.52,49.450001,2353600,48.891179
2016-02-23,49.240002,49.240002,48.299999,48.720001,2300800,48.169429
2016-02-24,48.380001,49.459999,47.799999,49.450001,2723800,48.891179
2016-02-25,49.450001,49.950001,49.349998,49.66,1659300,49.098805
2016-02-26,49.689999,49.919998,49.240002,49.75,2266100,49.187788
2016-02-29,49.52,51.349998,49.52,50.34,3550000,49.771121
2016-03-01,50.290001,50.869999,50.02,50.599998,3130100,50.308002
2016-03-02,50.34,50.919998,50.279999,50.779999,1903800,50.486963
2016-03-03,50.799999,51.43,50.610001,51.23,1959300,50.934367
2016-03-04,51.189999,51.84,50.990002,51.73,1374400,51.431482
2016-03-07,51.419998,52.07,51.369999,51.860001,1986000,51.560733
2016-03-08,51.560001,51.700001,50.939999,51.119999,2554400,50.825002
2016-03-09,50.799999,51.0,50.450001,50.639999,2950300,50.347772
2016-03-10,50.66,50.919998,50.16,50.389999,2099500,50.099215
2016-03-11,50.73,51.029999,50.310001,50.669998,2045200,50.377598
2016-03-14,50.75,51.209999,50.5,51.029999,1103700,50.735521
2016-03-15,50.860001,51.23,50.5,51.060001,1412700,50.76535
2016-03-16,51.18,52.0,51.07,51.790001,1323200,51.491137
2016-03-17,51.669998,53.029999,51.669998,52.84,4298900,52.535077
2016-03-18,53.029999,53.049999,52.130001,52.27,3171800,51.968367
2016-03-21,52.34,52.34,51.77,52.009998,1521500,51.709865
2016-03-22,51.98,52.200001,51.650002,51.799999,1621600,51.501078
2016-03-23,51.779999,52.169998,51.369999,51.93,1517400,51.630329
2016-03-24,51.619999,52.029999,51.57,52.0,1043900,51.699924
2016-03-28,52.040001,52.419998,51.759998,52.220001,1313500,51.918656
2016-03-29,52.049999,52.439999,51.970001,52.380001,1877900,52.077733
2016-03-30,52.529999,52.84,52.32,52.799999,1672200,52.495307
2016-03-31,52.669998,53.080002,52.57,52.66,1794900,52.356116
2016-04-01,52.490002,53.529999,52.400002,53.450001,2269500,53.141558
2016-04-04,53.330002,53.52,52.490002,53.009998,1868500,52.704094
2016-04-05,52.77,52.77,51.970001,52.330002,3057100,52.028022
2016-04-06,52.380001,52.75,52.25,52.619999,1931900,52.316346
2016-04-07,52.490002,52.900002,52.130001,52.290001,1572800,51.988252
2016-04-08,52.700001,52.790001,52.25,52.509998,1270300,52.20698
2016-04-11,52.650002,52.860001,52.5,52.66,1388800,52.356116
2016-04-12,52.57,53.040001,52.389999,52.900002,1541100,52.594732
2016-04-13,53.279999,53.310001,52.669998,53.189999,1835400,52.883056
2016-04-14,53.299999,53.419998,52.880001,52.959999,1453900,52.654384
2016-04-15,52.869999,53.18,52.540001,52.700001,2571700,52.395886
2016-04-18,52.639999,53.32,52.639999,53.259998,1460100,52.952652
2016-04-19,53.330002,54.049999,53.330002,53.959999,2309300,53.648613
2016-04-20,54.48,54.59,51.759998,52.860001,4090900,52.554962
2016-04-21,52.700001,52.860001,51.82,51.860001,2293000,51.560733
2016-04-22,51.799999,52.09,51.509998,51.919998,1603700,51.620384
2016-04-25,51.91,51.959999,51.470001,51.630001,1386400,51.332061
2016-04-26,51.799999,52.18,51.650002,51.98,1614900,51.680039
2016-04-27,51.68,52.060001,51.150002,51.560001,2326300,51.262465
2016-04-28,51.299999,52.119999,51.240002,51.779999,2335700,51.481193
2016-04-29,51.759998,52.240002,51.630001,52.139999,3366600,51.839116
2016-05-02,52.139999,53.009998,52.009998,52.509998,3084100,52.20698
2016-05-03,52.02,52.169998,51.290001,51.560001,2218300,51.262465
2016-05-04,51.240002,51.68,51.060001,51.330002,2433700,51.033793
2016-05-05,51.380001,51.560001,50.889999,50.98,2712500,50.68581
2016-05-06,50.93,51.290001,50.66,51.279999,1544200,50.984078
2016-05-09,51.279999,51.830002,51.200001,51.700001,1691000,51.401656
2016-05-10,51.849998,52.439999,51.639999,52.389999,1417800,52.087673
2016-05-11,52.389999,52.57,51.950001,52.040001,1266800,51.739695
2016-05-12,52.169998,52.459999,51.970001,52.299999,1002800,51.998193
2016-05-13,52.23,52.549999,52.0,52.060001,1046800,51.75958
2016-05-16,52.080002,52.650002,51.77,52.34,1364900,52.037963
2016-05-17,52.25,52.599998,51.849998,51.990002,1586200,51.689984
2016-05-18,51.810001,52.41,51.639999,51.970001,1132300,51.670099
2016-05-19,51.77,51.93,51.07,51.59,1183200,51.292291
2016-05-20,51.950001,52.549999,51.669998,52.200001,1342000,51.898771
2016-05-23,52.150002,52.400002,51.880001,52.220001,894800,51.918656
2016-05-24,52.540001,53.16,52.259998,53.009998,1202200,52.704094
2016-05-25,53.07,53.209999,52.779999,52.950001,1275000,52.644443
2016-05-26,52.93,53.450001,52.75,53.360001,922900,53.052077
2016-05-27,53.48,53.919998,53.43,53.720001,1235800,53.41
2016-05-31,53.529999,53.549999,53.02,53.389999,1748000,53.389999
2016-06-01,53.299999,53.689999,52.939999,53.59,1198200,53.59
2016-06-02,53.490002,53.75,53.169998,53.720001,917000,53.720001
2016-06-03,53.630001,53.799999,53.400002,53.700001,1180800,53.700001
