Date,Open_PX,High_PX,Low_PX,Close_PX,Volume_PX,AdjClose_PX
2015-11-20,115.669998,116.970001,114.889999,115.050003,1473800,112.711597
2015-11-23,114.989998,115.5,114.410004,114.580002,1085600,112.251149
2015-11-24,114.150002,114.389999,113.260002,114.029999,1422800,111.712325
2015-11-25,113.720001,114.099998,113.07,113.209999,1566200,110.908992
2015-11-27,113.080002,114.260002,112.93,113.910004,889900,111.594769
2015-11-30,113.660004,114.18,112.57,112.800003,2564700,110.507329
2015-12-01,112.25,112.360001,110.169998,112.029999,2185900,109.752975
2015-12-02,111.550003,112.120003,110.220001,110.360001,1739200,108.11692
2015-12-03,110.129997,110.5,107.919998,109.059998,1619700,107.540068
2015-12-04,109.57,110.360001,109.010002,110.279999,1932200,108.743066
2015-12-07,109.660004,110.120003,109.089996,109.559998,1149100,108.033099
2015-12-08,108.190002,109.160004,106.589996,106.720001,2107300,105.232683
2015-12-09,106.93,108.139999,106.620003,107.059998,1865100,105.567941
2015-12-10,106.459999,107.559998,106.279999,106.68,1510600,105.19324
2015-12-11,104.940002,106.050003,104.940002,105.300003,1939300,103.832475
2015-12-14,105.160004,105.550003,104.029999,104.720001,1595400,103.260556
2015-12-15,105.5,106.5,105.25,105.809998,1446800,104.335362
2015-12-16,106.620003,107.080002,104.559998,105.989998,1670200,104.512854
2015-12-17,106.269997,106.510002,102.870003,102.919998,1730100,101.485639
2015-12-18,102.330002,102.669998,101.470001,101.519997,2015100,100.105149
2015-12-21,102.040001,102.589996,101.300003,102.120003,1703000,100.696793
2015-12-22,102.550003,103.540001,102.019997,102.809998,1553800,101.377172
2015-12-23,103.580002,105.0,103.389999,104.739998,1655900,103.280274
2015-12-24,104.379997,104.849998,104.139999,104.510002,493100,103.053484
2015-12-28,104.019997,104.099998,103.220001,103.779999,644100,102.333654
2015-12-29,104.669998,104.839996,104.029999,104.400002,637900,102.945016
2015-12-30,104.160004,104.32,103.18,103.18,1261600,101.742018
2015-12-31,102.800003,103.709999,102.279999,102.400002,930900,100.97289
2016-01-04,101.029999,101.769997,100.519997,101.669998,1853500,100.25306
2016-01-05,102.510002,102.529999,99.959999,101.32,1589200,99.907939
2016-01-06,99.830002,101.389999,99.639999,100.300003,1885300,98.902158
