Date,Open_WYN,High_WYN,Low_WYN,Close_WYN,Volume_WYN,AdjClose_WYN
2016-02-01,64.580002,65.550003,64.209999,65.050003,1669600,64.128396
2016-02-02,64.050003,64.629997,62.419998,62.630001,1558800,61.74268
2016-02-03,63.240002,63.57,61.82,63.419998,1731800,62.521485
2016-02-04,63.299999,64.910004,63.220001,64.599998,1344400,63.684767
2016-02-05,64.519997,64.779999,62.619999,62.700001,1654500,61.811688
2016-02-08,61.91,62.310001,60.59,61.630001,2523900,60.756848
2016-02-09,63.32,64.769997,62.009998,63.209999,3957100,62.314461
2016-02-10,63.860001,65.279999,63.209999,64.660004,2247800,63.743922
2016-02-11,63.59,64.879997,63.18,63.669998,1468600,62.767943
2016-02-12,64.349998,65.669998,63.529999,65.589996,1390000,64.660739
2016-02-16,66.610001,67.660004,66.190002,67.080002,1563000,66.129635
2016-02-17,68.040001,69.639999,67.809998,68.940002,1811300,67.963283
2016-02-18,68.93,69.199997,67.43,68.709999,1356500,67.736539
2016-02-19,68.290001,69.349998,68.129997,69.169998,1002300,68.190021
2016-02-22,69.900002,70.690002,69.900002,70.639999,1110400,69.639195
2016-02-23,70.550003,71.129997,70.019997,70.260002,1721400,69.264582
2016-02-24,69.18,70.830002,68.400002,70.68,1256500,69.67863
2016-02-25,71.029999,71.669998,70.589996,71.650002,1345000,70.634888
2016-02-26,72.699997,73.239998,72.050003,72.580002,1101000,71.551713
2016-02-29,72.43,73.480003,72.160004,72.839996,1771200,71.808024
2016-03-01,73.660004,74.889999,73.25,74.669998,1454400,73.612099
2016-03-02,74.489998,75.660004,74.349998,75.029999,1719300,73.966999
2016-03-03,75.029999,75.720001,74.809998,75.610001,1207100,74.538783
2016-03-04,75.739998,76.699997,75.669998,76.040001,1238200,74.962692
2016-03-07,75.860001,76.830002,75.580002,76.239998,1425000,75.159855
2016-03-08,75.690002,75.900002,74.279999,74.360001,1394700,73.306493
2016-03-09,74.43,74.519997,73.599998,74.040001,886400,73.485143
2016-03-10,74.360001,75.110001,72.889999,74.0,1085100,73.445442
2016-03-11,74.879997,76.599998,74.489998,76.519997,1133900,75.946553
2016-03-14,76.760002,77.379997,76.139999,76.449997,1079300,75.877078
2016-03-15,76.019997,76.629997,75.809998,76.089996,1070800,75.519775
2016-03-16,75.690002,77.400002,75.550003,77.260002,1189500,76.681013
2016-03-17,76.940002,79.260002,76.870003,79.050003,2173500,78.4576
2016-03-18,79.709999,81.080002,79.480003,80.790001,2954900,80.184558
2016-03-21,79.0,79.599998,75.089996,77.07,4769100,76.492435
2016-03-22,76.349998,76.690002,75.290001,76.150002,1890900,75.579331
2016-03-23,76.120003,76.120003,74.389999,74.730003,1321800,74.169974
2016-03-24,74.0,75.209999,73.419998,74.959999,966700,74.398246
2016-03-28,75.040001,75.489998,74.25,74.650002,1211900,74.090572
2016-03-29,74.629997,75.209999,74.129997,74.940002,999100,74.3784
2016-03-30,75.650002,76.5,75.230003,76.410004,1247600,75.837385
2016-03-31,76.209999,77.349998,75.839996,76.43,1337400,75.857231
2016-04-01,75.639999,76.129997,74.599998,75.389999,1370900,74.825024
2016-04-04,75.360001,75.860001,75.07,75.419998,1181300,74.854798
2016-04-05,75.040001,75.279999,74.580002,74.919998,924200,74.358545
2016-04-06,74.919998,75.510002,74.32,75.5,1345800,74.934201
2016-04-07,75.25,75.75,74.150002,74.849998,1365300,74.28907
2016-04-08,75.290001,75.910004,74.879997,75.5,921000,74.934201
2016-04-11,76.0,77.489998,75.709999,76.440002,1925700,75.867159
2016-04-12,76.410004,77.169998,76.269997,76.860001,982700,76.284009
2016-04-13,77.290001,78.139999,76.910004,78.0,962800,77.415465
2016-04-14,78.190002,78.370003,77.43,77.800003,546700,77.216967
2016-04-15,78.07,78.269997,77.610001,77.720001,854100,77.137565
2016-04-18,77.309998,77.5,76.739998,77.040001,1079700,76.462661
2016-04-19,77.110001,77.959999,76.720001,77.290001,608600,76.710787
2016-04-20,77.519997,78.050003,77.029999,77.669998,743900,77.087937
2016-04-21,77.660004,78.379997,77.150002,77.480003,730800,76.899366
2016-04-22,77.419998,77.699997,76.0,76.169998,1101700,75.599178
2016-04-25,76.139999,76.480003,75.699997,76.07,1772500,75.499929
2016-04-26,71.230003,73.629997,70.110001,70.389999,5412000,69.862494
2016-04-27,70.699997,72.75,70.330002,72.540001,2288000,71.996384
2016-04-28,71.790001,73.110001,71.440002,71.620003,1514400,71.08328
2016-04-29,71.739998,71.949997,70.0,70.949997,1729100,70.418295
2016-05-02,71.459999,71.580002,70.650002,70.93,1135100,70.398449
2016-05-03,70.559998,71.18,70.019997,70.949997,1267500,70.418295
2016-05-04,70.43,70.940002,69.699997,69.949997,1171300,69.425789
2016-05-05,69.949997,70.800003,69.669998,70.480003,1760200,69.951824
2016-05-06,70.300003,70.589996,69.540001,70.18,826000,69.654069
2016-05-09,70.389999,70.559998,69.699997,70.290001,983400,69.763245
2016-05-10,70.330002,71.75,69.940002,71.720001,938700,71.182529
2016-05-11,71.349998,71.519997,69.0,69.209999,1860500,68.691337
2016-05-12,69.709999,69.879997,68.32,69.129997,1564800,68.611935
2016-05-13,68.809998,69.110001,67.260002,67.349998,1693300,66.845275
2016-05-16,67.440002,68.540001,67.339996,68.309998,929600,67.79808
2016-05-17,68.239998,69.440002,68.029999,68.639999,1472600,68.125609
2016-05-18,68.370003,68.989998,67.209999,67.660004,1034800,67.152957
2016-05-19,66.870003,67.190002,66.190002,66.760002,1246500,66.259701
2016-05-20,67.089996,67.370003,66.419998,66.529999,1218600,66.031421
2016-05-23,66.519997,66.650002,66.010002,66.370003,1051800,65.872624
2016-05-24,66.739998,67.169998,66.400002,66.720001,953400,66.219999
2016-05-25,66.540001,67.589996,66.150002,67.519997,1606800,67.519997
2016-05-26,67.519997,67.650002,66.540001,66.620003,1138200,66.620003
2016-05-27,66.599998,67.650002,66.480003,67.470001,850800,67.470001
2016-05-31,67.5,67.68,67.059998,67.389999,1217600,67.389999
2016-06-01,67.040001,67.68,66.760002,67.550003,893100,67.550003
2016-06-02,67.43,68.940002,67.209999,68.540001,1591100,68.540001
2016-06-03,68.290001,68.449997,66.860001,67.489998,1219700,67.489998
