Date,Open_HON,High_HON,Low_HON,Close_HON,Volume_HON,AdjClose_HON
2014-07-09,94.620003,94.870003,93.949997,94.540001,1883400,90.696543
2014-07-10,93.489998,94.540001,93.269997,94.279999,2780800,90.447111
2014-07-11,94.230003,94.980003,94.080002,94.900002,2536900,91.041908
2014-07-14,95.370003,95.860001,95.089996,95.739998,3118900,91.847755
2014-07-15,95.559998,96.269997,95.379997,95.959999,4025900,92.058812
2014-07-16,96.449997,96.760002,96.190002,96.389999,3166000,92.471331
2014-07-17,95.389999,96.349998,95.160004,95.169998,3776600,91.300928
2014-07-18,96.300003,97.279999,95.650002,96.82,4488000,92.88385
2014-07-21,96.699997,97.5,96.290001,97.339996,3741400,93.382707
2014-07-22,97.93,98.089996,96.769997,97.190002,3836900,93.238811
2014-07-23,97.75,97.800003,96.589996,96.599998,3170000,92.672793
2014-07-24,96.589996,96.800003,95.919998,96.010002,2193600,92.106783
2014-07-25,95.82,96.230003,95.650002,95.760002,2245800,91.866946
2014-07-28,95.830002,96.0,94.360001,95.169998,3307600,91.300928
2014-07-29,95.099998,95.370003,93.690002,93.779999,3487000,89.967438
2014-07-30,94.830002,94.830002,93.339996,94.07,2636800,90.24565
2014-07-31,93.309998,93.440002,91.830002,91.830002,4108500,88.096717
2014-08-01,91.75,92.300003,90.940002,91.57,4633300,87.847285
2014-08-04,92.860001,92.860001,90.75,91.360001,3324700,87.645824
2014-08-05,90.860001,92.279999,90.589996,91.239998,4288200,87.530699
2014-08-06,90.360001,91.010002,90.18,90.559998,3886700,86.878344
2014-08-07,90.989998,91.400002,90.589996,90.959999,3588700,87.262084
2014-08-08,91.110001,92.790001,90.879997,92.709999,2923800,88.940939
2014-08-11,93.0,93.839996,92.959999,93.160004,2812000,89.372649
2014-08-12,92.82,93.540001,92.550003,92.910004,2197300,89.132812
2014-08-13,93.279999,94.349998,93.080002,94.269997,2236500,90.437516
2014-08-14,94.470001,94.769997,94.269997,94.389999,1957400,90.55264
2014-08-15,94.489998,94.779999,93.5,94.230003,3457900,90.399148
2014-08-18,94.620003,95.400002,94.589996,95.260002,2831300,91.387273
2014-08-19,95.07,95.150002,94.669998,94.720001,2393800,91.300522
2014-08-20,95.040001,95.980003,94.589996,95.769997,2572200,92.312611
2014-08-21,95.980003,96.330002,95.540001,95.940002,1511900,92.47648
2014-08-22,95.739998,95.889999,95.25,95.559998,1449500,92.110193
2014-08-25,96.040001,96.169998,95.709999,95.809998,1185700,92.351168
2014-08-26,95.889999,96.040001,95.459999,95.510002,1522500,92.062003
2014-08-27,95.75,95.889999,95.279999,95.57,1303900,92.119834
2014-08-28,95.139999,95.400002,94.699997,95.300003,945800,91.859585
2014-08-29,95.349998,95.57,94.830002,95.230003,1170600,91.792112
2014-09-02,95.18,95.790001,95.059998,95.5,1672800,92.052362
2014-09-03,95.860001,95.949997,95.260002,95.459999,1342000,92.013805
2014-09-04,95.480003,96.019997,94.82,94.989998,2521500,91.560771
2014-09-05,94.989998,95.809998,94.5,95.610001,1923400,92.158391
2014-09-08,95.540001,95.629997,94.980003,95.239998,2022000,91.801746
2014-09-09,95.040001,95.279999,94.330002,94.459999,2240500,91.049906
2014-09-10,94.330002,94.610001,93.800003,94.360001,2497100,90.953517
2014-09-11,94.129997,94.790001,93.940002,94.739998,1529900,91.319796
2014-09-12,94.760002,94.980003,94.269997,94.5,3024500,91.088463
2014-09-15,94.309998,94.830002,93.769997,94.650002,2711600,91.233049
2014-09-16,94.470001,95.019997,93.889999,94.860001,2237700,91.435467
2014-09-17,95.160004,95.980003,94.900002,95.540001,3133700,92.090919
2014-09-18,96.0,96.5,95.669998,96.389999,2636200,92.910231
2014-09-19,96.720001,96.93,96.239998,96.5,5388900,93.016261
