Date,Open_ABC,High_ABC,Low_ABC,Close_ABC,Volume_ABC,AdjClose_ABC
2014-10-28,79.980003,79.989998,78.940002,79.650002,2253400,77.805219
2014-10-29,79.580002,80.190002,79.260002,79.739998,2529800,77.893131
2014-10-30,81.68,85.120003,81.68,84.839996,5081200,82.875008
2014-10-31,85.059998,85.989998,84.769997,85.410004,3248200,83.431813
2014-11-03,85.809998,86.959999,85.580002,86.900002,2569200,84.887301
2014-11-04,86.629997,88.220001,86.5,88.190002,2796600,86.147424
2014-11-05,88.830002,89.230003,87.610001,87.809998,2050300,85.77622
2014-11-06,87.959999,88.110001,86.82,87.400002,2317200,85.37572
2014-11-07,87.800003,87.800003,86.489998,86.730003,2199300,84.72124
2014-11-10,87.019997,87.860001,86.519997,87.709999,1297200,85.678538
2014-11-11,87.709999,88.440002,87.639999,87.93,1214500,85.893444
2014-11-12,87.949997,88.779999,87.540001,88.709999,1323400,86.655377
2014-11-13,88.540001,89.480003,88.540001,89.080002,1563500,87.30221
2014-11-14,88.870003,89.239998,88.339996,88.830002,1635000,87.0572
2014-11-17,88.830002,89.699997,88.57,89.010002,1624500,87.233608
2014-11-18,89.0,89.970001,88.669998,89.760002,1611200,87.96864
2014-11-19,89.440002,89.940002,88.889999,89.32,2207300,87.537419
2014-11-20,89.190002,89.309998,88.339996,88.900002,1411700,87.125802
2014-11-21,89.0,89.029999,88.099998,88.739998,1635700,86.968992
2014-11-24,89.209999,90.099998,89.209999,90.040001,1309500,88.243051
2014-11-25,90.040001,90.449997,89.510002,90.32,1205400,88.517461
2014-11-26,90.220001,90.800003,89.5,90.089996,974900,88.292048
2014-11-28,90.489998,91.589996,90.459999,91.050003,758300,89.232896
2014-12-01,90.639999,91.400002,90.279999,90.839996,1586400,89.02708
2014-12-02,90.93,92.510002,90.870003,92.040001,1769800,90.203136
2014-12-03,91.989998,92.389999,91.720001,91.989998,1533000,90.154131
2014-12-04,91.870003,92.650002,91.68,91.949997,1444900,90.114928
2014-12-05,92.379997,92.559998,91.860001,92.209999,740100,90.369742
2014-12-08,92.010002,92.839996,91.970001,92.559998,1507400,90.712755
2014-12-09,91.449997,92.25,90.769997,92.089996,1409100,90.252134
2014-12-10,91.919998,92.279999,90.809998,90.919998,1242800,89.105486
2014-12-11,91.93,92.839996,91.519997,92.550003,1767700,90.70296
2014-12-12,91.879997,92.529999,90.919998,90.980003,1691500,89.164293
2014-12-15,91.550003,91.720001,89.980003,90.690002,2351700,88.88008
2014-12-16,90.190002,91.150002,89.260002,89.43,2243400,87.645224
2014-12-17,89.82,91.019997,89.489998,90.559998,1956700,88.75267
2014-12-18,91.120003,91.389999,90.43,91.279999,2160700,89.458302
2014-12-19,92.040001,92.559998,91.120003,91.68,2886900,89.85032
2014-12-22,92.260002,92.559998,91.480003,91.940002,1566900,90.105133
2014-12-23,92.400002,92.650002,90.690002,91.419998,1175800,89.595507
2014-12-24,91.650002,92.260002,91.459999,91.599998,432100,89.771915
2014-12-26,91.540001,92.209999,91.300003,91.510002,393300,89.683715
2014-12-29,91.260002,91.889999,91.18,91.629997,752400,89.801315
2014-12-30,91.470001,91.669998,91.080002,91.279999,1088600,89.458302
2014-12-31,91.57,91.93,90.089996,90.160004,979000,88.360658
