Date,Open_AKAM,High_AKAM,Low_AKAM,Close_AKAM,Volume_AKAM,AdjClose_AKAM
2016-05-11,51.77,51.860001,50.580002,50.720001,1324700,50.720001
2016-05-12,51.0,51.740002,50.5,51.119999,1652600,51.119999
2016-05-13,50.93,51.380001,50.279999,50.490002,1501000,50.490002
2016-05-16,50.490002,51.68,50.360001,51.360001,1280700,51.360001
2016-05-17,51.200001,51.75,50.709999,50.970001,1220900,50.970001
2016-05-18,51.029999,51.400002,50.439999,50.970001,861700,50.970001
2016-05-19,50.68,51.290001,50.060001,50.68,837100,50.68
2016-05-20,51.049999,51.990002,50.950001,51.73,1584900,51.73
2016-05-23,51.610001,51.869999,50.799999,51.290001,1584500,51.290001
2016-05-24,51.32,52.91,51.0,52.700001,1182300,52.700001
2016-05-25,52.869999,53.810001,52.709999,52.860001,1142000,52.860001
2016-05-26,52.759998,54.169998,52.619999,53.98,2334000,53.98
2016-05-27,54.0,54.5,53.639999,54.200001,1166300,54.200001
2016-05-31,54.419998,54.779999,54.18,54.580002,1256500,54.580002
2016-06-01,54.009998,54.619999,53.73,54.419998,1239800,54.419998
2016-06-02,54.099998,54.970001,54.099998,54.900002,707400,54.900002
2016-06-03,54.459999,54.580002,52.990002,53.549999,1280200,53.549999
