Date,Open_ANTM,High_ANTM,Low_ANTM,Close_ANTM,Volume_ANTM,AdjClose_ANTM
2016-01-26,138.529999,139.710007,136.589996,137.759995,1879300,137.087741
2016-01-27,134.839996,136.100006,129.75,131.229996,3647100,130.589608
2016-01-28,131.089996,133.080002,126.419998,126.419998,3195100,125.803082
2016-01-29,127.779999,130.529999,127.089996,130.490005,2383600,129.853228
2016-02-01,131.619995,132.440002,129.229996,129.720001,1704000,129.086982
2016-02-02,129.169998,129.889999,125.779999,127.010002,2251800,126.390207
2016-02-03,127.620003,127.699997,123.480003,126.830002,2661200,126.211085
2016-02-04,126.0,127.489998,122.779999,126.639999,2299100,126.02201
2016-02-05,126.629997,127.089996,122.769997,123.379997,1366100,122.777916
2016-02-08,122.099998,122.5,115.629997,117.220001,3280100,116.64798
2016-02-09,117.050003,121.75,115.739998,119.82,2791800,119.235291
2016-02-10,120.510002,123.160004,119.760002,121.470001,1074300,120.877241
2016-02-11,119.800003,121.150002,118.82,119.980003,1929300,119.394514
2016-02-12,120.519997,121.610001,119.769997,121.550003,1102300,120.956852
2016-02-16,122.370003,124.970001,122.169998,124.830002,1439600,124.220845
2016-02-17,125.0,127.709999,124.800003,127.559998,1441800,126.937519
2016-02-18,127.660004,129.490005,127.529999,128.020004,1415700,127.39528
2016-02-19,127.580002,129.130005,126.540001,127.230003,1359000,126.609135
2016-02-22,128.119995,132.479996,128.0,132.169998,1734500,131.525023
2016-02-23,131.899994,133.880005,130.809998,131.270004,1519900,130.629421
2016-02-24,130.940002,131.070007,128.949997,130.75,1121800,130.111954
2016-02-25,130.630005,132.240005,129.919998,132.229996,1316800,131.584728
2016-02-26,132.550003,133.850006,131.880005,132.5,1325600,131.853414
2016-02-29,131.860001,133.619995,130.679993,130.690002,1476200,130.052249
2016-03-01,131.869995,132.169998,130.339996,131.800003,1576000,131.156833
2016-03-02,132.059998,134.119995,131.220001,134.089996,1569100,133.435652
2016-03-03,133.25,133.5,130.25,132.970001,1524900,132.321122
2016-03-04,132.419998,132.880005,131.100006,132.350006,1286500,131.704152
2016-03-07,131.089996,133.240005,130.699997,133.199997,1124700,132.549995
2016-03-08,131.699997,133.979996,131.610001,132.479996,1241700,132.479996
2016-03-09,133.130005,134.759995,132.300003,134.539993,1240200,134.539993
2016-03-10,135.410004,139.600006,134.649994,137.809998,2099700,137.809998
2016-03-11,138.399994,143.210007,138.369995,143.100006,1988700,143.100006
2016-03-14,142.669998,144.690002,141.75,144.169998,1698700,144.169998
2016-03-15,142.899994,143.880005,141.699997,142.309998,1507700,142.309998
2016-03-16,142.309998,144.0,141.509995,143.509995,1355400,143.509995
2016-03-17,143.669998,144.0,138.860001,140.350006,1609300,140.350006
2016-03-18,140.839996,144.110001,140.529999,142.679993,1748000,142.679993
2016-03-21,142.029999,142.350006,138.479996,140.0,1216700,140.0
2016-03-22,139.5,141.649994,138.949997,140.869995,1557500,140.869995
2016-03-23,141.740005,141.860001,139.039993,139.5,1647600,139.5
2016-03-24,138.570007,140.0,137.869995,139.970001,1273800,139.970001
2016-03-28,139.940002,140.789993,138.979996,139.559998,922700,139.559998
2016-03-29,139.770004,140.559998,138.600006,140.279999,1486700,140.279999
2016-03-30,141.029999,141.410004,139.75,139.970001,984400,139.970001
2016-03-31,139.610001,140.300003,137.649994,138.990005,1369100,138.990005
2016-04-01,138.539993,141.910004,137.830002,141.850006,1632900,141.850006
2016-04-04,141.789993,147.429993,141.289993,147.259995,3195100,147.259995
2016-04-05,144.809998,145.880005,143.139999,143.339996,2110400,143.339996
2016-04-06,143.320007,144.990005,142.910004,144.869995,2447600,144.869995
2016-04-07,143.669998,144.570007,142.5,143.419998,1522600,143.419998
2016-04-08,144.369995,144.990005,142.529999,143.740005,1516600,143.740005
2016-04-11,144.320007,145.0,140.720001,140.899994,1174200,140.899994
2016-04-12,141.070007,143.440002,140.830002,142.869995,1137600,142.869995
2016-04-13,143.580002,144.919998,142.5,143.550003,1145400,143.550003
2016-04-14,143.160004,143.720001,141.5,143.210007,1397700,143.210007
2016-04-15,143.050003,143.25,141.850006,142.910004,1418600,142.910004
2016-04-18,142.779999,143.100006,142.050003,142.589996,1137300,142.589996
2016-04-19,143.759995,144.580002,142.740005,144.399994,1723900,144.399994
2016-04-20,144.509995,146.300003,143.419998,145.520004,1608100,145.520004
2016-04-21,145.270004,146.5,144.820007,145.910004,1262500,145.910004
2016-04-22,146.399994,147.990005,146.0,147.520004,1228600,147.520004
2016-04-25,146.839996,148.0,145.149994,146.089996,1247400,146.089996
2016-04-26,145.520004,147.179993,145.289993,147.070007,1590000,147.070007
2016-04-27,146.149994,146.820007,140.990005,144.759995,2516400,144.759995
2016-04-28,145.050003,146.399994,143.610001,144.0,1328000,144.0
2016-04-29,142.679993,142.679993,139.330002,140.770004,1577500,140.770004
2016-05-02,141.679993,142.0,139.720001,140.479996,1606400,140.479996
2016-05-03,139.899994,142.330002,139.899994,141.419998,1229700,141.419998
2016-05-04,138.509995,139.270004,136.75,138.729996,2639100,138.729996
2016-05-05,138.729996,139.529999,136.460007,137.070007,1710100,137.070007
2016-05-06,136.789993,138.550003,135.850006,137.25,1286200,137.25
2016-05-09,136.960007,138.729996,136.649994,138.440002,1172400,138.440002
2016-05-10,138.789993,140.410004,138.5,140.160004,1037400,140.160004
2016-05-11,140.029999,141.75,139.419998,139.570007,1748500,139.570007
2016-05-12,139.839996,140.199997,135.149994,136.080002,2176600,136.080002
2016-05-13,136.179993,137.199997,134.770004,135.509995,1381700,135.509995
2016-05-16,135.410004,137.449997,134.839996,137.229996,982200,137.229996
2016-05-17,137.850006,137.850006,134.860001,136.210007,1353600,136.210007
2016-05-18,136.179993,137.240005,134.960007,136.080002,968700,136.080002
2016-05-19,135.380005,137.009995,133.380005,133.789993,1353200,133.789993
2016-05-20,134.619995,135.990005,133.820007,135.729996,1050600,135.729996
2016-05-23,134.699997,135.110001,132.910004,133.179993,2198100,133.179993
2016-05-24,133.039993,134.210007,128.389999,128.479996,5836200,128.479996
2016-05-25,129.199997,131.380005,128.759995,130.960007,4254900,130.960007
2016-05-26,131.460007,131.539993,129.270004,129.610001,1645100,129.610001
2016-05-27,130.100006,131.009995,129.5,130.699997,1575200,130.699997
2016-05-31,131.25,132.490005,130.440002,132.160004,2258400,132.160004
2016-06-01,132.160004,133.160004,131.059998,132.509995,1859400,132.509995
2016-06-02,132.740005,133.410004,132.199997,133.289993,1462400,133.289993
2016-06-03,132.410004,132.910004,131.0,131.839996,1286000,131.839996
