Date,Open_PG,High_PG,Low_PG,Close_PG,Volume_PG,AdjClose_PG
2015-04-10,82.800003,83.629997,82.720001,83.349998,7001700,79.925737
2015-04-13,83.0,83.949997,82.940002,83.43,8290500,80.002452
2015-04-14,83.389999,83.879997,83.050003,83.599998,6792600,80.165467
2015-04-15,83.849998,84.199997,83.480003,83.510002,7006400,80.079168
2015-04-16,83.559998,84.07,83.349998,83.5,7615900,80.069576
2015-04-17,83.0,83.220001,82.029999,82.529999,9533800,79.139426
2015-04-20,83.089996,83.980003,82.800003,82.870003,7416000,79.465461
2015-04-21,83.389999,83.800003,82.900002,83.080002,7696400,79.666833
2015-04-22,83.220001,83.339996,82.599998,83.089996,6753100,79.676417
2015-04-23,81.419998,82.099998,80.900002,80.949997,14569500,78.248704
2015-04-24,81.040001,81.529999,80.900002,81.0,8785500,78.297038
2015-04-27,80.910004,81.199997,80.470001,80.599998,9192300,77.910385
2015-04-28,80.730003,80.82,80.190002,80.419998,8395500,77.736391
2015-04-29,80.0,80.309998,79.720001,79.849998,11858500,77.185412
2015-04-30,79.949997,80.150002,79.07,79.510002,9409300,76.856761
2015-05-01,79.760002,80.32,79.629997,80.290001,8193000,77.610732
2015-05-04,80.480003,80.970001,80.300003,80.349998,7203800,77.668727
2015-05-05,80.5,80.650002,79.779999,80.07,6589400,77.398072
2015-05-06,80.339996,80.580002,79.519997,80.400002,7335700,77.717062
2015-05-07,80.370003,80.550003,80.0,80.199997,7224300,77.523731
2015-05-08,80.889999,81.209999,80.82,80.959999,6929400,78.258372
2015-05-11,80.949997,80.989998,80.260002,80.269997,5237800,77.591395
2015-05-12,80.029999,80.290001,79.360001,79.949997,6305800,77.282074
2015-05-13,80.160004,80.589996,79.550003,79.699997,6459900,77.040416
2015-05-14,80.110001,80.690002,80.089996,80.57,5634200,77.881387
2015-05-15,80.830002,81.120003,80.730003,81.050003,7454800,78.345373
2015-05-18,80.970001,81.129997,80.5,80.739998,5590800,78.045712
2015-05-19,80.75,80.949997,80.330002,80.830002,5729500,78.132713
2015-05-20,80.93,81.0,80.449997,80.480003,5487000,77.794394
2015-05-21,80.169998,80.580002,79.839996,80.410004,6054700,77.72673
2015-05-22,80.239998,80.400002,79.919998,79.949997,6003600,77.282074
2015-05-26,79.970001,80.07,78.940002,79.139999,6698300,76.499106
2015-05-27,79.220001,79.940002,79.089996,79.389999,8094600,76.740763
2015-05-28,79.43,79.449997,79.019997,79.330002,5803400,76.682768
2015-05-29,79.18,79.239998,78.190002,78.389999,12551700,75.774133
2015-06-01,78.650002,79.07,78.269997,78.849998,7588000,76.218782
2015-06-02,78.459999,78.720001,78.169998,78.540001,7380800,75.919129
2015-06-03,78.910004,78.93,78.269997,78.559998,5985800,75.938458
2015-06-04,78.410004,78.839996,78.059998,78.150002,7714600,75.542144
2015-06-05,78.040001,78.120003,77.370003,77.43,9439700,74.846169
2015-06-08,77.480003,77.980003,77.099998,77.709999,10916200,75.116824
2015-06-09,77.970001,79.330002,77.82,78.900002,11528900,76.267116
2015-06-10,79.230003,79.790001,79.010002,79.540001,9483500,76.885759
2015-06-11,79.93,79.93,79.239998,79.410004,7633300,76.7601
2015-06-12,79.169998,79.32,78.57,78.870003,6508600,76.238119
2015-06-15,78.330002,78.459999,77.93,78.120003,7527900,75.513146
2015-06-16,79.599998,79.599998,78.540001,79.099998,8285700,76.46044
2015-06-17,79.199997,80.190002,79.160004,80.080002,9305800,77.40774
2015-06-18,80.330002,81.220001,80.300003,80.82,10712500,78.123044
2015-06-19,80.709999,81.199997,80.480003,80.540001,15598800,77.852389
2015-06-22,80.919998,81.18,80.330002,80.449997,6907900,77.765389
2015-06-23,80.330002,80.449997,79.620003,79.790001,7190600,77.127417
2015-06-24,79.800003,79.849998,79.5,79.510002,8843700,76.856761
2015-06-25,79.709999,79.900002,79.389999,79.389999,5855700,76.740763
2015-06-26,79.540001,79.739998,79.279999,79.339996,7703200,76.692429
2015-06-29,78.949997,79.370003,78.260002,78.32,7966200,75.706469
2015-06-30,78.919998,79.010002,78.129997,78.239998,8451400,75.629137
2015-07-01,78.389999,79.769997,78.120003,79.720001,8868000,77.059753
2015-07-02,80.010002,80.349998,79.769997,79.93,6602500,77.262744
2015-07-06,79.610001,80.220001,79.5,80.050003,6601200,77.378743
2015-07-07,80.059998,81.830002,80.059998,81.720001,11690400,78.993013
