Date,Open_MSI,High_MSI,Low_MSI,Close_MSI,Volume_MSI,AdjClose_MSI
2014-01-07,65.919998,66.480003,65.739998,66.190002,1010300,62.709997
2014-01-08,66.239998,66.339996,65.800003,65.989998,900700,62.520507
2014-01-09,66.160004,66.660004,66.080002,66.5,954600,63.003696
2014-01-10,66.68,66.690002,65.889999,66.150002,2491200,62.672099
2014-01-13,66.160004,66.739998,65.32,65.489998,1224100,62.046795
2014-01-14,65.82,66.440002,65.760002,66.349998,836400,62.861581
2014-01-15,66.389999,66.480003,65.540001,65.620003,1992000,62.169965
2014-01-16,65.699997,65.980003,65.529999,65.809998,1012100,62.349971
2014-01-17,66.169998,66.669998,65.910004,66.099998,1907000,62.624725
2014-01-21,66.889999,67.690002,66.769997,67.110001,2300600,63.581625
2014-01-22,63.84,65.669998,62.68,64.510002,4388000,61.118324
2014-01-23,64.68,65.419998,64.559998,65.339996,2821300,61.90468
2014-01-24,65.160004,65.160004,64.419998,64.419998,1698800,61.033052
2014-01-27,64.540001,64.879997,64.129997,64.43,987800,61.042528
2014-01-28,64.440002,64.730003,64.110001,64.339996,1431500,60.957256
2014-01-29,63.990002,64.639999,63.77,63.98,1474300,60.616187
2014-01-30,64.730003,65.199997,64.550003,64.910004,1178200,61.497295
2014-01-31,64.120003,64.330002,63.740002,63.799999,2110700,60.44565
2014-02-03,63.900002,63.98,62.669998,62.720001,1394300,59.422434
2014-02-04,63.0,63.310001,62.619999,62.990002,916500,59.678239
2014-02-05,62.91,63.110001,62.5,62.889999,1118000,59.583494
2014-02-06,63.099998,63.470001,63.009998,63.400002,862700,60.066683
2014-02-07,63.599998,64.620003,63.43,64.599998,1290100,61.203589
2014-02-10,64.589996,65.129997,64.32,65.080002,1096100,61.658355
2014-02-11,65.190002,65.400002,64.779999,65.029999,1200700,61.610981
2014-02-12,65.07,65.849998,65.07,65.779999,1086600,62.321549
2014-02-13,65.309998,65.809998,65.309998,65.669998,639200,62.217332
2014-02-14,65.68,65.809998,65.529999,65.610001,592200,62.160489
2014-02-18,65.790001,65.989998,65.559998,65.779999,690000,62.321549
2014-02-19,65.589996,65.760002,64.919998,64.93,826100,61.51624
2014-02-20,64.989998,65.279999,64.589996,65.220001,994900,61.790994
2014-02-21,65.550003,65.82,65.0,65.019997,797900,61.601505
2014-02-24,64.949997,65.550003,64.839996,64.959999,766000,61.544662
2014-02-25,65.010002,65.529999,64.889999,65.099998,795700,61.677301
2014-02-26,65.139999,65.540001,64.669998,65.449997,957000,62.008898
2014-02-27,65.190002,65.910004,65.019997,65.900002,853400,62.435243
2014-02-28,65.93,66.339996,65.769997,66.199997,2038200,62.719466
2014-03-03,65.800003,66.120003,65.389999,65.980003,896700,62.511038
2014-03-04,66.32,67.5,66.290001,66.760002,1632000,63.250028
2014-03-05,66.589996,66.739998,66.18,66.330002,821800,62.842635
2014-03-06,66.400002,66.790001,66.32,66.57,687200,63.070015
2014-03-07,66.699997,66.949997,66.440002,66.639999,628800,63.136334
