Date,Open_UNP,High_UNP,Low_UNP,Close_UNP,Volume_UNP,AdjClose_UNP
2016-05-03,87.169998,87.339996,85.68,86.769997,4164300,86.194391
2016-05-04,85.93,87.019997,85.330002,85.639999,3532900,85.071889
2016-05-05,86.129997,86.559998,85.089996,85.190002,4425800,84.624878
2016-05-06,84.559998,86.269997,84.5,85.730003,4009800,85.161296
2016-05-09,85.660004,85.660004,84.139999,84.629997,4154700,84.068587
2016-05-10,85.279999,86.739998,84.860001,86.099998,3341200,85.528837
2016-05-11,86.099998,86.400002,84.480003,84.489998,4343600,83.929517
2016-05-12,84.849998,85.290001,83.68,83.839996,4178300,83.283827
2016-05-13,83.529999,83.839996,81.790001,82.0,4463300,81.456037
2016-05-16,82.089996,82.949997,81.879997,82.019997,4194400,81.475901
2016-05-17,82.019997,83.480003,81.540001,82.190002,5320400,81.644779
2016-05-18,82.169998,83.470001,81.699997,82.480003,4432400,81.932856
2016-05-19,81.550003,81.82,80.68,81.440002,3776700,80.899754
2016-05-20,81.959999,82.559998,81.739998,82.410004,4366100,81.863321
2016-05-23,82.25,82.610001,81.449997,81.489998,3649100,80.949418
2016-05-24,82.059998,82.129997,80.870003,81.290001,4679400,80.750748
2016-05-25,81.839996,83.220001,81.550003,82.910004,3408500,82.360004
2016-05-26,82.580002,83.309998,82.239998,82.339996,2978300,82.339996
2016-05-27,82.370003,83.080002,81.790001,82.970001,3848200,82.970001
2016-05-31,83.110001,84.519997,82.610001,84.190002,6086500,84.190002
2016-06-01,83.629997,84.190002,82.910004,84.110001,4298500,84.110001
2016-06-02,83.68,84.629997,83.610001,84.610001,3507000,84.610001
2016-06-03,85.550003,86.650002,84.610001,86.379997,4901200,86.379997
