Date,Open_CME,High_CME,Low_CME,Close_CME,Volume_CME,AdjClose_CME
2015-06-24,94.790001,94.839996,93.610001,93.660004,1255900,88.713047
2015-06-25,93.57,94.650002,93.370003,94.0,1264100,89.035086
2015-06-26,94.290001,94.349998,93.629997,93.830002,1162800,88.874066
2015-06-29,92.75,93.529999,92.309998,92.309998,1375600,87.434346
2015-06-30,93.120003,93.610001,92.669998,93.059998,1729800,88.144732
2015-07-01,93.830002,94.199997,93.349998,93.709999,1045600,88.760402
2015-07-02,94.190002,94.470001,93.779999,94.269997,1356900,89.290821
2015-07-06,93.800003,94.849998,93.110001,94.580002,1103700,89.584453
2015-07-07,94.57,95.25,93.489998,95.239998,1512300,90.209589
2015-07-08,94.550003,95.18,94.019997,95.010002,1801100,89.991741
2015-07-09,96.239998,97.57,95.809998,96.970001,1536800,91.848217
2015-07-10,98.360001,99.209999,98.050003,98.510002,1797800,93.306877
2015-07-13,99.349998,99.75,98.019997,98.089996,1210100,92.909055
2015-07-14,98.260002,98.379997,97.139999,97.220001,1559600,92.085012
2015-07-15,97.610001,98.010002,96.860001,97.809998,1245600,92.643846
2015-07-16,98.099998,99.209999,97.870003,99.169998,1786300,93.932014
2015-07-17,98.089996,99.900002,98.0,99.730003,1222200,94.46244
2015-07-20,98.269997,100.32,98.019997,99.839996,1036800,94.566624
2015-07-21,100.029999,100.870003,98.550003,98.699997,1468400,93.486837
2015-07-22,99.419998,99.5,98.120003,98.940002,1008400,93.714166
2015-07-23,98.480003,98.610001,96.099998,96.620003,1764900,91.516704
2015-07-24,96.389999,97.57,96.199997,96.660004,881100,91.554593
2015-07-27,96.040001,96.489998,95.199997,95.550003,755900,90.50322
2015-07-28,96.300003,96.589996,95.400002,96.160004,1194800,91.081002
2015-07-29,95.940002,97.18,95.559998,97.010002,1391300,91.886105
2015-07-30,96.860001,97.919998,96.389999,97.010002,1343700,91.886105
2015-07-31,96.970001,97.050003,95.730003,96.040001,1522200,90.967337
2015-08-03,96.370003,97.110001,96.089996,96.970001,1194000,91.848217
2015-08-04,96.860001,97.209999,96.150002,96.690002,1032100,91.583007
2015-08-05,97.650002,98.080002,96.900002,97.889999,1762800,92.719622
2015-08-06,98.269997,98.269997,96.510002,97.089996,1105800,91.961874
2015-08-07,96.970001,97.410004,96.410004,97.239998,832100,92.103952
2015-08-10,98.129997,98.389999,97.629997,98.0,918700,92.823813
2015-08-11,97.599998,97.949997,96.800003,97.25,1294000,92.113426
2015-08-12,96.739998,97.150002,95.010002,97.019997,1399100,91.895571
2015-08-13,96.940002,98.040001,96.18,97.720001,1471800,92.558603
2015-08-14,97.879997,98.260002,97.449997,98.160004,1123600,92.975365
2015-08-17,97.650002,98.370003,97.220001,98.25,1015900,93.060608
2015-08-18,98.269997,98.660004,98.019997,98.290001,1097400,93.098496
2015-08-19,98.040001,98.25,96.5,97.230003,1700200,92.094486
2015-08-20,96.260002,97.040001,95.419998,96.059998,1898000,90.986278
2015-08-21,95.43,95.629997,91.599998,91.639999,3452700,86.799736
2015-08-24,88.459999,91.599998,84.330002,88.739998,3557200,84.052907
2015-08-25,90.720001,91.690002,89.059998,89.099998,2799600,84.393893
2015-08-26,91.169998,92.230003,89.230003,91.739998,1757000,86.894453
2015-08-27,92.589996,93.769997,91.970001,93.769997,1648700,88.817231
2015-08-28,93.559998,94.949997,93.029999,94.620003,1392700,89.622341
2015-08-31,94.489998,95.0,93.110001,94.440002,2318300,89.451848
2015-09-01,92.349998,92.629997,90.68,91.120003,1689900,86.307205
2015-09-02,92.190002,92.730003,91.669998,92.559998,1187900,87.671142
2015-09-03,92.879997,94.629997,92.519997,93.809998,1249500,88.855119
2015-09-04,92.269997,93.309998,91.940002,92.43,1557100,87.54801
2015-09-08,94.0,94.919998,92.75,94.82,1111100,90.300257
2015-09-09,94.470001,94.919998,91.800003,92.0,4035900,87.614677
2015-09-10,92.199997,93.870003,91.900002,93.470001,2582500,89.014609
2015-09-11,92.910004,94.5,92.790001,94.480003,1544800,89.976468
2015-09-14,94.370003,94.800003,94.019997,94.440002,1174200,89.938373
2015-09-15,94.970001,95.510002,94.120003,95.239998,1348800,90.700236
2015-09-16,95.139999,95.629997,94.57,95.370003,1310700,90.824044
2015-09-17,95.639999,96.230003,92.160004,92.32,2527400,87.919424
2015-09-18,91.400002,91.989998,90.160004,90.400002,6420300,86.090945
2015-09-21,91.040001,92.220001,90.779999,91.949997,1299200,87.567058
2015-09-22,90.330002,91.790001,90.18,90.709999,1217500,86.386166
2015-09-23,90.720001,91.449997,90.559998,91.239998,670500,86.890902
2015-09-24,90.269997,91.139999,89.300003,90.160004,1232500,85.862387
2015-09-25,91.32,93.040001,90.269997,92.379997,1307700,87.976562
2015-09-28,91.709999,92.139999,90.480003,90.519997,1293200,86.205221
