Date,Open_AON,High_AON,Low_AON,Close_AON,Volume_AON,AdjClose_AON
2014-05-08,85.980003,86.769997,85.550003,85.68,1097200,83.604122
2014-05-09,85.610001,85.860001,84.730003,85.529999,1668000,83.457754
2014-05-12,86.0,86.489998,85.599998,86.220001,1284600,84.131039
2014-05-13,86.220001,86.900002,86.0,86.440002,1146600,84.34571
2014-05-14,86.459999,86.480003,85.779999,85.919998,855600,83.838305
2014-05-15,85.440002,86.349998,84.800003,86.209999,1532900,84.12128
2014-05-16,86.160004,86.800003,85.419998,86.639999,1186900,84.540862
2014-05-19,86.32,87.120003,86.239998,86.940002,1481300,84.833596
2014-05-20,86.910004,87.379997,86.379997,87.019997,1808900,84.911652
2014-05-21,87.300003,88.120003,87.040001,87.730003,2073100,85.604457
2014-05-22,87.360001,88.25,87.279999,88.019997,1815800,85.887424
2014-05-23,87.970001,88.610001,87.760002,88.43,1487800,86.287494
2014-05-27,88.5,89.349998,88.449997,89.169998,1505900,87.009563
2014-05-28,89.150002,89.5,88.940002,89.120003,1595600,86.960779
2014-05-29,89.5,89.93,88.970001,89.800003,1693900,87.624304
2014-05-30,89.529999,90.059998,89.370003,89.940002,1845000,87.760911
2014-06-02,90.110001,90.370003,89.629997,89.910004,1158700,87.731639
2014-06-03,89.739998,90.07,89.370003,89.529999,965000,87.360841
2014-06-04,89.199997,89.959999,89.139999,89.760002,800200,87.585272
2014-06-05,90.0,90.190002,89.410004,90.059998,1094200,87.877999
2014-06-06,90.209999,90.769997,90.07,90.510002,1203000,88.317101
2014-06-09,90.5,90.650002,90.300003,90.610001,1498500,88.414677
2014-06-10,90.260002,90.620003,90.129997,90.400002,1023300,88.209765
2014-06-11,90.25,90.559998,90.120003,90.339996,1612100,88.151214
2014-06-12,90.349998,90.349998,89.220001,89.529999,1050000,87.360841
2014-06-13,89.809998,90.269997,89.559998,89.93,1225200,87.751152
2014-06-16,89.860001,90.0,89.410004,89.760002,971100,87.585272
2014-06-17,89.559998,90.099998,89.269997,89.980003,1162200,87.799943
2014-06-18,90.199997,91.07,89.800003,90.900002,2576900,88.697651
2014-06-19,91.019997,91.07,90.260002,90.639999,883500,88.443949
2014-06-20,90.959999,90.980003,90.459999,90.690002,2417100,88.49274
2014-06-23,90.940002,91.050003,90.400002,90.870003,1046300,88.668379
2014-06-24,90.480003,90.720001,89.839996,89.879997,1216700,87.70236
2014-06-25,89.510002,90.760002,89.510002,90.629997,1097300,88.434189
2014-06-26,90.709999,90.709999,89.739998,89.970001,936100,87.790183
2014-06-27,89.800003,90.470001,89.459999,90.389999,1379600,88.200006
2014-06-30,90.449997,90.559998,89.860001,90.089996,942900,87.907271
