Date,Open_TSO,High_TSO,Low_TSO,Close_TSO,Volume_TSO,AdjClose_TSO
2015-01-16,68.620003,71.629997,68.290001,71.029999,5471900,68.783605
2015-01-20,66.779999,73.190002,66.779999,72.150002,4549100,69.868187
2015-01-21,72.419998,74.129997,72.0,74.080002,3262400,71.737149
2015-01-22,74.419998,76.629997,73.860001,76.559998,3207900,74.138712
2015-01-23,76.580002,80.300003,76.190002,79.620003,4859600,77.101942
2015-01-26,79.82,81.059998,79.0,81.0,3219800,78.438295
2015-01-27,80.839996,81.580002,79.879997,81.370003,3012300,78.796596
2015-01-28,80.330002,83.120003,80.099998,81.849998,3900500,79.261412
2015-01-29,82.419998,82.599998,78.839996,80.440002,4606500,77.896008
2015-01-30,80.059998,83.07,79.660004,81.730003,3579500,79.145211
2015-02-02,81.839996,82.669998,80.120003,82.510002,3914600,79.900542
2015-02-03,84.139999,85.190002,82.809998,85.080002,4099200,82.389263
2015-02-04,84.629997,85.699997,83.480003,85.209999,2462500,82.515149
2015-02-05,86.470001,86.879997,84.699997,85.370003,2398500,82.670092
2015-02-06,86.43,86.43,84.690002,85.360001,1999100,82.660406
2015-02-09,85.440002,86.370003,84.580002,86.239998,1893500,83.512573
2015-02-10,86.669998,89.18,86.110001,88.099998,4358200,85.313749
2015-02-11,87.459999,88.339996,86.900002,87.290001,2830200,84.529369
2015-02-12,83.730003,83.959999,79.769997,81.419998,9003400,78.84501
2015-02-13,81.32,82.050003,79.900002,81.919998,5685400,79.329197
2015-02-17,81.900002,83.809998,80.949997,83.260002,3124700,80.626822
2015-02-18,83.300003,87.349998,82.889999,87.089996,6065300,84.335689
2015-02-19,86.699997,91.470001,86.559998,90.529999,7913000,87.666898
2015-02-20,90.239998,90.910004,89.110001,90.580002,3907100,87.71532
2015-02-23,90.419998,93.449997,90.419998,91.669998,3502400,88.770844
2015-02-24,91.809998,92.139999,89.400002,90.209999,3127500,87.357019
2015-02-25,89.989998,91.940002,89.959999,90.889999,2473700,88.432138
2015-02-26,90.370003,93.57,90.370003,93.519997,2434600,90.991015
2015-02-27,93.980003,94.830002,91.709999,91.839996,3034100,89.356445
2015-03-02,91.839996,92.279999,89.68,90.760002,3088800,88.305656
2015-03-03,91.57,92.239998,89.900002,91.040001,2544500,88.578084
2015-03-04,90.870003,91.459999,89.029999,89.699997,2397300,87.274316
2015-03-05,90.220001,90.43,88.860001,89.309998,2343200,86.894863
2015-03-06,88.989998,90.410004,86.330002,86.879997,2523900,84.530575
2015-03-09,87.099998,88.629997,86.110001,86.150002,2300400,83.82032
2015-03-10,85.050003,85.93,84.459999,85.110001,2019700,82.808443
2015-03-11,85.120003,87.209999,84.370003,86.68,2049500,84.335987
2015-03-12,87.25,87.989998,84.220001,84.269997,2966200,81.991155
