Date,Open_SIG,High_SIG,Low_SIG,Close_SIG,Volume_SIG,AdjClose_SIG
2016-04-05,119.540001,121.089996,118.5,119.860001,591500,119.580533
2016-04-06,119.910004,121.339996,118.989998,120.040001,671800,119.760114
2016-04-07,119.669998,121.470001,115.330002,116.07,1523900,115.799369
2016-04-08,116.620003,117.269997,112.860001,114.0,1491800,113.734196
2016-04-11,114.919998,115.019997,111.839996,112.25,1214600,111.988276
2016-04-12,112.410004,113.120003,110.580002,112.510002,891100,112.247672
2016-04-13,112.989998,115.849998,112.989998,115.379997,1250800,115.110976
2016-04-14,115.470001,115.470001,112.489998,112.599998,1449700,112.337459
2016-04-15,112.730003,113.339996,111.010002,112.099998,851600,111.838624
2016-04-18,111.400002,113.790001,111.400002,113.209999,964900,112.946037
2016-04-19,113.879997,114.0,110.360001,111.889999,777100,111.629115
2016-04-20,112.230003,113.150002,109.830002,112.190002,1316000,111.928419
2016-04-21,112.800003,113.07,111.910004,112.110001,685700,111.848603
2016-04-22,112.0,113.019997,111.459999,111.910004,968300,111.649073
2016-04-25,111.68,111.68,109.099998,109.360001,788800,109.105015
2016-04-26,109.080002,111.68,108.419998,111.510002,722700,111.250004
2016-04-27,111.080002,112.410004,110.510002,111.919998,446200,111.919998
2016-04-28,110.150002,111.809998,108.410004,108.690002,639700,108.690002
2016-04-29,108.480003,108.879997,107.07,108.559998,649600,108.559998
2016-05-02,109.230003,109.809998,108.010002,109.480003,553000,109.480003
2016-05-03,108.209999,111.129997,107.75,109.400002,865200,109.400002
2016-05-04,108.43,110.139999,108.279999,109.480003,509200,109.480003
2016-05-05,109.300003,109.620003,107.900002,108.699997,906200,108.699997
2016-05-06,108.010002,108.830002,105.790001,107.989998,897100,107.989998
2016-05-09,107.93,108.669998,107.360001,107.620003,852800,107.620003
2016-05-10,107.18,108.989998,107.18,108.110001,960100,108.110001
2016-05-11,106.769997,106.959999,102.150002,103.980003,2339600,103.980003
2016-05-12,103.980003,105.68,103.110001,104.099998,904000,104.099998
2016-05-13,103.980003,104.400002,102.239998,103.099998,1206200,103.099998
2016-05-16,103.029999,106.949997,103.029999,106.199997,992900,106.199997
2016-05-17,106.32,108.440002,105.080002,106.099998,787000,106.099998
2016-05-18,105.32,107.540001,105.059998,106.760002,793500,106.760002
2016-05-19,106.059998,109.129997,105.230003,108.669998,1388700,108.669998
2016-05-20,108.510002,108.669998,106.059998,107.199997,1192400,107.199997
2016-05-23,107.370003,109.419998,106.779999,107.949997,1452400,107.949997
2016-05-24,108.029999,108.519997,105.550003,105.779999,1751500,105.779999
2016-05-25,105.970001,108.809998,105.949997,108.370003,2235800,108.370003
2016-05-26,108.980003,109.089996,95.989998,97.0,9939600,97.0
2016-05-27,96.080002,99.800003,96.050003,99.580002,3782600,99.580002
2016-05-31,99.370003,99.699997,97.849998,98.970001,2002500,98.970001
2016-06-01,98.760002,99.279999,98.010002,98.730003,1499300,98.730003
2016-06-02,98.660004,99.029999,84.800003,92.230003,11581800,92.230003
2016-06-03,92.139999,92.400002,87.480003,88.190002,3836000,88.190002
