Date,Open_TROW,High_TROW,Low_TROW,Close_TROW,Volume_TROW,AdjClose_TROW
2015-02-13,82.339996,82.809998,82.029999,82.449997,928700,77.084211
2015-02-17,81.980003,82.57,81.730003,82.5,1033100,77.13096
2015-02-18,82.110001,82.360001,81.360001,81.709999,863200,76.392372
2015-02-19,83.660004,83.660004,81.279999,82.970001,2162800,77.570374
2015-02-20,82.5,83.699997,81.949997,83.529999,1506200,78.093927
2015-02-23,83.379997,83.449997,82.440002,83.089996,1436900,77.68256
2015-02-24,82.800003,84.169998,82.779999,84.019997,1279000,78.552036
2015-02-25,83.349998,83.949997,83.260002,83.519997,1199800,78.084576
2015-02-26,83.690002,83.830002,82.980003,83.32,757400,77.897595
2015-02-27,83.110001,83.260002,82.43,82.599998,1439500,77.224451
2015-03-02,82.5,83.389999,82.360001,83.389999,1169900,77.963039
2015-03-03,82.800003,83.099998,82.370003,82.849998,911500,77.458181
2015-03-04,82.199997,82.720001,81.889999,82.43,901300,77.065516
2015-03-05,82.580002,83.080002,82.379997,83.0,694700,77.59842
2015-03-06,82.800003,83.900002,82.059998,82.129997,1340700,76.785037
2015-03-09,82.160004,82.959999,82.160004,82.709999,893900,77.327293
2015-03-10,81.830002,82.010002,81.160004,81.160004,1430000,75.87817
2015-03-11,81.290001,81.989998,81.169998,81.68,1258700,76.364325
2015-03-12,81.540001,83.099998,81.269997,82.93,1540500,78.029739
2015-03-13,82.870003,82.93,81.610001,82.190002,1254700,77.333467
2015-03-16,82.879997,83.540001,82.870003,83.529999,943400,78.594284
2015-03-17,82.720001,83.790001,82.709999,83.559998,1060500,78.62251
2015-03-18,83.489998,84.220001,82.739998,83.879997,1290700,78.923602
2015-03-19,83.5,83.830002,82.510002,82.830002,1323600,77.93565
2015-03-20,83.18,84.209999,82.830002,83.989998,2858800,79.027102
2015-03-23,84.0,84.379997,83.290001,83.300003,1410900,78.377879
2015-03-24,83.160004,83.599998,82.860001,83.190002,1147200,78.274378
2015-03-25,83.379997,83.379997,81.540001,81.580002,930400,76.759511
2015-03-26,80.839996,81.949997,80.769997,81.160004,1433200,76.36433
2015-03-27,81.050003,81.379997,80.800003,81.209999,1150900,76.411371
2015-03-30,81.690002,82.290001,81.550003,81.739998,1169000,76.910053
2015-03-31,81.459999,81.650002,80.949997,80.980003,1472100,76.194966
2015-04-01,81.150002,81.769997,80.580002,81.599998,1511600,76.778326
2015-04-02,81.790001,82.080002,81.300003,81.959999,952200,77.117055
2015-04-06,81.190002,82.349998,80.949997,82.120003,1014000,77.267604
2015-04-07,80.32,80.540001,79.010002,79.050003,1456700,76.235695
2015-04-08,79.379997,80.769997,79.209999,80.610001,2281400,77.740154
2015-04-09,80.629997,81.720001,80.239998,81.440002,1965000,78.540607
2015-04-10,81.290001,81.510002,80.589996,80.980003,1402000,78.096984
2015-04-13,80.900002,81.889999,80.610001,81.400002,1576000,78.50203
2015-04-14,80.889999,82.360001,80.639999,82.07,1606800,79.148175
2015-04-15,82.43,83.0,82.269997,82.790001,1254500,79.842543
2015-04-16,82.410004,83.230003,81.949997,83.059998,1881200,80.102927
2015-04-17,82.610001,82.610001,81.980003,82.419998,1936900,79.485713
2015-04-20,83.190002,83.519997,82.739998,83.0,1571500,80.045066
2015-04-21,83.419998,83.5,82.660004,82.800003,1514500,79.852189
2015-04-22,83.449997,83.449997,81.169998,82.589996,2073300,79.649659
2015-04-23,82.57,82.57,81.709999,82.07,1649200,79.148175
2015-04-24,82.040001,82.669998,81.830002,82.57,1097100,79.630374
2015-04-27,82.669998,83.059998,82.199997,82.400002,1011000,79.466428
2015-04-28,82.089996,82.790001,81.690002,82.779999,1149900,79.832897
2015-04-29,82.099998,82.870003,81.5,81.940002,1370700,79.022806
2015-04-30,81.519997,82.160004,80.849998,81.18,1717800,78.289861
2015-05-01,81.449997,81.589996,80.959999,81.489998,904700,78.588822
2015-05-04,81.900002,82.080002,81.559998,81.919998,1004800,79.003514
2015-05-05,81.510002,82.129997,81.220001,81.389999,973500,78.492384
2015-05-06,81.580002,81.879997,80.169998,80.620003,1121100,77.7498
2015-05-07,80.57,80.959999,80.290001,80.75,2241300,77.87517
2015-05-08,81.330002,81.940002,81.239998,81.68,1143800,78.77206
2015-05-11,81.68,82.099998,81.580002,81.650002,1017400,78.74313
2015-05-12,81.309998,81.389999,80.330002,81.129997,1003100,78.241638
2015-05-13,80.910004,81.349998,80.620003,81.18,1369700,78.289861
2015-05-14,81.68,82.099998,81.220001,81.980003,799400,79.061383
2015-05-15,82.059998,82.220001,81.309998,81.550003,1569300,78.646691
2015-05-18,81.5,82.330002,81.480003,82.129997,716100,79.206037
2015-05-19,82.309998,82.5,81.760002,81.949997,1056200,79.032445
2015-05-20,81.879997,82.129997,81.489998,81.790001,847700,78.878145
2015-05-21,81.519997,81.830002,81.309998,81.690002,830200,78.781706
2015-05-22,81.620003,81.959999,81.330002,81.57,888200,78.665976
2015-05-26,81.440002,81.639999,80.269997,80.669998,1403800,77.798016
2015-05-27,81.040001,81.599998,80.650002,81.269997,1215800,78.376653
2015-05-28,81.110001,81.339996,80.889999,81.279999,992600,78.386299
2015-05-29,81.029999,81.279999,80.660004,80.690002,1182400,77.817308
2015-06-01,80.949997,81.220001,80.139999,80.809998,1288200,77.933031
2015-06-02,80.410004,80.610001,79.82,80.279999,1600300,77.421901
2015-06-03,80.550003,80.800003,79.550003,79.970001,2797400,77.12294
2015-06-04,79.809998,79.93,78.949997,79.199997,1628300,76.380349
2015-06-05,79.639999,79.709999,78.870003,79.220001,1306900,76.399641
2015-06-08,79.059998,79.599998,78.559998,78.610001,1372300,75.811358
2015-06-09,78.93,78.93,78.07,78.099998,1754600,75.319512
2015-06-10,78.610001,79.010002,78.5,78.870003,1515900,76.062103
2015-06-11,78.980003,79.199997,78.57,78.970001,1482000,76.664
2015-06-12,78.82,78.830002,78.150002,78.330002,1039400,76.04269
2015-06-15,77.629997,78.330002,77.410004,78.029999,1565600,75.751447
2015-06-16,77.650002,78.860001,77.650002,78.779999,1095200,76.479546
2015-06-17,78.970001,79.239998,78.620003,78.75,1204600,76.450424
2015-06-18,79.029999,79.959999,79.029999,79.650002,1373100,77.324144
2015-06-19,79.480003,79.739998,78.849998,78.849998,1852200,76.547502
2015-06-22,79.279999,79.809998,78.889999,79.07,1347500,76.761079
2015-06-23,79.239998,79.330002,78.779999,78.949997,1873100,76.64458
2015-06-24,78.830002,79.330002,78.68,78.730003,1675000,76.431011
2015-06-25,78.669998,78.959999,77.980003,78.059998,1466600,75.78057
2015-06-26,79.040001,79.779999,78.709999,79.400002,2062500,77.081444
2015-06-29,77.550003,78.970001,77.389999,77.470001,2136700,75.207802
2015-06-30,78.419998,78.860001,77.290001,77.730003,1708300,75.460212
2015-07-01,78.459999,78.800003,77.470001,77.68,1581500,75.411669
2015-07-02,77.910004,77.980003,76.919998,77.339996,1132600,75.081593
2015-07-06,76.480003,77.18,76.370003,76.93,1408000,74.68357
2015-07-07,77.120003,77.300003,75.879997,77.220001,1514200,74.965102
2015-07-08,76.480003,76.760002,75.610001,75.769997,1863800,73.557439
