Date,Open_KSS,High_KSS,Low_KSS,Close_KSS,Volume_KSS,AdjClose_KSS
2016-03-08,48.650002,49.110001,48.169998,48.700001,3122700,48.700001
2016-03-09,49.02,49.82,48.740002,49.07,3411400,49.07
2016-03-10,49.529999,49.75,48.73,49.459999,2431900,49.459999
2016-03-11,49.959999,49.959999,48.77,49.080002,2252100,49.080002
2016-03-14,48.869999,49.75,48.799999,49.459999,1518100,49.459999
2016-03-15,49.150002,49.68,47.349998,47.700001,3420200,47.700001
2016-03-16,47.73,48.02,47.419998,47.73,2214700,47.73
2016-03-17,47.860001,48.459999,47.59,48.25,2568700,48.25
2016-03-18,48.41,48.950001,47.799999,48.169998,3486100,48.169998
2016-03-21,48.310001,48.490002,47.91,47.91,1873000,47.91
2016-03-22,47.880001,48.080002,46.380001,47.07,2682100,47.07
2016-03-23,46.84,47.119999,46.490002,46.709999,1926200,46.709999
2016-03-24,46.259998,46.310001,45.57,45.93,2897000,45.93
2016-03-28,46.049999,47.310001,46.0,46.790001,1944300,46.790001
2016-03-29,46.990002,47.02,46.110001,46.549999,2255100,46.549999
2016-03-30,46.490002,46.759998,45.759998,46.049999,2294900,46.049999
2016-03-31,45.849998,46.700001,45.299999,46.610001,2307600,46.610001
2016-04-01,46.470001,46.689999,45.48,45.740002,2152500,45.740002
2016-04-04,45.919998,46.41,44.98,45.099998,1583300,45.099998
2016-04-05,44.950001,45.220001,44.41,44.91,1886200,44.91
2016-04-06,45.209999,45.220001,44.139999,44.860001,2327500,44.860001
2016-04-07,44.580002,44.860001,43.68,43.990002,2823200,43.990002
2016-04-08,44.02,44.290001,43.060001,43.369999,2638300,43.369999
2016-04-11,43.439999,43.689999,42.5,42.540001,3281700,42.540001
2016-04-12,42.439999,42.990002,41.720001,42.68,2316200,42.68
2016-04-13,42.860001,43.450001,42.59,43.25,2504500,43.25
2016-04-14,43.25,43.400002,42.5,42.900002,2035700,42.900002
2016-04-15,42.900002,43.400002,42.650002,43.369999,2400600,43.369999
2016-04-18,43.0,44.09,43.0,44.09,2689200,44.09
2016-04-19,44.139999,44.919998,44.119999,44.849998,3144100,44.849998
2016-04-20,45.0,46.259998,44.990002,46.130001,3541300,46.130001
2016-04-21,46.200001,46.5,45.240002,45.43,2004800,45.43
2016-04-22,45.27,46.049999,45.220001,45.459999,1264800,45.459999
2016-04-25,45.240002,45.540001,44.419998,44.959999,1998700,44.959999
2016-04-26,45.0,45.77,44.639999,45.759998,1760900,45.759998
2016-04-27,45.689999,46.189999,45.16,45.98,1814100,45.98
2016-04-28,45.52,46.18,45.419998,45.509998,1187800,45.509998
2016-04-29,45.459999,45.459999,44.060001,44.299999,2045400,44.299999
2016-05-02,44.639999,45.130001,44.200001,45.07,1950000,45.07
2016-05-03,44.630001,44.779999,43.779999,43.880001,2472000,43.880001
2016-05-04,43.490002,43.810001,42.290001,42.439999,3552300,42.439999
2016-05-05,42.439999,42.439999,41.169998,41.66,3346200,41.66
2016-05-06,41.349998,41.77,40.709999,41.369999,3380800,41.369999
2016-05-09,41.540001,42.310001,41.290001,42.169998,5034200,42.169998
2016-05-10,41.709999,41.880001,40.91,41.18,4410500,41.18
2016-05-11,39.380001,39.580002,38.59,38.700001,8709200,38.700001
2016-05-12,35.740002,36.459999,33.869999,35.150002,20440200,35.150002
2016-05-13,34.959999,38.0,34.509998,35.740002,12956600,35.740002
2016-05-16,35.75,36.419998,35.099998,36.209999,5436000,36.209999
2016-05-17,36.150002,36.549999,35.110001,35.220001,4897700,35.220001
2016-05-18,34.939999,35.32,34.400002,34.560001,3245300,34.560001
2016-05-19,34.970001,35.279999,34.34,34.939999,4561900,34.939999
2016-05-20,35.259998,35.889999,34.860001,35.849998,3531300,35.849998
2016-05-23,35.799999,36.59,35.560001,35.59,2597100,35.59
2016-05-24,35.610001,35.919998,35.349998,35.389999,3586200,35.389999
2016-05-25,35.560001,36.240002,35.310001,35.889999,4478100,35.889999
2016-05-26,36.02,36.43,35.57,35.57,2357400,35.57
2016-05-27,35.59,36.16,35.419998,36.110001,2773800,36.110001
2016-05-31,36.220001,36.490002,35.779999,36.040001,2958100,36.040001
2016-06-01,36.02,36.419998,35.84,36.169998,3138600,36.169998
2016-06-02,36.169998,37.459999,36.119999,37.380001,4007500,37.380001
2016-06-03,37.43,38.18,37.310001,38.049999,4455700,38.049999
