Date,Open_PH,High_PH,Low_PH,Close_PH,Volume_PH,AdjClose_PH
2014-12-03,129.190002,131.779999,129.169998,131.490005,967300,127.027123
2014-12-04,130.550003,131.0,129.75,129.770004,1194500,125.3655
2014-12-05,129.899994,130.910004,129.479996,129.949997,971800,125.539383
2014-12-08,129.899994,130.570007,127.129997,127.709999,1118600,123.375413
2014-12-09,126.360001,128.660004,126.010002,128.539993,924300,124.177236
2014-12-10,127.75,127.919998,124.970001,125.230003,1061200,120.97959
2014-12-11,125.510002,127.769997,125.349998,126.080002,1006100,121.800739
2014-12-12,124.620003,125.860001,123.059998,123.080002,1060300,118.902562
2014-12-15,123.830002,124.370003,121.389999,121.919998,1278900,117.78193
2014-12-16,121.470001,123.82,121.330002,121.330002,1573500,117.211958
2014-12-17,121.190002,123.849998,120.540001,123.510002,2178000,119.317967
2014-12-18,125.779999,126.68,123.639999,126.669998,2057200,122.370711
2014-12-19,127.029999,128.899994,126.510002,128.270004,1860300,123.916411
2014-12-22,128.759995,129.850006,128.110001,129.660004,820100,125.259233
2014-12-23,130.059998,131.949997,129.929993,131.059998,711000,126.61171
2014-12-24,131.220001,131.779999,129.990005,130.850006,499600,126.408845
2014-12-26,131.160004,132.080002,130.740005,130.789993,361600,126.35087
2014-12-29,130.320007,131.449997,130.009995,130.820007,634600,126.379865
2014-12-30,130.380005,131.089996,129.869995,130.320007,874600,125.896835
2014-12-31,130.850006,131.039993,128.820007,128.949997,1069000,124.573324
2015-01-02,129.240005,129.539993,127.449997,129.160004,791300,124.776203
2015-01-05,124.970001,126.220001,123.199997,123.620003,1631500,119.424235
2015-01-06,123.589996,124.540001,121.190002,121.809998,1757300,117.675662
2015-01-07,123.0,123.980003,122.190002,122.760002,1309100,118.593423
2015-01-08,124.82,126.660004,123.980003,126.639999,1171100,122.34173
2015-01-09,127.050003,127.050003,124.919998,125.849998,2067600,121.578542
2015-01-12,125.860001,126.800003,124.879997,125.790001,2782700,121.520581
2015-01-13,126.889999,128.289993,122.459999,124.169998,1580600,119.955563
2015-01-14,122.160004,122.989998,121.059998,122.370003,1452800,118.216661
2015-01-15,122.370003,123.339996,119.870003,119.93,1375800,115.859474
2015-01-16,119.75,120.150002,117.879997,120.0,2216700,115.927098
