Date,Open_NOV,High_NOV,Low_NOV,Close_NOV,Volume_NOV,AdjClose_NOV
2015-02-19,53.48,55.049999,52.880001,54.240002,10179400,51.157068
2015-02-20,54.110001,54.560001,53.52,54.470001,5417600,51.373994
2015-02-23,53.5,54.799999,53.220001,54.299999,5512300,51.213655
2015-02-24,54.68,54.75,53.82,54.68,5802300,51.572057
2015-02-25,54.720001,55.0,54.07,54.740002,3748700,51.628648
2015-02-26,54.299999,54.5,52.799999,53.27,5113400,50.2422
2015-02-27,53.5,54.5,53.209999,54.349998,5206600,51.260812
2015-03-02,54.349998,55.82,53.900002,55.790001,9182800,52.618967
2015-03-03,55.84,56.169998,54.23,54.439999,6267700,51.345697
2015-03-04,54.599998,54.950001,53.900002,54.779999,4327900,51.666372
2015-03-05,54.549999,54.549999,53.529999,53.599998,5106800,50.553442
2015-03-06,53.099998,53.330002,52.369999,52.540001,5153100,49.553693
2015-03-09,52.52,52.93,51.650002,51.650002,6198800,48.71428
2015-03-10,51.119999,51.490002,50.299999,50.68,6891900,47.799412
2015-03-11,50.869999,50.869999,49.869999,50.16,4501400,47.742302
2015-03-12,50.25,50.32,49.779999,49.799999,5869800,47.399654
2015-03-13,49.34,49.59,48.07,49.07,7428700,46.70484
2015-03-16,48.709999,48.849998,47.790001,48.669998,6963300,46.324118
2015-03-17,48.18,48.48,47.369999,47.459999,9079000,45.172441
2015-03-18,47.209999,48.790001,46.080002,48.59,11927100,46.247976
2015-03-19,47.900002,48.450001,47.779999,47.889999,6670400,45.581715
2015-03-20,48.34,49.939999,48.299999,49.66,15174300,47.266402
2015-03-23,49.66,50.34,49.349998,49.360001,4996400,46.980863
2015-03-24,49.48,49.630001,48.48,48.509998,5746300,46.17183
2015-03-25,49.049999,49.43,48.689999,49.040001,5571000,46.676287
2015-03-26,49.689999,49.810001,48.73,48.950001,4492100,46.590625
2015-03-27,48.990002,49.650002,48.48,49.25,6237800,46.876164
2015-03-30,49.189999,50.040001,48.75,49.84,5762700,47.437726
2015-03-31,49.400002,50.169998,49.200001,49.990002,11090700,47.580498
2015-04-01,50.189999,50.470001,49.869999,49.919998,4704000,47.513869
2015-04-02,49.619999,51.139999,49.599998,51.009998,5401600,48.551331
2015-04-06,51.330002,53.060001,51.27,52.700001,8068100,50.159876
2015-04-07,52.709999,53.189999,52.330002,52.77,4545100,50.226502
2015-04-08,52.990002,53.25,52.240002,52.740002,5627400,50.197949
2015-04-09,52.990002,54.720001,52.990002,54.549999,4766900,51.920705
2015-04-10,54.650002,54.970001,54.060001,54.43,3589000,51.80649
2015-04-13,54.689999,54.709999,53.029999,53.18,4428500,50.61674
2015-04-14,53.59,54.540001,53.48,54.360001,4282700,51.739864
2015-04-15,54.75,56.639999,54.34,56.0,7099100,53.300816
2015-04-16,55.59,56.43,54.610001,55.299999,4736700,52.634555
2015-04-17,55.169998,55.169998,54.07,54.59,4916800,51.958778
2015-04-20,54.540001,55.419998,54.52,55.029999,4164000,52.377569
2015-04-21,55.029999,55.119999,53.040001,53.130001,4297200,50.56915
2015-04-22,53.200001,54.400002,52.549999,53.93,5623500,51.33059
2015-04-23,54.080002,56.07,53.889999,55.75,6486700,53.062866
2015-04-24,55.439999,55.5,53.830002,54.200001,7437100,51.587576
2015-04-27,55.610001,55.610001,54.259998,54.689999,5407100,52.053956
2015-04-28,51.220001,52.18,50.18,51.93,14482800,49.426989
2015-04-29,50.48,53.119999,50.380001,52.919998,9186300,50.369269
2015-04-30,53.23,54.77,52.490002,54.41,7405900,51.787453
2015-05-01,54.349998,55.0,53.849998,54.73,4094500,52.092029
2015-05-04,54.860001,55.119999,53.869999,54.740002,3808700,52.101549
2015-05-05,55.470001,56.029999,54.82,55.400002,4734400,52.729737
2015-05-06,56.130001,56.130001,53.990002,54.52,6037000,51.892152
2015-05-07,53.59,53.59,51.669998,51.970001,6945000,49.465062
2015-05-08,52.5,53.32,51.279999,53.23,4408200,50.664329
2015-05-11,52.400002,52.549999,51.099998,51.330002,6409100,48.85591
2015-05-12,51.490002,52.009998,50.759998,51.48,4334300,48.998678
2015-05-13,51.990002,52.400002,51.16,51.880001,5083700,49.3794
2015-05-14,51.810001,52.470001,50.93,51.220001,4268400,48.751212
2015-05-15,51.02,51.650002,50.310001,51.27,7305600,48.798801
2015-05-18,51.110001,51.290001,50.330002,51.18,3292400,48.713139
2015-05-19,50.73,50.799999,49.27,49.959999,5090900,47.551941
2015-05-20,50.279999,50.369999,49.619999,50.169998,3473800,47.751819
2015-05-21,50.439999,51.950001,50.18,51.400002,5045300,48.922536
2015-05-22,50.84,51.549999,50.509998,50.709999,3343500,48.265792
2015-05-26,50.029999,50.689999,49.720001,49.959999,3521500,47.551941
2015-05-27,49.790001,50.790001,49.419998,50.299999,3679400,47.875554
2015-05-28,50.02,50.110001,49.080002,49.889999,3866400,47.485316
2015-05-29,49.880001,50.349998,49.18,49.189999,4627900,46.819055
2015-06-01,49.16,49.389999,48.709999,49.080002,3138900,46.71436
2015-06-02,49.549999,50.599998,49.450001,50.200001,3512900,47.780375
2015-06-03,50.16,50.700001,49.5,49.66,2722100,47.266402
2015-06-04,49.299999,49.43,48.59,48.630001,3360900,46.286049
2015-06-05,48.5,49.720001,48.349998,48.880001,3028300,46.523999
2015-06-08,48.689999,49.549999,48.599998,48.959999,2925300,46.600141
2015-06-09,49.439999,49.650002,47.889999,47.900002,5208600,45.591235
2015-06-10,48.02,49.299999,47.84,49.200001,4442400,47.282648
2015-06-11,49.119999,49.240002,48.259998,48.59,2969000,46.696419
2015-06-12,48.27,48.73,48.110001,48.299999,2289000,46.41772
2015-06-15,47.779999,48.470001,47.470001,48.349998,4803900,46.465771
2015-06-16,48.139999,48.84,48.139999,48.73,2849700,46.830963
2015-06-17,49.110001,49.419998,48.700001,48.889999,4502600,46.984727
2015-06-18,49.02,49.529999,48.580002,49.09,5198400,47.176934
2015-06-19,48.720001,49.700001,48.709999,49.220001,7633900,47.301869
2015-06-22,49.330002,49.419998,48.84,49.16,3394800,47.244206
2015-06-23,49.18,49.220001,48.43,49.049999,6021100,47.138492
2015-06-24,48.810001,49.84,48.799999,49.290001,3829900,47.369141
2015-06-25,49.130001,49.400002,48.880001,48.970001,3739300,47.061611
2015-06-26,48.810001,49.490002,48.400002,49.41,8221400,47.484463
2015-06-29,49.139999,49.450001,48.549999,48.57,6325800,46.677198
2015-06-30,48.93,48.950001,47.610001,48.279999,4719500,46.398499
2015-07-01,48.259998,48.470001,46.73,46.950001,7018900,45.120332
2015-07-02,47.119999,47.830002,47.0,47.419998,4381500,45.572013
2015-07-06,46.450001,46.77,44.91,45.060001,8482900,43.303987
2015-07-07,44.919998,45.5,43.849998,45.169998,7665400,43.409697
2015-07-08,44.709999,45.380001,44.150002,44.16,4695900,42.439059
2015-07-09,44.75,44.990002,44.43,44.580002,7019000,42.842693
2015-07-10,45.0,45.400002,44.75,44.990002,4081400,43.236715
2015-07-13,45.209999,46.07,44.830002,45.700001,4577500,43.919045
2015-07-14,45.630001,46.509998,45.349998,45.52,4417100,43.746059
2015-07-15,45.240002,45.43,43.700001,43.720001,5323900,42.016207
2015-07-16,44.07,44.27,43.380001,43.490002,4038000,41.795171
2015-07-17,42.599998,43.259998,42.43,43.009998,7228700,41.333873
2015-07-20,43.060001,43.330002,42.5,43.130001,5121600,41.449199
2015-07-21,43.349998,44.369999,43.299999,43.43,3696900,41.737508
2015-07-22,43.049999,43.169998,41.75,41.91,7908900,40.276742
2015-07-23,42.380001,43.099998,41.630001,42.919998,5098400,41.247381
2015-07-24,42.970001,43.290001,42.060001,42.220001,4742500,40.574663
2015-07-27,41.639999,42.450001,41.23,41.650002,6491200,40.026876
2015-07-28,42.049999,42.990002,40.299999,42.93,6822500,41.256993
2015-07-29,42.650002,44.049999,42.630001,43.889999,5299600,42.17958
2015-07-30,43.869999,44.119999,43.060001,43.389999,3636500,41.699066
2015-07-31,43.110001,43.439999,41.849998,42.130001,4967500,40.48817
2015-08-03,41.740002,42.200001,40.869999,40.970001,5491100,39.373376
2015-08-04,41.459999,41.650002,40.509998,40.650002,6005800,39.065847
2015-08-05,40.950001,41.349998,40.060001,40.380001,6203400,38.806369
2015-08-06,40.25,40.939999,39.849998,40.599998,10737400,39.017793
2015-08-07,40.459999,40.75,39.599998,39.73,7891400,38.181698
2015-08-10,39.73,41.02,39.68,40.900002,9096700,39.306104
2015-08-11,40.07,40.52,39.66,40.490002,6609300,38.912082
2015-08-12,40.5,41.220001,40.099998,40.990002,5843300,39.392597
2015-08-13,40.529999,40.669998,39.540001,39.830002,7387500,38.277803
2015-08-14,39.709999,40.209999,39.25,39.549999,5674900,38.008712
2015-08-17,39.5,39.82,39.200001,39.509998,5370200,37.97027
2015-08-18,39.439999,40.02,39.419998,39.73,4473600,38.181698
2015-08-19,39.330002,39.720001,38.990002,39.09,6371000,37.56664
2015-08-20,39.0,39.52,38.41,38.419998,6603400,36.922748
