Date,Open_CVS,High_CVS,Low_CVS,Close_CVS,Volume_CVS,AdjClose_CVS
2015-03-11,101.93,102.150002,101.510002,101.559998,3319900,99.688417
2015-03-12,101.980003,103.169998,101.870003,102.959999,3731900,101.062619
2015-03-13,103.110001,103.919998,102.739998,103.260002,4855000,101.357093
2015-03-16,103.660004,104.519997,103.510002,104.389999,4873900,102.466266
2015-03-17,103.949997,104.040001,103.019997,103.019997,4613600,101.121511
2015-03-18,102.769997,103.849998,101.760002,103.489998,6695300,101.58285
2015-03-19,103.580002,103.730003,103.120003,103.339996,3383500,101.435613
2015-03-20,104.0,104.690002,103.489998,103.860001,9136400,101.946035
2015-03-23,104.050003,105.349998,103.949997,104.559998,4167000,102.633132
2015-03-24,104.629997,105.459999,104.370003,104.489998,3532700,102.564422
2015-03-25,104.919998,104.93,102.709999,102.730003,4073600,100.836861
2015-03-26,102.459999,102.889999,101.779999,101.989998,4265300,100.110493
2015-03-27,101.970001,102.949997,101.910004,102.5,4541600,100.611097
2015-03-30,102.389999,104.099998,101.959999,103.830002,3978600,101.916589
2015-03-31,103.82,104.300003,103.139999,103.209999,3779400,101.308012
2015-04-01,102.660004,102.730003,101.300003,102.260002,4591200,100.375522
2015-04-02,101.730003,103.269997,101.720001,102.709999,3041400,100.817226
2015-04-06,102.099998,103.949997,102.029999,103.43,3209900,101.523959
2015-04-07,103.389999,104.449997,103.099998,103.129997,2923100,101.229484
2015-04-08,103.25,103.879997,102.75,102.93,3307100,101.033173
2015-04-09,103.040001,103.290001,101.839996,102.370003,5609500,100.483495
2015-04-10,102.559998,102.800003,102.019997,102.540001,3606400,100.65036
2015-04-13,102.470001,103.160004,102.0,102.139999,6436900,100.25773
2015-04-14,102.230003,102.760002,101.379997,102.110001,4729400,100.228284
2015-04-15,102.25,102.510002,101.57,101.730003,4363500,99.85529
2015-04-16,101.779999,101.919998,101.019997,101.169998,4077700,99.305604
2015-04-17,100.589996,100.720001,99.25,100.389999,6579200,98.53998
