Date,Open_SLG,High_SLG,Low_SLG,Close_SLG,Volume_SLG,AdjClose_SLG
2014-08-28,109.519997,110.010002,109.120003,109.220001,294800,104.996795
2014-08-29,109.699997,109.879997,109.019997,109.349998,1304800,105.121766
2014-09-02,109.239998,109.800003,109.080002,109.230003,662900,105.006411
2014-09-03,109.830002,110.150002,108.919998,109.07,568300,104.852594
2014-09-04,108.989998,109.540001,108.550003,108.620003,431200,104.419997
2014-09-05,108.769997,109.389999,108.550003,108.879997,960100,104.669938
2014-09-08,108.669998,109.489998,108.459999,109.290001,546500,105.064088
2014-09-09,109.480003,109.540001,108.980003,109.230003,584700,105.006411
2014-09-10,108.959999,108.989998,107.730003,107.800003,457900,103.631704
2014-09-11,107.510002,108.669998,107.459999,108.25,537700,104.064301
2014-09-12,107.57,107.860001,103.970001,103.980003,926200,99.959412
2014-09-15,104.040001,104.510002,103.220001,103.449997,540200,99.4499
2014-09-16,103.32,104.699997,103.0,103.989998,890400,99.96902
2014-09-17,104.470001,105.980003,104.389999,105.139999,771400,101.074555
2014-09-18,105.160004,105.690002,104.769997,105.309998,1045800,101.23798
2014-09-19,104.720001,105.75,104.720001,105.25,1351200,101.180302
2014-09-22,104.800003,105.080002,103.559998,103.599998,587700,99.594101
2014-09-23,103.519997,104.190002,102.800003,102.830002,642400,98.853878
2014-09-24,102.75,103.389999,101.940002,102.199997,1019800,98.248233
2014-09-25,102.18,102.75,100.900002,101.339996,838300,97.421486
2014-09-26,101.0,102.93,100.720001,102.629997,779900,99.150807
2014-09-29,102.279999,102.580002,101.290001,102.489998,501800,99.015554
2014-09-30,102.540001,102.75,101.18,101.32,765300,97.885219
2014-10-01,101.110001,101.800003,100.57,101.32,1182100,97.885219
2014-10-02,100.949997,101.779999,99.889999,101.57,1342900,98.126744
2014-10-03,102.169998,102.699997,101.269997,102.120003,578600,98.658102
2014-10-06,102.379997,103.099998,101.68,102.510002,586900,99.03488
2014-10-07,102.029999,102.830002,101.139999,101.230003,426700,97.798274
2014-10-08,101.57,104.370003,101.459999,104.260002,889700,100.725555
2014-10-09,103.889999,105.080002,103.419998,104.080002,870700,100.551656
2014-10-10,104.389999,106.260002,104.370003,105.309998,807100,101.739955
2014-10-13,106.019997,107.080002,105.559998,105.769997,829200,102.18436
2014-10-14,105.949997,108.57,105.769997,108.199997,1061900,104.531982
2014-10-15,107.529999,109.269997,106.300003,106.699997,2305700,103.082833
2014-10-16,105.940002,108.010002,105.540001,107.669998,1129400,104.019951
2014-10-17,108.919998,108.919998,107.080002,108.25,873200,104.58029
2014-10-20,108.230003,109.860001,108.190002,109.790001,715400,106.068085
2014-10-21,107.93,110.959999,107.93,110.879997,724900,107.12113
2014-10-22,110.879997,111.900002,110.449997,110.599998,768700,106.850623
2014-10-23,111.290001,112.739998,110.650002,112.730003,1050100,108.90842
2014-10-24,112.540001,113.080002,111.650002,112.169998,674600,108.367399
2014-10-27,112.190002,112.839996,111.760002,112.730003,743600,108.90842
2014-10-28,112.940002,113.419998,112.419998,113.370003,843000,109.526723
2014-10-29,113.059998,113.519997,112.279999,113.239998,1194600,109.401126
2014-10-30,112.889999,115.0,112.639999,114.940002,793300,111.0435
2014-10-31,115.650002,115.989998,114.720001,115.699997,999800,111.77773
2014-11-03,115.68,116.650002,115.300003,116.5,1287400,112.550613
2014-11-04,116.540001,116.959999,115.75,116.800003,692800,112.840446
2014-11-05,117.150002,117.419998,116.110001,116.800003,998200,112.840446
2014-11-06,116.620003,116.650002,114.82,115.0,880600,111.101463
2014-11-07,115.0,115.519997,113.940002,114.059998,663700,110.193327
2014-11-10,114.080002,115.589996,113.940002,115.410004,918100,111.497568
2014-11-11,115.099998,115.349998,113.75,114.129997,408800,110.260954
2014-11-12,113.769997,114.029999,112.019997,112.169998,701100,108.367399
2014-11-13,112.550003,113.660004,112.110001,113.650002,466500,109.79723
2014-11-14,113.82,114.07,112.82,113.139999,467500,109.304517
2014-11-17,113.190002,113.809998,112.690002,113.209999,511300,109.372144
2014-11-18,113.480003,114.620003,113.169998,114.330002,591300,110.454178
2014-11-19,113.949997,114.699997,113.459999,114.220001,574200,110.347907
2014-11-20,114.080002,114.449997,113.57,114.25,593100,110.376888
2014-11-21,114.730003,115.230003,114.190002,114.370003,671800,110.492823
2014-11-24,114.779999,115.150002,114.239998,114.650002,540900,110.76333
2014-11-25,114.699997,115.110001,113.989998,114.43,650300,110.550787
2014-11-26,114.849998,115.970001,114.370003,115.870003,458200,111.941973
2014-11-28,116.080002,117.169998,115.510002,116.139999,356000,112.202816
2014-12-01,116.160004,117.129997,115.459999,116.349998,759000,112.405696
2014-12-02,116.120003,118.339996,115.809998,118.269997,825500,114.260606
2014-12-03,118.099998,118.839996,117.589996,118.779999,716400,114.753319
2014-12-04,118.730003,119.349998,117.720001,119.129997,732200,115.091452
2014-12-05,118.43,119.559998,117.459999,119.529999,771600,115.477894
2014-12-08,119.529999,120.519997,118.620003,120.449997,912800,116.366703
2014-12-09,120.190002,122.410004,119.709999,122.279999,656900,118.134668
2014-12-10,122.290001,123.160004,121.43,122.480003,885600,118.327892
2014-12-11,122.900002,123.889999,122.120003,122.220001,438800,118.076704
2014-12-12,121.629997,122.849998,120.309998,120.389999,582400,116.30874
2014-12-15,120.940002,121.099998,118.440002,119.059998,533700,115.023825
2014-12-16,119.0,120.129997,118.150002,118.720001,831500,114.695355
2014-12-17,118.879997,122.279999,118.370003,122.260002,903500,118.115349
2014-12-18,123.0,123.599998,122.300003,123.099998,815300,118.926869
2014-12-19,122.860001,123.25,120.970001,121.779999,1557100,117.651618
2014-12-22,121.75,122.760002,121.150002,122.669998,649300,118.511446
2014-12-23,123.099998,123.379997,121.809998,121.93,559100,117.796534
2014-12-24,121.370003,122.650002,120.879997,120.980003,365000,116.878742
2014-12-26,121.459999,122.449997,121.459999,122.040001,372800,117.902806
2014-12-29,122.129997,123.209999,121.519997,121.57,529800,117.448738
2014-12-30,121.400002,122.57,121.120003,121.489998,455000,117.953596
2014-12-31,122.18,122.699997,118.970001,119.019997,554400,115.555493
2015-01-02,119.75,121.43,119.540001,121.32,384600,117.788546
2015-01-05,120.93,122.5,120.379997,121.980003,611500,118.429338
2015-01-06,121.980003,123.5,121.879997,122.919998,664700,119.341971
2015-01-07,123.480003,124.510002,122.150002,124.339996,600700,120.720635
2015-01-08,124.339996,125.779999,124.169998,124.949997,587300,121.312879
2015-01-09,124.769997,125.769997,124.040001,125.199997,316800,121.555602
