Date,Open_UTX,High_UTX,Low_UTX,Close_UTX,Volume_UTX,AdjClose_UTX
2016-02-02,86.169998,86.730003,85.080002,85.419998,7397700,84.228578
2016-02-03,85.989998,86.370003,84.290001,85.959999,8305500,84.761048
2016-02-04,86.089996,88.709999,86.029999,88.120003,5921700,86.890924
2016-02-05,88.040001,88.510002,87.440002,87.839996,5216800,86.614823
2016-02-08,87.339996,87.400002,85.82,86.779999,6858400,85.56961
2016-02-09,86.260002,87.769997,85.93,87.239998,7360900,86.023193
2016-02-10,87.360001,88.449997,86.739998,86.959999,3618800,85.7471
2016-02-11,85.389999,86.550003,83.849998,84.660004,7711800,83.479184
2016-02-12,84.989998,86.129997,84.900002,85.949997,5886300,84.751185
2016-02-16,87.339996,87.5,85.559998,86.480003,6960400,85.273799
2016-02-17,86.709999,88.489998,86.639999,88.120003,5141100,87.538761
2016-02-18,88.550003,89.040001,88.160004,88.360001,4997700,87.777176
2016-02-19,88.349998,88.989998,87.419998,88.230003,11817500,87.648036
2016-02-22,89.190002,94.910004,88.870003,92.370003,21828300,91.760728
2016-02-23,92.230003,92.43,90.489998,91.599998,11567700,90.995802
2016-02-24,91.110001,94.150002,91.110001,93.610001,16993300,92.992546
2016-02-25,93.910004,98.730003,93.68,98.07,16862800,97.423127
2016-02-26,100.209999,100.550003,96.5,97.690002,14654800,97.045636
2016-02-29,97.43,98.870003,96.510002,96.620003,8854200,95.982694
2016-03-01,92.220001,95.050003,92.07,95.050003,12353900,94.42305
2016-03-02,94.760002,96.0,94.400002,95.529999,5447300,94.89988
2016-03-03,95.199997,96.150002,95.07,96.110001,4597900,95.476056
2016-03-04,96.169998,97.300003,95.779999,97.0,4674100,96.360185
2016-03-07,96.550003,97.459999,96.050003,96.919998,6307600,96.280711
2016-03-08,96.139999,97.489998,96.129997,96.900002,5354100,96.260846
2016-03-09,97.32,97.480003,96.400002,96.599998,4158900,95.962822
2016-03-10,96.599998,97.120003,95.050003,96.18,4808600,95.545594
