Date,Open_CFG,High_CFG,Low_CFG,Close_CFG,Volume_CFG,AdjClose_CFG
2016-05-11,22.360001,22.629999,22.190001,22.200001,3652400,22.200001
2016-05-12,22.360001,22.469999,21.6,21.76,5748800,21.76
2016-05-13,22.0,22.219999,21.25,21.4,6510200,21.4
2016-05-16,21.42,21.9,21.299999,21.709999,4278000,21.709999
2016-05-17,21.59,22.09,21.459999,21.82,4161900,21.82
2016-05-18,21.74,23.139999,21.74,23.129999,9873100,23.129999
2016-05-19,22.940001,23.485001,22.620001,22.9,4816100,22.9
2016-05-20,22.99,23.41,22.860001,22.98,3933200,22.98
2016-05-23,22.969999,23.110001,22.719999,22.969999,2941400,22.969999
2016-05-24,23.120001,23.57,23.030001,23.25,3165600,23.25
2016-05-25,23.4,23.855,23.26,23.690001,6771500,23.690001
2016-05-26,23.68,23.709999,23.27,23.35,4600700,23.35
2016-05-27,23.43,23.620001,23.26,23.59,3508600,23.59
2016-05-31,23.76,23.809999,23.35,23.549999,6511600,23.549999
2016-06-01,23.280001,23.709999,22.959999,23.6,3949900,23.6
2016-06-02,23.549999,23.879999,23.290001,23.83,3508100,23.83
2016-06-03,22.83,23.23,22.52,23.139999,7607800,23.139999
