Date,Open_MCO,High_MCO,Low_MCO,Close_MCO,Volume_MCO,AdjClose_MCO
2016-03-08,93.269997,93.620003,92.620003,92.779999,1084300,92.413634
2016-03-09,93.580002,93.620003,92.25,93.059998,812000,92.692527
2016-03-10,93.139999,94.790001,92.239998,93.129997,1555300,92.76225
2016-03-11,93.809998,94.900002,93.610001,94.5,1700200,94.126843
2016-03-14,93.93,94.489998,93.080002,93.68,1019300,93.310082
2016-03-15,93.089996,93.830002,92.559998,93.599998,761600,93.230396
2016-03-16,93.0,94.940002,92.980003,94.720001,634200,94.345976
2016-03-17,94.739998,98.339996,94.739998,97.5,1984800,97.114997
2016-03-18,97.639999,98.559998,96.809998,97.059998,2122600,96.676732
2016-03-21,96.900002,97.0,95.410004,95.940002,1109100,95.56116
2016-03-22,94.75,96.459999,94.660004,95.910004,1482900,95.531279
2016-03-23,95.510002,96.239998,94.150002,94.260002,1514400,93.887793
2016-03-24,93.519997,93.519997,91.93,92.949997,1804700,92.582961
2016-03-28,93.150002,93.699997,92.389999,92.980003,1077900,92.612849
2016-03-29,92.889999,95.529999,92.889999,95.519997,1010200,95.142812
2016-03-30,95.860001,96.330002,95.5,95.860001,938600,95.481474
2016-03-31,95.720001,96.779999,95.389999,96.559998,1015300,96.178706
2016-04-01,95.639999,97.790001,95.580002,97.559998,1297300,97.174758
2016-04-04,97.690002,98.110001,96.199997,96.25,788200,95.869933
2016-04-05,94.949997,95.370003,93.589996,93.769997,1227100,93.399723
2016-04-06,93.779999,94.699997,93.25,94.440002,1394200,94.067083
2016-04-07,93.089996,94.419998,92.610001,92.860001,1166100,92.49332
2016-04-08,93.709999,94.580002,92.879997,93.309998,733100,92.94154
2016-04-11,93.800003,95.190002,93.389999,93.970001,1139800,93.598937
2016-04-12,94.300003,95.540001,94.019997,95.32,841300,94.943605
2016-04-13,96.040001,98.43,96.040001,97.959999,1162000,97.57318
2016-04-14,97.860001,98.309998,97.410004,97.989998,957300,97.60306
2016-04-15,97.989998,98.25,97.040001,97.790001,825100,97.403853
2016-04-18,97.540001,98.980003,97.059998,98.639999,637500,98.250495
