Date,Open_EL,High_EL,Low_EL,Close_EL,Volume_EL,AdjClose_EL
2016-03-29,93.699997,94.389999,93.199997,94.169998,783600,93.863053
2016-03-30,94.769997,94.93,94.349998,94.419998,855500,94.112238
2016-03-31,94.150002,94.669998,93.949997,94.309998,1225000,94.002596
2016-04-01,93.879997,95.730003,93.639999,95.650002,1132100,95.338232
2016-04-04,95.800003,95.800003,94.839996,95.5,796600,95.18872
2016-04-05,95.379997,95.900002,94.900002,95.099998,743300,94.790022
2016-04-06,95.120003,95.720001,94.949997,95.68,658200,95.368133
2016-04-07,95.089996,95.099998,93.5,94.540001,1491500,94.23185
2016-04-08,95.019997,95.389999,94.580002,95.209999,943900,94.899664
2016-04-11,95.730003,96.199997,95.120003,95.25,794100,94.939535
2016-04-12,95.089996,95.690002,94.510002,94.730003,1252600,94.421233
2016-04-13,95.25,95.25,94.260002,94.519997,1173000,94.211911
2016-04-14,94.610001,95.300003,94.150002,94.709999,1066700,94.401294
2016-04-15,94.82,94.989998,94.080002,94.949997,1210600,94.640509
2016-04-18,94.900002,95.970001,94.629997,95.779999,962800,95.467806
2016-04-19,96.419998,97.080002,96.059998,96.949997,1286300,96.63399
2016-04-20,96.849998,97.330002,96.540001,96.57,1198300,96.255232
2016-04-21,96.040001,96.25,93.690002,93.889999,1631200,93.583967
2016-04-22,93.529999,93.959999,91.959999,93.949997,1978400,93.643769
2016-04-25,93.529999,94.790001,93.519997,94.720001,1451900,94.411263
2016-04-26,94.720001,95.879997,94.379997,95.690002,1430500,95.378103
2016-04-27,95.709999,96.800003,95.470001,96.169998,1670500,95.856534
2016-04-28,95.669998,97.459999,95.470001,97.120003,1487600,96.803442
2016-04-29,96.690002,96.849998,95.309998,95.870003,1591200,95.557516
2016-05-02,95.860001,97.480003,95.68,97.129997,2274600,96.813404
2016-05-03,94.230003,95.480003,93.019997,93.290001,3521600,92.985924
2016-05-04,92.5,93.419998,91.919998,93.150002,2444700,92.846381
2016-05-05,93.129997,94.260002,92.970001,93.279999,1222800,92.975954
2016-05-06,93.169998,94.120003,92.059998,93.989998,1785600,93.683639
2016-05-09,94.220001,95.029999,93.360001,93.739998,1532100,93.434454
2016-05-10,94.230003,95.580002,94.169998,95.540001,1900900,95.22859
2016-05-11,95.029999,95.220001,94.379997,94.93,2064500,94.620578
2016-05-12,95.43,95.860001,93.720001,94.610001,1451500,94.301621
2016-05-13,94.220001,94.32,92.379997,92.660004,1689100,92.35798
2016-05-16,92.720001,93.199997,92.559998,92.790001,1010500,92.487554
2016-05-17,92.660004,92.980003,91.599998,92.019997,1641200,91.720059
2016-05-18,91.879997,92.120003,90.129997,90.5,1889000,90.205017
2016-05-19,90.040001,91.089996,89.839996,91.010002,1651300,90.713357
2016-05-20,91.309998,91.309998,90.139999,90.480003,1759200,90.185086
2016-05-23,90.339996,91.089996,90.139999,90.730003,1299600,90.434271
2016-05-24,91.309998,92.610001,90.43,92.139999,1568500,91.839671
2016-05-25,92.209999,92.75,92.010002,92.040001,1230400,91.739998
2016-05-26,92.120003,92.260002,91.43,91.440002,1094900,91.440002
2016-05-27,91.790001,93.010002,91.529999,92.0,1450000,92.0
2016-05-31,92.32,92.730003,91.410004,91.779999,1713700,91.779999
2016-06-01,91.589996,92.989998,91.360001,92.989998,1761700,92.989998
2016-06-02,92.739998,93.349998,92.599998,93.199997,1019600,93.199997
2016-06-03,93.220001,93.879997,92.879997,93.07,1289000,93.07
