Date,Open_FLS,High_FLS,Low_FLS,Close_FLS,Volume_FLS,AdjClose_FLS
2016-03-31,44.080002,44.439999,43.549999,44.41,1445200,44.41
2016-04-01,43.919998,44.080002,42.889999,43.91,1302800,43.91
2016-04-04,43.490002,43.610001,42.380001,42.560001,1828500,42.560001
2016-04-05,42.049999,42.27,41.700001,42.099998,1429700,42.099998
2016-04-06,42.279999,42.41,41.52,42.299999,1676500,42.299999
2016-04-07,42.07,42.419998,41.970001,42.119999,1233500,42.119999
2016-04-08,42.610001,43.41,42.080002,42.209999,934800,42.209999
2016-04-11,42.389999,42.889999,42.130001,42.299999,875500,42.299999
2016-04-12,42.490002,43.630001,42.360001,43.299999,1217300,43.299999
2016-04-13,43.73,44.470001,43.380001,44.450001,833000,44.450001
2016-04-14,44.380001,44.849998,44.169998,44.400002,639600,44.400002
2016-04-15,44.23,44.459999,44.060001,44.279999,585000,44.279999
2016-04-18,43.650002,44.490002,43.560001,44.439999,678500,44.439999
2016-04-19,44.860001,46.220001,44.810001,46.02,1343700,46.02
2016-04-20,46.189999,47.029999,45.950001,46.84,1411900,46.84
2016-04-21,46.849998,47.0,46.509998,46.610001,1452100,46.610001
2016-04-22,46.669998,47.099998,46.529999,47.0,1080300,47.0
2016-04-25,46.849998,47.139999,46.040001,46.150002,834000,46.150002
2016-04-26,46.52,46.970001,46.029999,46.889999,1489700,46.889999
2016-04-27,47.060001,47.93,46.689999,47.84,1288900,47.84
2016-04-28,47.509998,48.009998,46.790001,46.869999,1805700,46.869999
2016-04-29,47.419998,49.52,47.130001,48.810001,2665700,48.810001
2016-05-02,48.889999,49.220001,47.98,48.959999,1259100,48.959999
2016-05-03,48.529999,48.560001,47.34,48.02,1320700,48.02
2016-05-04,47.900002,48.119999,46.200001,46.360001,1450600,46.360001
2016-05-05,46.630001,46.959999,45.779999,45.84,1469000,45.84
2016-05-06,45.759998,46.389999,45.48,46.259998,1167700,46.259998
2016-05-09,45.810001,46.02,45.02,45.259998,1007900,45.259998
2016-05-10,45.529999,46.389999,45.330002,46.32,829100,46.32
2016-05-11,46.369999,46.93,46.18,46.52,1037900,46.52
2016-05-12,46.849998,47.220001,45.799999,45.98,1460700,45.98
2016-05-13,45.889999,46.299999,45.119999,45.380001,1005700,45.380001
2016-05-16,45.779999,46.330002,45.650002,45.77,987800,45.77
2016-05-17,45.709999,46.330002,45.560001,45.889999,909300,45.889999
2016-05-18,45.599998,46.099998,45.290001,45.580002,1203500,45.580002
2016-05-19,45.470001,45.529999,44.529999,44.91,668500,44.91
2016-05-20,45.34,45.869999,45.310001,45.82,859800,45.82
2016-05-23,45.669998,46.060001,45.48,45.91,584000,45.91
2016-05-24,46.209999,46.959999,46.060001,46.799999,887900,46.799999
2016-05-25,47.07,48.669998,46.860001,48.540001,1696500,48.540001
2016-05-26,48.689999,49.0,48.360001,48.419998,1035300,48.419998
2016-05-27,48.419998,48.529999,47.82,48.139999,706000,48.139999
2016-05-31,48.18,48.639999,47.759998,48.130001,940800,48.130001
2016-06-01,47.73,48.25,47.310001,48.16,806200,48.16
2016-06-02,47.950001,48.98,47.93,48.98,946800,48.98
2016-06-03,49.0,49.220001,48.419998,49.16,858700,49.16
