Date,Open_SLB,High_SLB,Low_SLB,Close_SLB,Volume_SLB,AdjClose_SLB
2016-03-24,71.910004,72.660004,71.5,72.580002,8185200,72.114028
2016-03-28,72.889999,73.029999,71.980003,72.800003,8008800,72.332617
2016-03-29,71.580002,73.089996,71.339996,73.0,10450200,72.53133
2016-03-30,73.669998,74.620003,73.269997,74.410004,8328700,73.932281
2016-03-31,74.290001,75.029999,73.480003,73.75,8608700,73.276515
2016-04-01,72.370003,73.199997,71.760002,72.120003,21467800,71.656983
2016-04-04,72.440002,72.919998,71.900002,72.639999,9265300,72.173641
2016-04-05,72.010002,73.150002,71.959999,72.660004,9575200,72.193517
2016-04-06,73.0,74.419998,71.900002,73.160004,10080700,72.690307
2016-04-07,72.510002,72.940002,71.690002,72.010002,7505800,71.547688
2016-04-08,73.440002,74.269997,73.029999,73.849998,6129600,73.375871
2016-04-11,74.360001,74.910004,73.870003,73.879997,7465100,73.405678
2016-04-12,74.169998,76.160004,73.860001,75.900002,8227600,75.412713
2016-04-13,75.980003,77.550003,75.699997,77.370003,8647500,76.873277
2016-04-14,77.459999,77.660004,76.57,77.160004,5349700,76.664626
2016-04-15,77.160004,77.160004,75.949997,76.260002,6869900,75.770403
2016-04-18,74.739998,77.5,74.440002,77.449997,5947500,76.952757
2016-04-19,77.989998,79.660004,77.849998,79.639999,10334200,79.1287
2016-04-20,79.150002,81.900002,79.150002,81.099998,12106100,80.579325
2016-04-21,80.879997,81.959999,80.160004,80.269997,8294100,79.754652
2016-04-22,77.720001,81.019997,77.720001,79.93,9933400,79.416839
2016-04-25,79.559998,79.800003,77.959999,78.769997,6684400,78.264283
2016-04-26,79.129997,79.349998,78.419998,79.199997,5452600,78.691522
2016-04-27,79.779999,81.18,79.599998,80.599998,7311700,80.082536
2016-04-28,79.989998,81.32,79.43,79.779999,6661100,79.2678
2016-04-29,79.989998,81.269997,79.050003,80.339996,8606600,79.824203
2016-05-02,79.949997,80.720001,78.290001,79.400002,7388100,78.890243
2016-05-03,78.330002,78.43,76.489998,77.230003,8861400,76.734176
2016-05-04,77.209999,77.690002,75.199997,75.730003,7859000,75.243806
2016-05-05,76.760002,76.910004,74.93,75.400002,7306900,74.915923
2016-05-06,75.029999,76.010002,74.599998,75.120003,8083800,74.637722
2016-05-09,73.489998,74.290001,72.349998,72.769997,10161700,72.302803
2016-05-10,73.330002,74.540001,73.089996,74.260002,7380900,73.783243
2016-05-11,74.010002,74.849998,73.470001,73.809998,5815800,73.336127
2016-05-12,74.239998,74.839996,73.599998,74.089996,5058100,73.614329
2016-05-13,73.559998,74.300003,72.419998,72.43,6090400,71.96499
2016-05-16,73.300003,74.449997,73.019997,74.0,5407100,73.52491
2016-05-17,74.239998,75.239998,74.099998,74.879997,7226300,74.399258
2016-05-18,74.5,74.699997,72.650002,73.169998,6077900,72.700237
2016-05-19,72.57,74.360001,72.0,74.199997,8874800,73.723623
2016-05-20,74.669998,75.139999,74.18,74.959999,7389400,74.478746
2016-05-23,75.519997,75.660004,74.379997,75.010002,6250900,74.528428
2016-05-24,75.5,76.050003,75.110001,75.620003,6500600,75.134512
2016-05-25,76.0,78.0,75.919998,77.910004,7489300,77.409811
2016-05-26,78.379997,78.970001,77.68,77.879997,7932200,77.379997
2016-05-27,77.050003,77.25,76.379997,77.169998,5050300,77.169998
2016-05-31,77.07,77.599998,75.809998,76.300003,5780000,76.300003
2016-06-01,76.300003,76.339996,74.910004,75.860001,5542200,75.860001
2016-06-02,75.470001,75.709999,74.610001,75.449997,4827300,75.449997
2016-06-03,75.699997,76.099998,74.860001,75.629997,4312400,75.629997
