Date,Open_PEG,High_PEG,Low_PEG,Close_PEG,Volume_PEG,AdjClose_PEG
2015-11-27,39.009998,39.349998,39.0,39.119999,930300,38.369218
2015-11-30,39.139999,39.490002,39.060001,39.099998,2899200,38.349601
2015-12-01,39.310001,39.650002,39.169998,39.619999,2697700,38.859622
2015-12-02,39.48,39.639999,38.41,38.459999,3018800,37.721885
2015-12-03,38.240002,38.599998,37.919998,38.16,3417500,37.427643
2015-12-04,38.25,38.849998,38.240002,38.630001,3372300,37.888624
2015-12-07,38.290001,38.509998,37.669998,38.07,3588700,37.720185
2015-12-08,37.990002,38.169998,37.599998,37.98,4134800,37.631012
2015-12-09,37.91,38.599998,37.68,38.200001,3057900,37.848992
2015-12-10,38.189999,38.27,37.41,37.43,3483100,37.086067
2015-12-11,37.380001,37.740002,36.98,37.02,3619800,36.679834
2015-12-14,37.16,37.509998,36.799999,37.459999,4068300,37.11579
2015-12-15,37.5,37.560001,36.970001,37.110001,3978500,36.769008
2015-12-16,37.380001,38.470001,37.259998,38.299999,3735200,37.948072
2015-12-17,38.27,38.439999,37.84,38.110001,2902300,37.759819
2015-12-18,37.950001,38.040001,37.34,37.48,4648200,37.135607
2015-12-21,37.68,37.950001,37.52,37.73,2161500,37.383309
2015-12-22,37.830002,38.060001,37.290001,37.939999,1792800,37.591379
2015-12-23,38.009998,38.799999,38.009998,38.66,1855900,38.304764
2015-12-24,38.529999,38.720001,38.529999,38.599998,841000,38.245314
2015-12-28,38.59,38.799999,38.360001,38.709999,1723700,38.354304
2015-12-29,38.84,39.09,38.59,39.049999,2083900,38.69118
2015-12-30,39.029999,39.189999,38.919998,38.990002,1573800,38.631734
2015-12-31,38.91,38.950001,38.18,38.689999,2711200,38.334487
2016-01-04,38.279999,38.740002,37.849998,38.700001,3633900,38.344398
2016-01-05,38.73,38.990002,38.040001,38.93,2224600,38.572284
2016-01-06,38.639999,38.849998,38.439999,38.610001,1852600,38.255224
2016-01-07,38.16,38.919998,38.02,38.810001,3723900,38.453387
2016-01-08,38.849998,39.110001,38.34,38.419998,2691300,38.066968
2016-01-11,38.43,38.869999,38.32,38.599998,2620100,38.245314
2016-01-12,38.720001,38.810001,38.029999,38.599998,2993400,38.245314
2016-01-13,38.630001,39.310001,38.400002,38.779999,3589300,38.423661
2016-01-14,38.700001,40.0,38.700001,39.740002,4830500,39.374842
2016-01-15,39.220001,39.669998,38.93,39.599998,5552200,39.236126
2016-01-19,39.889999,40.27,39.599998,39.830002,4471500,39.464015
2016-01-20,39.650002,39.889999,38.139999,38.970001,3720500,38.611917
2016-01-21,38.959999,39.310001,38.580002,39.09,3720800,38.730813
2016-01-22,39.470001,40.169998,39.099998,39.869999,4937800,39.503645
2016-01-25,39.880001,39.959999,38.75,38.98,3862300,38.621824
2016-01-26,39.060001,39.700001,38.939999,39.380001,2410800,39.01815
2016-01-27,39.43,39.900002,39.150002,39.599998,2224000,39.236126
2016-01-28,39.709999,40.68,39.360001,40.369999,2145300,39.999051
2016-01-29,40.75,41.439999,40.720001,41.299999,3503500,40.920505
2016-02-01,41.16,41.580002,40.889999,41.380001,3032700,40.999772
2016-02-02,41.130001,41.48,40.779999,41.450001,3350400,41.069129
2016-02-03,41.689999,42.419998,41.560001,42.150002,3766800,41.762697
2016-02-04,42.189999,42.830002,42.060001,42.419998,3162400,42.030213
2016-02-05,42.09,43.060001,41.779999,42.91,4116700,42.515712
2016-02-08,42.889999,43.400002,41.82,41.990002,5284300,41.604168
2016-02-09,41.810001,42.66,41.580002,42.380001,3760000,41.990583
2016-02-10,42.200001,42.939999,41.810001,42.639999,3379000,42.248193
2016-02-11,42.459999,42.82,41.779999,41.889999,3457700,41.505084
2016-02-12,41.93,42.07,41.41,41.889999,2422500,41.505084
2016-02-16,42.080002,42.119999,41.57,42.07,3117900,41.683431
2016-02-17,42.099998,42.200001,41.52,41.880001,3401700,41.495178
2016-02-18,41.939999,43.049999,41.66,42.84,3390900,42.446356
2016-02-19,42.900002,43.240002,42.380001,42.970001,3571500,42.575162
2016-02-22,43.119999,43.939999,43.02,43.84,4456100,43.437167
2016-02-23,43.619999,43.779999,43.18,43.59,3416100,43.189464
2016-02-24,43.5,44.040001,42.950001,43.400002,3607400,43.001211
2016-02-25,43.5,43.75,43.279999,43.740002,2004300,43.338087
2016-02-26,43.619999,43.799999,42.43,42.549999,3829800,42.15902
2016-02-29,42.549999,43.150002,42.389999,42.66,2432900,42.268009
2016-03-01,42.950001,43.23,42.439999,42.619999,2928000,42.228376
2016-03-02,42.52,43.119999,41.439999,43.080002,3246000,42.684152
2016-03-03,43.16,43.950001,42.599998,43.860001,4080600,43.456984
2016-03-04,43.68,44.709999,43.41,44.599998,3752100,44.190182
2016-03-07,44.52,44.880001,44.279999,44.619999,3657000,44.209999
2016-03-08,44.27,44.860001,43.970001,44.84,3632300,44.84
2016-03-09,44.700001,45.169998,44.549999,44.950001,3600500,44.950001
2016-03-10,44.900002,45.110001,44.439999,45.02,2372800,45.02
2016-03-11,45.299999,45.459999,44.259998,44.330002,3973500,44.330002
2016-03-14,44.369999,44.700001,44.349998,44.610001,2258900,44.610001
2016-03-15,44.41,44.82,44.330002,44.740002,2861100,44.740002
2016-03-16,44.650002,45.220001,44.209999,45.150002,3912600,45.150002
2016-03-17,45.439999,46.150002,45.209999,46.049999,3761700,46.049999
2016-03-18,46.25,46.259998,45.630001,45.650002,5304900,45.650002
2016-03-21,45.439999,45.990002,45.259998,45.709999,2101500,45.709999
2016-03-22,45.860001,46.09,45.549999,45.830002,2035500,45.830002
2016-03-23,45.720001,46.450001,45.580002,46.209999,2840700,46.209999
2016-03-24,46.07,46.279999,45.799999,46.040001,2119500,46.040001
2016-03-28,46.25,46.529999,45.919998,46.080002,1427100,46.080002
2016-03-29,46.16,46.580002,45.790001,46.580002,2217300,46.580002
2016-03-30,46.580002,46.849998,46.220001,46.540001,1545600,46.540001
2016-03-31,46.669998,47.220001,46.540001,47.139999,4455900,47.139999
2016-04-01,46.91,47.41,46.75,47.32,2529300,47.32
2016-04-04,47.32,47.369999,46.650002,46.939999,3545300,46.939999
2016-04-05,46.919998,47.040001,46.040001,46.200001,3012600,46.200001
2016-04-06,46.119999,46.279999,45.849998,46.110001,2603100,46.110001
2016-04-07,46.0,46.380001,45.799999,45.900002,2586900,45.900002
2016-04-08,45.950001,46.389999,45.84,45.98,1642200,45.98
2016-04-11,45.959999,46.310001,45.549999,45.630001,1853700,45.630001
2016-04-12,45.709999,46.330002,45.5,46.259998,2185100,46.259998
2016-04-13,46.34,46.34,45.560001,45.77,2027400,45.77
2016-04-14,45.75,46.009998,45.540001,45.860001,1999000,45.860001
2016-04-15,45.82,46.48,45.68,46.400002,2620500,46.400002
2016-04-18,46.400002,46.75,45.98,46.740002,2192300,46.740002
2016-04-19,46.709999,47.189999,46.580002,47.119999,3487500,47.119999
