Date,Open_AIV,High_AIV,Low_AIV,Close_AIV,Volume_AIV,AdjClose_AIV
2016-01-26,37.779999,38.73,37.75,38.73,1050200,38.079493
2016-01-27,38.689999,38.689999,37.990002,38.240002,1372200,37.597725
2016-01-28,38.099998,38.860001,37.549999,38.110001,1940200,37.469908
2016-01-29,38.52,39.23,38.25,39.150002,2006400,38.492441
2016-02-01,38.869999,40.049999,38.68,39.610001,1659600,38.944714
2016-02-02,39.580002,39.689999,38.98,39.139999,1539200,38.482607
2016-02-03,39.310001,39.650002,38.860001,39.619999,1540700,38.954544
2016-02-04,39.369999,39.970001,39.029999,39.68,1438100,39.013538
2016-02-05,38.689999,39.360001,36.830002,37.009998,3399500,36.388381
2016-02-08,36.950001,37.09,34.970001,35.599998,2913500,35.002063
2016-02-09,35.240002,35.82,35.0,35.450001,2116700,34.854585
2016-02-10,35.68,36.970001,35.610001,36.32,1647500,35.709971
2016-02-11,35.509998,36.040001,35.470001,35.77,1457300,35.16921
2016-02-12,36.009998,36.119999,35.43,36.049999,1676000,35.444506
2016-02-16,36.360001,36.650002,35.830002,36.619999,1522600,36.004932
2016-02-17,36.52,36.779999,36.029999,36.25,2049800,35.965246
2016-02-18,36.23,36.5,36.0,36.349998,1526400,36.064458
2016-02-19,36.279999,36.490002,35.98,36.18,2130900,35.895796
2016-02-22,36.419998,36.880001,36.290001,36.459999,1698600,36.173595
2016-02-23,36.27,36.970001,36.029999,36.169998,1603000,35.885872
2016-02-24,36.119999,36.43,35.459999,36.040001,1818400,35.756896
2016-02-25,36.25,36.77,36.25,36.619999,1437900,36.332338
2016-02-26,36.650002,36.779999,36.389999,36.470001,1103200,36.183519
2016-02-29,36.400002,37.150002,36.380001,36.610001,1592000,36.322418
2016-03-01,36.91,37.889999,36.740002,37.869999,1141300,37.572519
2016-03-02,37.700001,38.330002,37.189999,38.32,945300,38.018985
2016-03-03,38.400002,38.59,37.950001,38.580002,709100,38.276944
2016-03-04,38.540001,38.619999,38.169998,38.540001,665000,38.237258
2016-03-07,38.27,38.630001,38.209999,38.59,755800,38.286864
2016-03-08,38.610001,38.939999,38.25,38.310001,859700,38.009065
2016-03-09,38.360001,38.869999,38.049999,38.490002,665900,38.187651
2016-03-10,38.759998,38.91,38.049999,38.470001,685700,38.167808
2016-03-11,38.919998,39.299999,38.599998,39.27,784600,38.961523
2016-03-14,39.169998,39.560001,38.880001,39.139999,541700,38.832543
