Date,Open_CB,High_CB,Low_CB,Close_CB,Volume_CB,AdjClose_CB
2016-03-02,117.110001,118.449997,116.93,118.360001,1251600,117.694831
2016-03-03,118.5,118.5,117.040001,117.839996,1484000,117.177749
2016-03-04,117.660004,117.709999,115.830002,117.18,1851700,116.521462
2016-03-07,116.510002,117.370003,115.599998,117.349998,1866900,116.690505
2016-03-08,116.449997,117.720001,116.25,116.279999,1273900,115.626519
2016-03-09,117.0,117.809998,116.449997,117.779999,1438700,117.118089
2016-03-10,117.970001,118.839996,116.690002,117.599998,1689900,116.9391
2016-03-11,118.75,119.989998,118.029999,119.949997,1322700,119.275892
2016-03-14,119.279999,120.550003,118.800003,119.739998,2149900,119.067073
2016-03-15,118.360001,120.0,115.5,119.5,1479000,118.828424
2016-03-16,119.0,119.93,118.720001,119.449997,1719900,118.778702
2016-03-17,119.5,121.489998,119.080002,120.989998,1745800,120.310048
2016-03-18,121.279999,122.540001,120.720001,122.470001,3715700,121.781734
2016-03-21,121.959999,122.269997,120.839996,121.389999,1441600,120.707802
2016-03-22,121.110001,121.190002,120.0,120.120003,1678700,119.444942
2016-03-23,120.099998,120.230003,118.980003,119.580002,1977200,118.907976
2016-03-24,119.309998,119.989998,118.489998,119.610001,1303800,118.937806
2016-03-28,119.610001,119.989998,118.970001,119.220001,1305200,118.549999
2016-03-29,118.550003,119.480003,117.949997,119.419998,955700,119.419998
2016-03-30,119.910004,120.330002,119.339996,119.739998,1122900,119.739998
2016-03-31,119.57,120.010002,119.150002,119.150002,1496000,119.150002
2016-04-01,118.739998,121.029999,118.449997,120.849998,1499000,120.849998
2016-04-04,123.0,123.139999,120.300003,120.589996,2243700,120.589996
2016-04-05,119.989998,120.0,117.610001,117.949997,1920900,117.949997
2016-04-06,117.989998,119.32,117.540001,119.190002,1839600,119.190002
2016-04-07,118.32,118.769997,117.230003,117.629997,1384600,117.629997
2016-04-08,118.510002,119.279999,118.150002,118.809998,1455800,118.809998
2016-04-11,118.830002,120.089996,118.57,118.57,2271800,118.57
2016-04-12,118.440002,119.730003,117.879997,119.43,1460700,119.43
2016-04-13,120.129997,120.68,119.160004,120.510002,1527800,120.510002
2016-04-14,120.489998,121.470001,120.07,120.339996,1523700,120.339996
2016-04-15,120.739998,121.43,120.279999,120.559998,1571400,120.559998
2016-04-18,120.550003,122.019997,120.059998,122.019997,1458200,122.019997
2016-04-19,122.610001,123.169998,121.779999,122.019997,1307100,122.019997
2016-04-20,122.230003,122.760002,121.449997,122.589996,1563400,122.589996
2016-04-21,121.959999,122.540001,117.879997,118.07,3107200,118.07
2016-04-22,118.379997,119.449997,118.230003,119.300003,1610500,119.300003
2016-04-25,119.5,119.5,118.269997,119.050003,1258300,119.050003
2016-04-26,119.309998,119.760002,118.540001,118.760002,1342800,118.760002
