Date,Open_LB,High_LB,Low_LB,Close_LB,Volume_LB,AdjClose_LB
2015-12-18,96.580002,97.190002,95.57,95.769997,1625100,91.969049
2015-12-21,96.129997,96.5,94.349998,94.949997,1206200,91.181594
2015-12-22,95.349998,96.93,94.900002,96.529999,959800,92.698888
2015-12-23,96.790001,97.93,96.160004,97.589996,630500,93.716816
2015-12-24,97.32,97.470001,96.489998,96.82,257200,92.97738
2015-12-28,96.529999,97.099998,95.940002,96.660004,458100,92.823733
2015-12-29,97.459999,98.709999,97.099998,97.879997,660400,93.995308
2015-12-30,97.970001,98.059998,96.599998,96.669998,595700,92.833331
2015-12-31,96.519997,96.949997,95.800003,95.82,1023600,92.017068
2016-01-04,94.599998,94.720001,93.309998,94.0,2068000,90.269301
2016-01-05,94.43,96.870003,94.050003,96.489998,2132300,92.660475
2016-01-06,95.339996,96.32,93.699997,94.639999,2568700,90.8839
2016-01-07,94.0,97.330002,93.900002,96.519997,3865900,92.689283
2016-01-08,96.949997,97.389999,92.839996,93.230003,2554600,89.529864
2016-01-11,93.639999,94.620003,92.300003,93.019997,1567400,89.328192
2016-01-12,94.230003,96.800003,93.949997,95.120003,1942900,91.344853
2016-01-13,95.32,95.790001,92.059998,92.25,1771000,88.588755
2016-01-14,92.18,94.790001,90.669998,94.199997,2001800,90.46136
2016-01-15,92.389999,93.650002,90.900002,92.339996,2635200,88.67518
2016-01-19,93.18,94.269997,92.190002,93.150002,2063000,89.453037
2016-01-20,91.809998,92.540001,88.660004,90.779999,2230500,87.177096
2016-01-21,90.949997,93.709999,90.389999,93.379997,1974800,89.673905
2016-01-22,94.32,96.010002,93.639999,95.919998,2703300,92.113098
2016-01-25,95.809998,96.389999,94.93,95.269997,1752700,91.488893
2016-01-26,95.339996,96.779999,94.849998,95.660004,1121400,91.863422
2016-01-27,95.629997,95.769997,93.290001,93.970001,1385600,90.240493
2016-01-28,94.959999,95.400002,93.370003,94.480003,1378800,90.730254
2016-01-29,95.449997,96.800003,95.040001,96.150002,1724900,92.333972
2016-02-01,95.720001,97.139999,95.339996,96.559998,2853000,92.727696
2016-02-02,96.199997,97.349998,94.489998,95.199997,1933900,91.421672
2016-02-03,95.739998,95.940002,93.529999,95.169998,1751200,91.392864
2016-02-04,91.400002,93.0,88.529999,88.57,4862000,85.054808
2016-02-05,88.129997,88.129997,84.589996,85.059998,4229800,81.684112
2016-02-08,84.610001,84.769997,79.93,81.110001,4976700,77.890883
2016-02-09,80.830002,83.57,80.82,82.309998,3890200,79.043255
2016-02-10,82.660004,84.639999,82.5,84.029999,2985400,80.694992
2016-02-11,82.809998,85.050003,82.809998,84.0,2939500,80.666184
2016-02-12,84.0,85.599998,79.349998,81.870003,6179400,78.620722
2016-02-16,82.839996,83.32,81.550003,83.309998,3183400,80.003566
2016-02-17,81.339996,82.660004,81.279999,81.849998,3447000,81.133585
2016-02-18,81.220001,83.830002,80.709999,83.699997,2796100,82.967391
2016-02-19,83.220001,84.07,82.279999,83.940002,2345600,83.205295
2016-02-22,83.940002,84.480003,83.040001,83.949997,3336600,83.215202
2016-02-23,83.910004,84.760002,83.269997,83.919998,2270100,83.185466
2016-02-24,83.699997,83.849998,81.870003,83.190002,2975300,82.46186
2016-02-25,81.150002,85.93,81.040001,85.669998,4408600,84.920149
2016-02-26,85.519997,86.230003,84.239998,84.379997,1876900,83.641439
2016-02-29,84.400002,85.900002,83.589996,84.790001,2127500,84.047854
2016-03-01,85.389999,86.93,84.629997,86.93,2985700,86.169123
2016-03-02,86.389999,87.489998,86.010002,87.169998,1630800,86.40702
2016-03-03,87.209999,87.25,85.150002,86.68,2424700,85.921311
2016-03-04,87.010002,87.93,86.790001,87.5,1701900,86.734133
2016-03-07,87.139999,88.139999,85.370003,85.889999,2766700,85.138225
2016-03-08,85.709999,86.620003,85.449997,85.940002,2149600,85.18779
2016-03-09,86.190002,86.339996,85.199997,85.720001,1119200,84.969714
2016-03-10,86.32,87.029999,85.349998,86.330002,965200,85.574376
2016-03-11,87.0,87.139999,85.760002,86.32,1058700,85.564461
2016-03-14,85.959999,86.790001,85.839996,86.559998,1252800,85.802358
2016-03-15,86.379997,87.82,86.279999,87.0,1308200,86.23851
2016-03-16,86.769997,87.449997,86.309998,87.089996,1240800,86.327718
2016-03-17,85.919998,87.029999,85.510002,86.769997,1410900,86.010519
2016-03-18,87.07,88.769997,86.870003,87.82,2585600,87.051332
2016-03-21,87.800003,87.849998,86.610001,86.769997,1214100,86.010519
2016-03-22,86.550003,86.660004,85.43,85.730003,2848000,84.979629
2016-03-23,85.75,85.760002,85.0,85.300003,3725000,84.553392
2016-03-24,85.190002,86.470001,85.099998,85.790001,1177300,85.039101
2016-03-28,86.269997,87.639999,86.029999,86.779999,1151100,86.020434
2016-03-29,86.580002,87.099998,86.099998,86.959999,1054800,86.198859
2016-03-30,87.269997,88.550003,87.260002,88.370003,1422400,87.596521
2016-03-31,88.290001,88.760002,87.580002,87.809998,1410300,87.041417
2016-04-01,87.699997,88.739998,87.470001,88.080002,1119600,87.309058
2016-04-04,88.099998,88.370003,86.230003,86.699997,1344500,85.941132
2016-04-05,86.150002,86.32,85.459999,85.629997,1280500,84.880498
